week	name	t	a	sck	int	ff
1	A. Bethea	7	1	1.0	0	0
1	N. Bowman	7	0	1.0	0	0
1	J. Tartt	4	0	1.0	0	0
1	K. Acker	3	1	0.0	0	0
1	A. Lynch	3	0	1.0	0	0
1	E. Reid	3	0	0.0	0	0
1	M. Wilhoite	3	0	0.0	0	0
1	T. Brock	2	0	0.0	1	0
1	A. Brooks	2	0	0.0	0	0
1	D. Johnson	2	0	0.0	0	0
1	I. Williams	2	1	0.0	0	0
1	C. Carradine	1	0	1.0	0	0
1	Q. Dial	1	1	0.0	0	0
1	G. Dorsey	1	0	0.0	0	0
						
2	K. Acker	5	1	0.0	0	0
2	E. Reid	5	0	0.0	0	0
2	M. Wilhoite	5	0	0.0	0	0
2	A. Bethea	4	0	0.0	0	0
2	T. Brock	3	0	0.0	0	0
2	I. Williams	3	2	0.0	0	0
2	C. Carradine	2	0	0.0	0	0
2	G. Dorsey	2	0	0.0	0	0
2	A. Brooks	1	1	0.0	0	0
2	Q. Dial	1	1	0.0	0	0
2	D. Johnson	1	0	0.0	0	0
2	N. Bowman	0	4	0.0	0	0
						
3	N. Bowman	7	2	0.0	0	0
3	K. Acker	6	1	0.0	1	0
3	T. Brock	6	1	0.0	0	0
3	A. Bethea	3	3	0.0	0	0
3	Q. Dial	3	0	0.0	0	0
3	A. Lynch	3	1	0.0	0	0
3	M. Wilhoite	3	1	0.0	0	0
3	A. Armstead	2	1	1.0	0	0
3	A. Brooks	2	1	0.0	0	0
3	G. Dorsey	2	0	0.0	0	0
3	C. Lemonier	2	1	0.0	0	0
3	E. Reid	2	0	0.0	0	0
3	C. Carradine	1	1	0.0	0	1
3	T. Jerod-Eddie	1	1	0.0	0	0
3	D. Johnson	1	1	0.0	0	0
3	J. Tartt	1	0	0.0	0	0
3	I. Williams	1	1	0.0	0	0
						
4	N. Bowman	7	1	0.0	0	0
4	M. Wilhoite	6	3	0.0	0	0
4	K. Acker	5	0	0.0	0	0
4	A. Bethea	5	1	0.0	0	0
4	A. Brooks	5	0	1.0	0	0
4	C. Carradine	5	1	0.0	0	0
4	A. Lynch	4	0	2.0	0	0
4	E. Reid	3	1	0.0	0	0
4	I. Williams	3	0	0.0	0	0
4	T. Brock	2	0	0.0	0	0
4	C. Lemonier	2	0	0.0	0	0
4	K. Reaser	2	0	0.0	0	0
4	J. Ward	2	0	0.0	0	0
4	A. Armstead	1	1	0.0	0	0
4	Q. Dial	1	2	0.0	0	0
4	G. Dorsey	1	0	0.0	0	0
4	T. Jerod-Eddie	1	0	0.0	0	0
						
5	N. Bowman	13	3	0.0	0	0
5	M. Wilhoite	11	5	0.0	0	0
5	J. Ward	7	1	0.0	0	0
5	A. Bethea	6	4	0.0	0	0
5	T. Brock	6	2	0.0	1	0
5	G. Dorsey	4	0	0.0	0	0
5	K. Acker	3	1	0.0	0	0
5	J. Tartt	3	1	0.0	0	0
5	E. Reid	2	1	0.0	0	0
5	I. Williams	2	2	0.0	0	0
5	Q. Dial	1	5	0.0	0	0
5	A. Lynch	1	0	0.0	0	0
5	C. Carradine	0	1	0.0	0	0
						
6	N. Bowman	13	2	0.0	0	0
6	M. Wilhoite	11	2	0.0	1	0
6	A. Lynch	5	0	0.0	0	0
6	T. Brock	4	1	0.0	0	0
6	A. Bethea	3	2	0.0	0	0
6	J. Tartt	3	0	0.0	0	0
6	J. Ward	3	1	0.0	0	0
6	K. Acker	2	0	0.0	1	0
6	A. Brooks	2	1	0.0	0	0
6	E. Reid	2	0	0.0	0	0
6	A. Armstead	1	0	0.0	0	0
6	Q. Dial	1	3	0.0	0	0
6	G. Dorsey	1	0	0.0	0	0
6	I. Williams	1	3	0.0	0	0
						
7	M. Wilhoite	9	4	0.0	0	0
7	N. Bowman	6	4	0.0	0	0
7	J. Tartt	6	2	0.0	0	0
7	A. Lynch	5	0	2.0	0	0
7	I. Williams	5	0	0.0	0	0
7	A. Bethea	4	1	0.0	0	0
7	T. Brock	3	0	0.0	1	0
7	C. Carradine	3	1	0.0	0	0
7	E. Reid	3	0	0.0	0	0
7	A. Brooks	2	3	2.0	0	0
7	Q. Dial	2	1	1.0	0	0
7	G. Dorsey	2	1	0.0	0	0
7	J. Ward	2	1	0.0	0	0
7	K. Acker	1	0	0.0	1	0
7	E. Harold	1	1	0.0	0	0
7	G. Hodges	1	0	0.0	0	0
7	T. Jerod-Eddie	1	0	0.0	0	0
7	K. Reaser	1	0	0.0	0	0
						
8	N. Bowman	6	6	0.0	0	0
8	J. Tartt	5	1	0.0	0	1
8	M. Wilhoite	4	2	0.0	0	0
8	T. Brock	3	0	0.0	0	0
8	Q. Dial	3	3	0.0	0	0
8	E. Reid	3	0	0.0	0	0
8	I. Williams	3	3	0.0	0	0
8	K. Acker	2	1	0.0	0	0
8	G. Dorsey	2	1	0.0	0	0
8	T. Jerod-Eddie	2	0	0.0	0	0
8	A. Brooks	1	1	0.0	0	0
8	E. Harold	1	2	0.0	0	0
8	G. Hodges	1	0	0.0	0	0
8	J. Ward	1	1	0.0	0	0
8	C. Lemonier	0	1	0.0	0	0
8	A. Lynch	0	1	0.0	0	0
						
9	M. Cromartie	7	0	0.0	0	0
9	N. Bowman	6	1	1.0	0	0
9	D. Johnson	6	0	0.0	0	0
9	J. Ward	5	1	0.0	0	0
9	E. Reid	4	0	0.0	0	0
9	J. Tartt	3	1	0.0	0	0
9	M. Wilhoite	3	0	0.0	0	0
9	A. Lynch	2	1	1.0	0	0
9	A. Armstead	1	0	0.0	0	0
9	A. Brooks	1	0	0.0	0	0
9	C. Davis	1	0	0.0	0	0
9	Q. Dial	1	0	0.0	0	0
9	G. Dorsey	1	0	0.0	0	0
9	G. Hodges	1	0	0.0	0	0
9	I. Williams	1	0	0.0	0	0
						
	week 10 					
						
11	E. Reid	6	4	0.0	0	0
11	N. Bowman	4	5	0.0	0	0
11	T. Brock	4	3	0.0	0	0
11	J. Tartt	4	4	0.0	0	0
11	J. Ward	4	0	0.0	0	0
11	K. Acker	3	1	0.0	0	0
11	A. Armstead	3	3	0.0	0	0
11	M. Wilhoite	3	6	0.0	0	0
11	A. Brooks	2	1	1.0	0	0
11	M. Purcell	2	2	0.0	0	0
11	M. Cromartie	1	2	0.0	0	0
11	Q. Dial	1	4	0.5	0	0
11	T. Jerod-Eddie	1	0	0.0	0	0
11	D. Johnson	1	0	0.0	0	0
11	C. Lemonier	1	0	0.0	0	0
11	A. Lynch	1	2	0.5	0	0
11	I. Williams	1	3	0.0	0	0
						
12	K. Acker	7	1	0.0	0	0
12	N. Bowman	7	1	0.0	0	0
12	T. Brock	5	1	0.0	0	0
12	J. Tartt	5	1	0.0	0	0
12	M. Wilhoite	4	0	0.0	0	0
12	I. Williams	4	1	0.0	0	0
12	E. Reid	3	1	0.0	0	0
12	J. Ward	3	0	0.0	0	0
12	D. Johnson	2	0	0.0	0	0
12	A. Lynch	2	1	0.0	0	0
12	M. Purcell	2	1	1.0	0	0
12	Q. Dial	1	0	0.0	0	0
12	G. Hodges	1	0	0.0	0	0
12	T. Jerod-Eddie	1	0	0.0	0	0
12	C. Lemonier	1	0	0.0	0	0
12	E. Harold	0	1	0.0	0	0
						
13	N. Bowman	13	1	0.0	0	0
13	Q. Dial	7	2	0.0	0	0
13	K. Acker	5	0	0.0	0	0
13	G. Hodges	5	1	0.0	0	0
13	J. Tartt	5	2	1.0	0	0
13	I. Williams	4	1	0.0	0	0
13	T. Brock	3	0	0.0	0	0
13	A. Lynch	3	0	0.0	0	0
13	E. Reid	2	0	0.0	0	0
13	N. Bellore	1	0	0.0	0	0
13	A. Brooks	1	1	0.0	0	0
13	D. Johnson	1	0	0.0	0	0
13	M. Purcell	1	0	0.0	0	0
13	J. Ward	1	0	0.0	1	0
						
14	K. Acker	8	3	0.0	0	0
14	E. Reid	8	1	0.0	0	1
14	J. Tartt	7	1	0.0	1	0
14	A. Brooks	4	1	0.0	0	0
14	Q. Dial	4	0	1.0	0	0
14	G. Hodges	4	3	0.0	0	0
14	A. Armstead	3	0	1.0	0	0
14	N. Bowman	3	2	0.0	0	0
14	I. Williams	3	2	0.0	0	1
14	J. Ward	2	1	0.0	0	0
14	C. Carradine	1	2	0.0	0	0
14	C. Lemonier	1	1	0.0	0	0
14	M. Purcell	0	1	0.0	0	0
						
15	G. Hodges	9	1	0.0	0	0
15	N. Bowman	7	4	0.0	0	0
15	I. Williams	6	0	1.0	0	0
15	J. Ward	5	1	1.0	0	0
15	Q. Dial	4	2	0.0	0	0
15	E. Reid	4	0	1.0	0	0
15	A. Brooks	3	2	1.0	0	0
15	E. Harold	3	0	0.0	0	0
15	K. Acker	2	0	0.0	0	0
15	J. Tartt	2	0	0.0	0	0
15	D. Johnson	1	0	0.0	0	0
15	C. Lemonier	1	1	0.0	0	0
15	M. Purcell	1	0	0.0	0	0
						
16	N. Bowman	8	2	0.5	0	0
16	G. Hodges	5	4	0.0	0	0
16	E. Reid	5	1	0.0	0	0
16	I. Williams	5	1	0.0	0	0
16	T. Brock	3	0	0.0	0	0
16	T. Jerod-Eddie	3	1	0.0	0	0
16	D. Johnson	3	0	0.0	0	0
16	J. Tartt	3	0	0.0	0	0
16	A. Armstead	2	0	0.0	0	0
16	M. Purcell	2	0	0.0	0	0
16	J. Ward	2	0	0.0	0	0
16	K. Acker	1	0	0.0	0	0
16	N. Bellore	1	0	0.0	0	0
16	A. Brooks	1	2	1.5	0	0
16	Q. Dial	1	3	0.0	0	0
16	E. Harold	0	1	0.0	0	0
16	A. Lynch	0	1	0.0	0	0
						
17	G. Hodges	12	1	0.0	0	0
17	N. Bowman	9	0	0.0	0	1
17	J. Ward	9	1	0.0	0	0
17	D. Johnson	6	1	0.0	0	0
17	E. Harold	3	0	0.0	0	0
17	M. Purcell	3	0	0.0	0	0
17	K. Reaser	3	1	0.0	0	0
17	A. Armstead	1	0	0.0	0	0
17	T. Brock	1	0	0.0	0	0
17	A. Brooks	1	0	0.0	0	0
17	C. Carradine	1	2	0.0	0	0
17	M. Cromartie	1	0	0.0	0	0
17	T. Jerod-Eddie	1	1	0.0	0	0
17	A. Lynch	1	1	0.0	0	0
17	E. Reid	1	1	0.0	0	0
17	I. Williams	1	0	0.0	0	0
