week	name	cmp	att	yds	td	int
1	C. Kaepernick	17	26	165	0	0
2	C. Kaepernick	33	46	335	2	0
3	C. Kaepernick	9	19	67	0	4
4	C. Kaepernick	13	25	160	0	1
5	C. Kaepernick	23	35	262	2	0
6	C. Kaepernick	16	27	340	2	0
7	C. Kaepernick	13	24	124	0	0
8	C. Kaepernick	20	41	162	0	0
9	B. Gabbert	15	25	185	2	2
9	C. Kaepernick	0	1	0	0	0
11	B. Gabbert	22	34	264	1	0
12	B. Gabbert	25	36	318	1	1
13	B. Gabbert	18	32	196	1	0
14	B. Gabbert	18	28	194	1	0
15	B. Gabbert	30	50	295	1	3
16	B. Gabbert	22	33	225	2	0
17	B. Gabbert	28	44	354	1	1
