week	name	rec	yds	td	lg
1	V. Davis	3	47	0	20
1	G. Celek	3	40	0	20
1	A. Boldin	4	36	0	15
1	C. Hyde	2	14	0	8
1	T. Smith	1	11	0	11
1	J. Hayne	1	7	0	7
1	B. Ellington	2	5	0	4
1	V. McDonald	1	5	0	5
2	T. Smith	6	120	1	75
2	V. Davis	5	62	0	43
2	A. Boldin	6	60	1	14
2	Q. Patton	4	25	0	9
2	C. Hyde	4	18	0	11
2	D. White	2	18	0	10
2	B. Bell	1	11	0	11
2	G. Celek	2	10	0	7
2	B. Miller	1	7	0	7
2	M. Davis	2	4	0	3
3	G. Celek	3	29	0	12
3	A. Boldin	2	16	0	14
3	C. Hyde	1	10	0	10
3	Q. Patton	1	7	0	7
3	M. Davis	1	5	0	5
3	B. Bell	1	0	0	0
4	T. Smith	2	54	0	47
4	Q. Patton	2	53	0	40
4	G. Celek	3	26	0	13
4	A. Boldin	3	12	0	8
4	V. McDonald	1	7	0	7
4	R. Bush	1	6	0	6
4	C. Hyde	1	2	0	2
5	A. Boldin	8	107	1	37
5	T. Smith	2	42	0	25
5	B. Ellington	2	39	0	30
5	G. Celek	3	26	1	15
5	B. Miller	2	23	0	19
5	V. McDonald	2	9	0	6
5	B. Bell	1	6	0	6
5	Q. Patton	2	6	0	4
5	C. Hyde	1	4	0	4
6	A. Boldin	5	102	0	51
6	T. Smith	3	96	1	76
6	B. Miller	3	89	0	52
6	Q. Patton	2	38	1	21
6	V. McDonald	1	10	0	10
6	C. Hyde	2	5	0	4
7	V. Davis	4	61	0	27
7	A. Boldin	3	39	0	27
7	R. Bush	3	13	0	8
7	G. Celek	1	8	0	8
7	Q. Patton	1	2	0	2
7	V. McDonald	1	1	0	1
8	J. Simpson	3	34	0	16
8	Q. Patton	2	33	0	33
8	V. Davis	6	24	0	11
8	T. Smith	2	19	0	11
8	K. Gaskins	2	17	0	9
8	M. Davis	2	14	0	11
8	V. McDonald	1	13	0	13
8	B. Ellington	2	8	0	4
9	Q. Patton	3	70	0	41
9	T. Smith	2	44	0	26
9	S. Draughn	4	38	0	12
9	V. McDonald	2	19	0	13
9	G. Celek	2	12	2	11
9	B. Ellington	2	2	0	1
11	A. Boldin	5	93	0	28
11	V. McDonald	4	65	1	36
11	S. Draughn	8	40	0	19
11	G. Celek	2	35	0	33
11	T. Smith	1	16	0	16
11	Q. Patton	2	15	0	15
12	A. Boldin	8	93	0	18
12	V. McDonald	6	71	1	20
12	B. Bell	3	67	0	48
12	T. Smith	2	51	0	41
12	S. Draughn	5	35	0	12
12	Q. Patton	1	1	0	1
13	T. Smith	2	76	1	71
13	S. Draughn	5	50	0	26
13	A. Boldin	5	37	0	11
13	V. McDonald	2	18	0	12
13	T. Cadet	1	6	0	6
13	B. Bell	1	5	0	5
13	B. Miller	1	4	0	4
13	B. Ellington	1	0	0	0
14	B. Bell	3	49	0	24
14	Q. Patton	5	46	0	13
14	T. Cadet	2	28	0	16
14	A. Boldin	2	22	0	14
14	J. Simpson	2	20	1	14
14	T. Smith	1	17	0	17
14	S. Draughn	2	8	0	7
14	B. Leonhardt	1	4	0	4
15	A. Boldin	8	74	1	29
15	K. Gaskins	6	52	0	16
15	B. Bell	4	43	0	27
15	Q. Patton	3	37	0	16
15	T. Smith	2	33	0	17
15	T. Cadet	4	32	0	12
15	V. McDonald	1	10	0	10
15	B. Miller	1	10	0	10
15	S. Draughn	1	4	0	4
16	V. McDonald	5	61	1	26
16	B. Ellington	3	55	0	38
16	Q. Patton	1	28	0	28
16	A. Boldin	5	27	0	9
16	T. Smith	2	23	1	16
16	J. Hayne	5	20	0	7
16	D. Harris	1	11	0	11
17	D. Harris	8	86	0	31
17	A. Boldin	5	71	1	33
17	T. Smith	5	61	0	31
17	B. Ellington	1	44	0	44
17	V. McDonald	3	37	0	24
17	Q. Patton	1	33	0	33
17	M. Davis	2	15	0	8
17	B. Bell	1	5	0	5
17	B. Miller	2	2	0	2
