week	name	t	a	sck	int	ff
1	A. Amos	5	0	0.0	0	0
1	P. McPhee	5	1	0.0	0	0
1	C. Jones	4	3	0.0	0	0
1	S. McClellin	4	4	0.0	0	0
1	A. Rolle	4	2	0.0	0	0
1	J. Allen	3	0	0.0	0	0
1	A. Ball	3	0	0.0	0	0
1	E. Goldman	2	0	0.0	0	0
1	K. Fuller	1	1	0.0	0	0
1	J. Jenkins	1	0	0.0	0	0
1	S. McManis	0	2	0.0	0	0
1	W. Young	0	1	0.0	0	0
2	S. McClellin	4	5	0.0	0	0
2	A. Rolle	4	0	0.0	0	0
2	A. Amos	3	2	0.0	0	0
2	A. Ball	3	1	0.0	0	0
2	C. Jones	2	2	0.0	0	0
2	S. McManis	2	0	0.0	0	0
2	P. McPhee	2	1	0.0	0	0
2	J. Allen	1	0	0.0	1	0
2	B. Dunn	1	1	0.0	0	0
2	K. Fuller	1	0	0.0	0	0
2	E. Goldman	1	0	0.0	0	0
2	L. Houston	1	0	0.0	0	0
2	J. Jenkins	1	1	0.0	0	0
2	T. Mitchell	1	0	0.0	0	0
2	W. Sutton	1	1	0.0	0	0
2	W. Young	1	0	0.0	0	0
3	A. Rolle	7	3	0.0	0	0
3	P. McPhee	6	1	2.0	0	0
3	A. Ball	5	4	0.0	0	0
3	J. Jenkins	4	6	2.0	0	0
3	C. Jones	4	2	0.0	0	0
3	S. McClellin	3	3	0.0	0	0
3	S. McManis	3	1	0.0	0	0
3	A. Amos	2	0	0.0	0	0
3	S. Acho	1	1	0.0	0	0
3	K. Fuller	1	2	0.0	0	0
3	J. Allen	0	1	0.0	0	0
3	E. Ferguson	0	1	0.0	0	0
3	W. Sutton	0	1	0.0	0	0
4	P. McPhee	7	1	0.0	1	0
4	C. Jones	5	0	0.0	0	0
4	A. Amos	4	1	0.0	0	0
4	K. Fuller	4	0	0.0	0	0
4	J. Jenkins	4	0	1.0	0	0
4	S. McClellin	3	2	0.0	0	0
4	A. Rolle	3	0	0.0	0	0
4	S. Acho	2	0	0.0	0	0
4	T. Porter	2	0	0.0	0	0
4	E. Ferguson	1	0	0.0	0	0
4	E. Goldman	1	1	1.0	0	0
4	L. Houston	1	1	0.0	0	0
4	H. Jones-Quartey	1	0	0.0	0	0
5	S. Acho	5	0	0.0	0	0
5	C. Jones	4	2	0.0	0	0
5	H. Jones-Quartey	4	0	0.0	0	0
5	S. McClellin	4	1	0.0	0	0
5	L. Houston	3	0	1.0	0	0
5	J. Ratliff	3	1	0.0	0	0
5	L. Reynolds	3	0	0.0	0	0
5	A. Amos	2	0	0.0	0	0
5	E. Goldman	2	0	0.0	0	0
5	T. Porter	2	0	0.0	0	0
5	M. Unrein	2	0	0.0	0	0
5	P. McPhee	1	1	1.0	0	0
5	W. Young	1	0	1.0	0	0
5	E. Ferguson	0	1	0.0	0	0
6	K. Fuller	7	1	0.0	0	0
6	C. Jones	6	3	0.0	0	0
