week	name	rec	yds	td	lg
1	A. Jeffery	5	78	0	25
1	M. Wilson	2	59	0	50
1	M. Bennett	5	55	1	24
1	M. Forte	5	25	0	9
1	E. Royal	1	8	0	8
2	J. Bellamy 	1 	48 	1 	48
2	M. Bennett 	4 	48 	0 	21
2	M. Forte 	4 	44 	0 	27
2	E. Royal 	7 	41 	0 	15
2	C. Meredith 3 	36 	0 	22
2	Z. Miller 	2 	14 	0 	9
2	M. Wilson 	1 	10 	0 	10
3	Z. Miller	1	21	0	21
3	E. Royal	3	17	0	9
3	M. Bennett	4	15	0	6
3	J. Rodgers	1	10	0	10
4	M. Bennett	11	83	1	24
4	M. Wilson	6	80	0	35
4	M. Forte	4	64	0	38
4	E. Royal	7	54	1	21
5	M. Wilson	6	85	1	33
5	C. Meredith	4	52	0	20
5	M. Forte	5	38	1	18
5	M. Bennett	4	32	0	11
5	J. Bellamy	6	31	0	8
5	J. Langford	1	14	0	14
6	A. Jeffery	8	147	1	45
6	M. Bennett	6	59	0	19
6	M. Wilson	2	54	0	46
6	E. Royal	5	49	0	30
6	M. Forte	3	20	0	8
6	J. Langford	1	17	0	17
6	C. Meredith	1	7	0	7
8	A. Jeffery	10	116	1	28
8	M. Bennett	3	32	0	20
8	M. Forte	4	28	0	17
8	M. Mariani	1	19	0	19
8	M. Wilson	1	14	0	14
8	E. Royal	3	2	0	2
9	A. Jeffery	10	151	0	47
9	J. Langford	3	70	0	31
9	M. Bennett	8	57	1	17
9	M. Mariani	2	23	0	13
9	Z. Miller	2	23	1	25
9	M. Wilson	1	15	0	15
9	J. Bellamy	1	6	0	6
10	J. Langford	7	109	1	83
10	Z. Miller	5	107	2	87
10	A. Jeffery	3	23	0	10
10	M. Bennett	3	18	0	8
10	M. Wilson	1	1	0	1
11	M. Wilson	4	102	0	40
11	J. Bellamy	4	57	0	38
11	Z. Miller	3	47	0	21
11	M. Bennett	2	26	0	17
11	J. Langford	3	17	0	9
11	M. Mariani	1	10	0	10
11	C. Meredith	1	6	0	6
12	A. Jeffery	7	90	0	22
12	M. Wilson	4	44	0	19
12	M. Mariani	3	35	0	21
12	Z. Miller	2	10	1	7
12	M. Forte	1	9	0	9
12	K. Lee	1	7	0	7
12	J. Langford	1	5	0	5
13	A. Jeffery	4	85	0	31
13	M. Forte	5	39	0	14
13	M. Mariani	2	33	0	26
13	J. Bellamy	1	16	0	16
13	M. Bennett	3	14	0	7
13	J. Langford	2	9	0	7
13	Z. Miller	1	6	0	6
14	A. Jeffery	6	107	1	50
14	Z. Miller	5	85	1	30
14	M. Mariani	2	37	0	24
14	D. Thompson	1	36	0	36
14	J. Langford	3	27	0	11
14	E. Royal	1	15	0	15
14	M. Forte	1	8	0	8
15	M. Forte	6	57	1	20
15	Z. Miller	6	57	0	17
15	M. Mariani	3	31	0	14
15	E. Royal	5	31	0	10
15	K. Carey	2	18	0	11
15	J. Langford	1	11	0	11
15	A. Jeffery	1	10	1	10
15	R. Housler	1	9	0	9
15	J. Bellamy	1	7	0	7
16	Z. Miller	7	69	0	18
16	M. Mariani	2	32	0	25
16	M. Forte	3	23	0	9
16	E. Royal	5	21	0	14
16	J. Bellamy	2	10	0	7
16	K. Carey	1	1	1	1T
17	M. Mariani	6	80	0	24
17	J. Bellamy	3	49	1	34T
17	D. Thompson	1	45	0	45
17	M. Forte	3	34	1	23T
17	C. Meredith	2	19	0	16
17	R. Housler	2	18	0	12
