week	name	att	yds	td	lg
1	M. Forte	24	141	1	23
1	J. Cutler	4	31	0	12
1	J. Rodgers	4	16	0	5
1	J. Langford	1	1	0	1
2	M. Forte	15	61	0	27
2	J. Cutler	3	24	0	10
2	J. Langford	6	21	1	6
2	J. Rodgers	2	8	0	5
2	J. Clausen	2	-5	0	0
3	M. Forte	20	74	0	12
3	J. Clausen	3	13	0	11
3	J. Rodgers	4	11	0	5
4	M. Forte	25	91	0	12
4	J. Langford	1	4	0	4
4	J. Rodgers	2	3	0	3
4	J. Cutler	1	0	0	0
5	M. Forte	18	71	0	10
5	J. Cutler	4	15	0	7
5	J. Rodgers	2	3	0	2
5	J. Langford	2	-2	0	0
6	M. Forte	24	69	1	11
6	J. Cutler	2	12	0	10
6	J. Langford	5	10	1	6
8	J. Langford	12	46	0	9
8	M. Forte	10	41	0	14
8	J. Cutler	2	11	1	7
8	E. Royal	1	-1	0	-1
9	J. Langford	18	72	1	16
9	K. Carey	7	28	0	8
9	A. Smith	1	11	0	11
9	J. Cutler	3	-2	0	0
10	J. Langford	20	73	1	23
10	K. Carey	14	56	0	9
10	J. Cutler	3	24	0	26
11	K. Carey	9	32	0	9
11	J. Cutler	3	29	0	18
11	J. Langford	13	25	1	5
12	J. Langford	12	48	1	14
12	M. Forte	15	44	0	7
12	J. Cutler	4	9	0	6
13	M. Forte	21	84	1	15
13	J. Langford	12	59	0	14
13	K. Carey	5	17	1	11
13	J. Cutler	4	10	0	9
14	M. Forte	10	45	1	10
14	J. Langford	11	37	0	9
14	J. Cutler	1	5	0	5
15	M. Forte	8	47	0	13
15	J. Langford	11	46	0	10
15	J. Cutler	1	1	0	1
16	J. Langford	19	83	0	11
16	M. Forte	11	54	0	16
16	J. Cutler	2	21	0	16
16	K. Carey	7	16	1	6
17	M. Forte	17	76	0	13
17	J. Langford	5	14	0	4
17	J. Cutler	1	11	0	11
17	K. Carey	1	10	0	10
