week	name	t	a	sck	int	ff
1	A. Jones	10	0	0.0	0	1
1	V. Rey	6	3	0.0	0	0
1	R. Maualuga	4	3	0.0	0	0
1	D. Dennard	3	0	0.0	0	0
1	G. Atkins	2	0	1.0	0	1
1	C. Carter	2	1	0.0	0	0
1	L. Hall	2	1	0.0	0	0
1	D. Kirkpatrick	2	0	0.0	0	0
1	S. Williams	2	0	0.0	0	0
1	C. Dunlap	1	1	1.0	0	0
1	A. Hawk	1	3	0.0	0	0
1	G. Iloka	1	1	0.0	0	0
1	M. Johnson	1	0	0.0	0	0
1	E. Lamur	1	1	0.0	0	0
1	P. Dawson	0	1	0.0	0	0
1	R. Nelson	0	0	0.0	1	0
1	P. Sims	0	1	0.0	0	0
2	A. Jones 	7	2	0.0 0 	0
2	D. Kirkpatrick 	7	0	0.0 0 	0
2	G. Iloka 	5	0	0.0 0 	0
2	L. Hall 	4	0	0.0 0 	0
2	C. Dunlap 	3	3	1.5 0 	0
2	W. Gilberry 2	1	1.0 0 	1
2	M. Johnson 	2	1	0.0 0 	0
2	E. Lamur 	2	0	0.0 0 	0
2	R. Maualuga 2	3	0.0 0 	0
2	R. Nelson 	2	2	0.0 0 	0
2	V. Rey 	2	2	0.0 	1 	0
2	G. Atkins 	0	3	1.0 0 	0
2	W. Clarke 	0	1	0.5 0 	0
2	D. Peko 	0	2	0.0 0 	0
3	A. Hawk	5	1	0.0	0	0
3	A. Jones	4	2	0.0	1	0
3	V. Rey	4	4	0.0	0	0
3	C. Dunlap	3	2	0.0	0	0
3	S. Williams	3	0	0.0	0	0
3	G. Atkins	2	2	0.0	0	0
3	L. Hall	2	1	0.0	0	0
3	D. Kirkpatrick	2	2	0.0	0	0
3	E. Lamur	2	1	0.0	0	0
3	R. Maualuga	2	3	0.0	0	0
3	R. Nelson	2	1	0.0	0	0
3	C. Peerman	2	0	0.0	0	1
3	W. Gilberry	1	0	0.0	0	0
3	G. Iloka	1	1	0.0	0	0
3	D. Peko	1	2	0.0	0	0
3	B. Thompson	1	1	0.0	0	0
3	M. Johnson	0	1	0.0	0	0
4	V. Rey	10	5	0.0	0	0
4	R. Nelson	6	3	0.0	0	0
4	D. Dennard	4	2	0.0	0	0
4	M. Johnson	4	0	1.0	0	1
4	R. Maualuga	4	4	0.0	0	0
4	L. Hall	3	0	0.0	0	0
4	D. Kirkpatrick	3	2	0.0	0	0
4	S. Williams	3	3	0.0	0	0
4	G. Atkins	2	1	1.0	0	0
4	C. Dunlap	2	0	1.0	0	0
4	W. Gilberry	2	0	0.0	0	0
4	D. Peko	2	0	2.0	0	0
4	W. Clarke	1	0	0.0	0	0
4	E. Lamur	1	2	0.0	0	0
4	A. Hawk	0	1	0.0	0	0
4	A. Jones	0	1	0.0	0	0
4	P. Sims	0	1	0.0	0	0
5	V. Rey	6	7	0.0	0	0
5	R. Maualuga	5	3	0.0	0	0
5	A. Jones	4	1	1.0	1	0
5	C. Dunlap	3	3	1.5	0	0
5	G. Iloka	3	1	0.0	0	0
5	G. Atkins	2	2	1.0	0	0
5	D. Dennard	2	0	0.0	0	0
5	A. Hawk	2	0	0.0	0	0
5	R. Nelson	2	2	0.0	0	0
5	D. Peko	2	2	0.0	0	0
5	B. Thompson	1	1	0.0	0	0
5	M. Johnson	0	3	0.0	0	0
5	E. Lamur	0	3	0.5	0	0
6	R. Nelson	8	3	0.0	0	0
6	V. Rey	7	1	0.0	0	0
6	D. Kirkpatrick	6	0	0.0	0	0
6	G. Iloka	4	2	0.0	0	0
6	M. Johnson	4	0	0.0	0	0
6	A. Jones	4	1	0.0	0	0
6	E. Lamur	3	3	0.0	0	0
6	G. Atkins	2	0	0.0	0	0
6	W. Gilberry	2	1	0.0	0	0
6	R. Maualuga	2	4	0.0	0	0
6	W. Clarke	1	0	0.0	0	0
6	C. Dunlap	1	2	1.5	0	0
6	C. Carter	0	1	0.0	0	0
6	D. Dennard	0	1	0.0	1	0
6	D. Peko	0	3	0.0	0	0
6	B. Thompson	0	1	0.5	0	0
8	V. Burfict	5	0	0.0	0	0
8	L. Hall	5	0	0.0	0	0
8	A. Jones	5	0	0.0	0	0
8	R. Nelson	5	0	0.0	2	0
8	V. Rey	5	3	0.0	0	0
8	G. Iloka	4	0	0.0	0	0
8	D. Kirkpatrick	3	0	0.0	0	0
8	G. Atkins	2	0	1.0	0	0
8	C. Dunlap	2	0	0.0	0	0
8	E. Lamur	2	0	0.0	0	0
8	D. Peko	2	0	0.0	0	0
8	P. Sims	2	2	0.0	0	0
8	C. Carter	1	0	0.0	0	0
8	W. Gilberry	1	0	1.0	0	0
8	A. Hawk	1	0	0.0	0	0
8	M. Johnson	1	0	1.0	0	0
8	S. Williams	1	0	0.0	1	0
9	V. Rey	5	0	0.0	0	0
9	C. Dunlap	4	0	2.0	0	0
9	G. Iloka	4	0	0.0	0	0
9	D. Kirkpatrick	4	0	0.0	0	0
9	G. Atkins	3	1	1.0	0	0
9	V. Burfict	2	1	0.0	0	0
9	L. Hall	2	0	0.0	0	0
9	R. Nelson	2	0	0.0	0	0
9	D. Dennard	1	0	0.0	0	0
9	M. Johnson	1	0	0.0	0	0
9	A. Jones	1	0	0.0	0	0
9	E. Lamur	1	0	0.0	0	0
9	D. Peko	1	1	0.0	0	0
9	B. Thompson	1	0	0.0	0	0
9	W. Gilberry	0	1	0.0	0	0
10	A. Jones	4	1	0.0	0	0
10	G. Iloka	3	5	0.0	0	0
10	V. Burfict	2	5	0.0	0	0
10	D. Kirkpatrick	2	1	0.0	0	0
10	R. Nelson	2	4	0.0	1	0
10	V. Rey	2	2	1.0	0	0
10	G. Atkins	1	2	0.0	0	0
10	W. Clarke	1	0	0.0	0	0
10	W. Gilberry	1	0	0.0	0	0
10	L. Hall	1	1	0.0	0	0
10	A. Hawk	1	1	1.0	0	0
10	E. Lamur	1	2	0.0	0	0
10	R. Maualuga	1	1	0.0	0	0
10	D. Peko	1	2	1.0	0	0
10	P. Sims	1	5	0.0	0	0
10	D. Dennard	0	1	0.0	0	0
