week	name	cmp	att	yds	td	int
1	A. Dalton	25	34	269	2	0
2	A. Dalton 	16	26 	214 3 	0
3	A. Dalton	20	32	383	3	1
4	A. Dalton	17	24	321	1	0
5	A. Dalton	30	44	331	2	1
6	A. Dalton	22	33	243	3	0
8	A. Dalton	23	38	231	1	2
9	A. Dalton	21	27	234	3	0
10	A. Dalton	22	38	197	0	1
11	A. Dalton	22	39	315	2	0
12	A. Dalton	20	27	233	3	1
12	A. McCarron	1	1	3	0	0
13	A. Dalton	14	19	220	2	0
13	A. McCarron	2	3	19	0	0
14	A. McCarron	22	32	280	2	2
14	A. Dalton	3	5	59	0	1
15	A. McCarron	15	21	192	1	0
16	A. McCarron	22	35	200	1	0
17	A. McCarron	17	27	160	2	0
