week	name	rec	yds	td	lg
1	T. Eifert	9	104	2	31
1	A. Green	5	63	0	30
1	M. Sanu	2	34	0	28
1	G. Bernard	6	25	0	14
1	R. Burkhead	1	24	0	24
1	M. Jones	2	19	0	12
2	T. Eifert 	4 	49 	1 	15
2	M. Jones 	2 	48 	1 	45
2	A. Green 	3 	45 	1 	23
2	J. Fisher 	1 	31 	0 	31
2	G. Bernard 	3 	16 	0 	9
2	M. Sanu 	1 	15 	0 	15
2	R. Burkhead 1 	8 	0 	8
2	J. Hill 	1 	2 	0 	2
3	A. Green	10	227	2	80
3	M. Jones	5	94	1	32
3	G. Bernard	3	34	0	23
3	M. Sanu	2	28	0	19
4	M. Sanu	4	84	0	52
4	A. Green	7	82	0	36
4	T. Eifert	3	69	0	30
4	B. Tate	1	55	1	55
4	R. Burkhead	1	27	0	27
4	M. Jones	1	4	0	4
5	T. Eifert	8	90	2	25
5	A. Green	6	78	0	22
5	M. Sanu	5	69	0	25
5	M. Jones	5	61	0	44
5	G. Bernard	5	21	0	10
5	J. Hill	1	12	0	12
6	M. Jones	9	95	1	42
6	A. Green	4	36	0	12
6	T. Eifert	4	30	1	15
6	M. Sanu	2	30	0	24
6	G. Bernard	1	23	0	23
6	R. Hewitt	1	16	0	16
6	J. Hill	1	13	1	13
8	A. Green	11	118	1	38
8	T. Eifert	4	39	0	23
8	G. Bernard	2	22	0	23
8	R. Hewitt	1	22	0	22
8	M. Jones	2	12	0	6
8	M. Sanu	2	10	0	7
8	J. Hill	1	8	0	8
9	M. Jones	5	78	0	29
9	T. Eifert	5	53	3	19
9	A. Green	4	53	0	18
9	M. Sanu	3	25	0	9
9	G. Bernard	1	14	0	14
9	R. Burkhead	1	7	0	7
9	B. Tate	1	4	0	4
9	J. Hill	1	0	0	0
10	A. Green	5	67	0	26
10	M. Jones	4	44	0	16
10	G. Bernard	5	43	0	15
10	T. Eifert	3	26	0	14
10	R. Hewitt	1	7	0	7
10	J. Hill	3	5	0	5
10	M. Sanu	1	5	0	5
11	G. Bernard	8	128	0	41
11	A. Green	4	79	0	42
11	M. Jones	4	60	0	22
11	T. Eifert	3	22	2	10
11	M. Sanu	2	19	0	10
11	R. Burkhead	1	7	0	7
12	A. Green	6	61	2	18
12	G. Bernard	2	51	0	45
12	T. Eifert	3	40	1	22
12	R. Hewitt	2	29	0	21
12	M. Jones	3	25	0	12
12	J. Hill	1	14	0	14
12	M. Sanu	1	8	0	8
12	R. Burkhead	2	4	0	3
12	T. Kroft	1	4	0	4
13	A. Green	5	128	1	57
13	M. Jones	5	55	1	21
13	T. Kroft	1	17	0	17
13	M. Alford	1	15	0	15
13	G. Bernard	1	9	0	9
13	R. Hewitt	1	7	0	7
13	R. Burkhead	1	4	0	4
13	C. Uzomah	1	4	0	4
14	A. Green	6	132	1	66
14	M. Jones	6	61	0	23
14	T. Eifert	2	42	0	24
14	T. Kroft	2	31	0	22
14	G. Bernard	3	27	0	11
14	M. Sanu	2	24	0	23
14	R. Hewitt	1	9	0	9
14	J. Hill	2	8	0	5
14	R. Burkhead	1	5	1	5
15	M. Jones	4	89	0	47
15	A. Green	1	37	0	37
15	T. Kroft	3	31	1	20
15	G. Bernard	4	18	0	14
15	R. Hewitt	1	9	0	9
15	M. Sanu	2	8	0	6
16	A. Green	5	57	1	17
16	T. Kroft	4	46	0	15
16	M. Jones	3	33	0	15
16	G. Bernard	4	29	0	9
16	M. Sanu	3	29	0	20
16	R. Burkhead	1	8	0	8
16	J. Hill	2	-2	0	2
17	T. Eifert	4	51	1	22
17	M. Jones	5	38	0	23
17	A. Green	4	34	1	12
17	J. Hill	2	19	0	13
17	G. Bernard	1	12	0	12
17	M. Sanu	1	6	0	6
