week	name	att	yds	td	lg
1	G. Bernard	8	63	0	28
1	J. Hill	19	63	2	11
1	A. Dalton	4	1	0	3
2	G. Bernard	20	123	0	26
2	J. Hill	10	39	0	9
2	A. Dalton	5	10	0	6
2	M. Jones	1	3	0	3
3	G. Bernard	13	49	0	7
3	J. Hill	12	21	0	6
3	A. Dalton	5	10	1	7
3	M. Sanu	1	6	0	6
4	G. Bernard	13	62	1	16
4	J. Hill	9	40	3	10
4	A. Dalton	3	16	0	8
4	M. Jones	1	6	0	6
5	G. Bernard	15	80	0	13
5	A. Dalton	7	18	1	6
5	J. Hill	8	13	0	5
5	R. Burkhead	1	-2	0	-2
6	J. Hill	16	56	0	10
6	G. Bernard	8	50	1	17
6	M. Sanu	1	8	0	8
6	A. Dalton	3	-2	0	0
8	J. Hill	15	60	0	15
8	G. Bernard	1	12	0	12
8	A. Dalton	6	4	0	5
8	M. Jones	1	2	0	2
9	G. Bernard	13	72	0	13
9	J. Hill	15	52	0	13
9	M. Sanu	1	25	1	25
9	A. Dalton	6	5	0	6
9	A. McCarron	2	-2	0	-1
10	G. Bernard	8	36	0	9
10	A. Dalton	4	31	0	11
10	J. Hill	7	15	0	6
10	M. Jones	1	-8	0	-8
11	J. Hill	13	45	2	9
11	A. Dalton	8	34	0	12
11	G. Bernard	6	18	0	10
11	M. Sanu	1	2	0	2
12	J. Hill	16	86	0	15
12	M. Jones	1	30	0	30
12	G. Bernard	10	16	0	3
12	R. Burkhead	2	4	0	2
12	A. Dalton	2	4	0	5
13	J. Hill	22	98	1	17
13	G. Bernard	5	26	0	9
13	A. Dalton	4	11	1	4
13	M. Sanu	1	7	0	7
13	R. Burkhead	1	2	0	2
14	G. Bernard	6	40	0	18
14	J. Hill	7	16	0	12
14	A. McCarron	3	8	0	5
15	G. Bernard	14	33	0	6
15	J. Hill	19	31	2	9
15	A. McCarron	2	2	0	1
15	M. Sanu	1	2	0	2
16	J. Hill	19	63	0	14
16	A. McCarron	4	21	0	16
16	G. Bernard	8	14	0	5
16	M. Sanu	2	10	1	6
17	J. Hill	16	96	1	38
17	G. Bernard	6	36	0	15
17	M. Sanu	2	11	0	10
17	A. McCarron	3	2	0	2
