week	name	t	a	sck	int	ff
1	N. Bradham	7	1	1.0	0	0
1	S. Gilmore	6	0	0.0	0	0
1	R. Darby	5	1	0.0	1	0
1	B. Rambo	4	1	0.0	0	0
1	N. Robey	4	2	1.0	0	0
1	C. Bryant	3	2	0.0	0	0
1	J. Hughes	3	1	0.0	0	0
1	P. Brown	2	4	0.0	0	0
1	S. Charles	2	0	0.0	0	0
1	C. Graham	1	0	0.0	0	0
1	M. Lawson	1	0	0.0	0	0
1	A. Williams	1	4	0.0	1	0
1	K. Williams	0	2	0.0	0	0
2	P. Brown	6	5	0.0	0	1
2	C. Graham	6	3	0.0	0	0
2	N. Robey	6	0	0.0	0	0
2	S. Gilmore	5	0	0.0	0	0
2	R. Darby	4	0	0.0	0	0
2	B. Rambo	3	1	0.0	0	0
2	M. Williams	3	0	1.0	0	0
2	A. Williams	3	0	0.0	0	0
2	N. Bradham	2	2	0.0	0	0
2	J. Hughes	2	1	1.0	0	1
2	M. Lawson	2	0	0.0	0	0
2	K. Williams	1	1	0.0	0	0
2	M. Butler	1	0	0.0	0	0
2	M. Dareus	1	0	0.0	0	0
3	C. Graham	10	2	0.0	0	0
3	B. Rambo	6	1	0.0	0	0
3	N. Bradham	4	0	0.0	0	0
3	R. Darby	4	1	0.0	1	0
3	M. Dareus	4	0	1.0	0	0
3	P. Brown	3	4	0.0	2	0
3	C. Bryant	3	0	0.0	0	0
3	N. Robey	3	2	0.0	0	0
3	K. Williams	1	1	0.0	0	0
3	S. Charles	1	0	1.0	0	1
3	S. Gilmore	1	0	0.0	0	0
3	J. Hughes	1	0	0.0	0	0
4	C. Graham	8	5	1.0	0	0
4	N. Bradham	7	1	0.0	0	0
4	P. Brown	6	5	0.0	0	0
4	R. Darby	4	0	0.0	0	0
4	M. Dareus	4	0	0.0	0	0
4	M. Williams	3	1	0.0	0	0
4	S. Gilmore	2	0	0.0	1	0
4	J. Hughes	2	0	0.0	0	0
4	N. Robey	2	1	0.0	0	0
4	D. Williams	2	0	0.0	0	0
4	K. Williams	1	2	0.0	0	0
4	S. Charles	1	0	0.0	0	0
4	M. Lawson	1	0	0.0	0	0
4	B. Rambo	1	1	0.0	0	0
4	C. Bryant	0	1	0.0	0	0
5	C. Graham	8	2	0.0	0	0
5	A. Williams	5	2	0.0	0	0
5	N. Bradham	4	2	0.0	0	0
5	R. Darby	4	0	0.0	0	0
5	N. Robey	4	0	0.0	0	0
5	K. Williams	3	1	1.0	0	0
5	P. Brown	2	4	0.0	0	0
5	M. Dareus	2	3	0.0	0	0
5	J. Hughes	2	2	0.0	0	0
5	M. Lawson	2	1	0.0	0	0
5	S. Gilmore	1	0	0.0	1	0
5	A. Tarpley	1	0	0.0	0	0
5	D. Williams	1	0	0.0	0	0
5	M. Williams	1	2	1.0	0	0
5	C. Bryant	0	1	0.0	0	0
6	P. Brown	7	2	0.0	0	0
6	R. Darby	6	0	0.0	0	0
6	S. Gilmore	5	0	0.0	0	0
6	D. Williams	5	1	0.0	0	0
6	C. Graham	4	3	0.0	0	0
6	M. Dareus	3	1	0.0	0	0
6	J. Hughes	3	1	0.0	0	0
6	M. Lawson	3	3	0.0	0	0
6	N. Bradham	2	1	0.0	0	0
6	C. Bryant	1	3	0.0	0	0
6	B. Rambo	1	0	0.0	0	0
6	M. Williams	1	0	0.0	0	0
6	K. Williams	0	1	0.0	0	0
6	S. Charles	0	2	0.0	0	0
7	C. Graham	8	1	0.0	1	0
7	D. Williams	4	1	1.0	0	0
7	P. Brown	3	1	0.0	0	0
7	C. Bryant	3	2	0.0	0	0
7	R. Darby	3	2	0.0	0	0
7	M. Dareus	3	1	0.0	0	0
7	S. Gilmore	2	0	0.0	0	0
7	M. Williams	2	0	1.0	0	0
7	N. Bradham	1	0	0.0	0	0
7	A. Carrington	1	0	0.0	0	0
7	J. Hughes	1	2	0.0	0	0
7	M. Lawson	1	0	0.0	0	0
7	B. Rambo	1	0	0.0	0	0
9	R. Darby	10	0	0.0	0	0
9	C. Graham	8	0	0.0	0	0
9	L. McKelvin	6	0	0.0	0	0
9	N. Bradham	4	3	0.0	0	0
9	Du. Williams	3	1	0.0	0	0
9	P. Brown	3	2	0.0	0	0
9	S. Gilmore	3	0	0.0	0	0
9	J. Hughes	3	0	2.0	0	1
9	N. Robey	3	0	0.0	0	0
9	I. Enemkpali	2	0	0.0	0	0
9	M. Lawson	2	1	0.0	0	0
9	C. Bryant	1	0	0.0	0	0
9	A. Carrington	1	0	0.0	0	0
9	M. Williams	1	0	0.0	0	0
9	M. Dareus	0	1	0.0	0	0
10	N. Bradham	4	3	0.0	0	0
10	P. Brown	3	5	0.0	0	0
10	R. Darby	3	0	0.0	0	0
10	C. Graham	3	2	0.0	1	0
10	L. McKelvin	3	1	0.0	0	0
10	Du. Williams	2	0	0.0	0	0
10	A. Carrington	2	2	0.0	0	0
10	M. Dareus	2	1	1.0	0	0
10	S. Gilmore	2	0	0.0	0	0
10	J. Hughes	2	1	0.0	0	0
10	M. Lawson	2	0	0.0	0	0
10	B. Rambo	2	0	0.0	1	1
10	C. Bryant	0	1	0.0	0	0
11	B. Rambo	6	2	0.0	0	0
11	P. Brown	5	4	0.0	0	0
11	N. Bradham	3	2	0.0	0	0
11	C. Graham	3	4	0.0	0	0
11	R. Darby	2	1	0.0	0	0
11	J. Hughes	2	1	0.0	0	0
11	M. Lawson	2	1	1.0	0	0
11	A. Carrington	1	1	0.0	0	0
11	M. Dareus	1	1	0.0	0	0
11	I. Enemkpali	1	2	0.0	0	0
11	S. Gilmore	1	0	0.0	1	0
11	L. McKelvin	1	1	0.0	0	0
11	C. Bryant	0	2	0.0	0	0
12	M. Dareus	6	0	0.0	0	0
12	S. Gilmore	6	0	0.0	0	0
12	P. Brown	5	0	0.0	0	0
12	N. Bradham	4	0	0.0	0	0
12	C. Graham	4	1	0.0	0	0
12	B. Rambo	3	0	0.0	0	0
12	R. Darby	2	1	0.0	0	0
12	I. Enemkpali	2	0	0.0	0	0
12	J. Hughes	2	0	0.0	0	0
12	M. Lawson	2	0	0.0	0	0
12	L. McKelvin	2	0	0.0	0	0
12	N. Robey	2	0	0.0	0	0
12	M. Butler	1	0	0.0	0	0
12	A. Tarpley	1	0	1.0	0	0
13	M. Lawson	7	1	0.0	0	0
13	R. Darby	6	1	0.0	0	0
13	P. Brown	5	4	0.0	0	0
13	C. Bryant	5	1	0.0	0	0
13	N. Robey	5	0	0.0	0	0
13	J. Hughes	4	2	1.0	0	0
13	B. Rambo	4	2	1.0	0	0
13	M. Dareus	3	1	0.0	0	0
13	S. Gilmore	2	0	0.0	0	0
13	C. Graham	2	1	0.0	0	0
13	L. McKelvin	1	0	0.0	0	0
13	K. Reddick	1	1	0.0	0	0
13	T. Steward	1	1	0.0	0	0
13	M. Easley	0	0	0.0	1	0
14	C. Graham	8	1	0.0	0	0
14	B. Rambo	7	0	0.0	0	0
14	S. Charles	4	0	0.0	0	0
14	R. Darby	4	0	0.0	0	0
14	M. Lawson	4	0	0.0	0	0
14	L. McKelvin	4	1	0.0	1	0
14	P. Brown	3	2	0.0	0	0
14	M. Dareus	3	2	0.0	0	0
14	J. Hughes	3	0	0.0	0	0
14	N. Robey	2	0	0.0	0	0
14	D. Williams	2	0	0.0	0	0
14	M. Williams	2	0	1.0	0	0
14	C. Bryant	1	1	0.0	0	0
14	I. Enemkpali	1	1	0.0	0	0
15	C. Graham	5	3	0.0	0	0
15	P. Brown	4	7	0.0	0	0
15	R. Darby	4	0	0.0	0	0
15	J. Hughes	4	3	1.0	0	0
15	C. Bryant	2	3	0.0	0	0
15	M. Lawson	2	1	0.0	0	0
15	B. Rambo	2	4	0.0	0	0
15	N. Robey	2	0	0.0	0	0
15	M. Dareus	1	2	0.0	0	0
15	I. Enemkpali	1	1	0.0	0	0
15	L. McKelvin	1	4	0.0	0	0
15	T. Barnes	0	1	0.0	0	0
15	S. Charles	0	1	0.0	0	0
15	R. Johnson	0	1	0.0	0	0
15	M. Williams	0	1	0.0	0	0
16	C. Graham	8	3	0.0	0	0
16	R. Brooks	5	0	0.0	0	0
16	P. Brown	3	4	0.0	0	0
16	C. Bryant	3	1	0.0	0	0
16	N. Robey	3	0	0.0	0	0
16	M. Dareus	2	0	0.0	0	0
16	M. Lawson	2	2	0.0	0	0
16	L. McKelvin	2	0	0.0	0	0
16	B. Rambo	2	1	0.0	0	0
16	M. Butler	1	0	0.0	0	0
16	S. Charles	1	0	0.0	0	0
16	I. Enemkpali	1	0	0.0	0	0
16	J. Hughes	1	0	0.0	0	0
16	K. Reddick	1	0	0.0	0	0
16	A. Tarpley	1	1	0.0	1	0
17	C. Graham	5	0	0.0	0	0
17	L. McKelvin	5	0	0.0	1	0
17	P. Brown	3	1	0.0	0	0
17	M. Dareus	3	0	0.0	0	0
17	C. Bryant	2	3	0.0	0	0
17	J. Hughes	2	1	0.0	0	0
17	M. Lawson	2	0	0.0	1	0
17	B. Rambo	2	1	0.0	0	0
