week	name	rec	yds	td	lg
1	P. Harvin	5	79	1	51
1	L. McCoy	3	46	0	22
1	C. Clay	4	43	0	27
1	R. Woods	2	27	0	15
2	S. Watkins 	6 	60 	1 	24
2	R. Woods 	3 	60 	1 	32
2	P. Harvin 	4 	47 	0 	25
2	L. McCoy 	3 	27 	0 	11
2	C. Clay 3 	19 	1 	9
2	Ka. Williams 	2 	16 	0 	11
2	C. Hogan 	1 	11 	0 	11
2	M. Mulligan 	1 	2 	0 	2
3	C. Clay	5	82	1	25T
3	P. Harvin	7	66	0	18
3	C. Hogan	3	42	1	38
3	S. Watkins	1	39	0	39
3	R. Woods	4	38	0	16
3	L. McCoy	1	10	1	10
4	C. Clay	9	111	0	27
4	C. Hogan	5	43	0	13
4	R. Woods	3	33	0	17
4	Ka. Williams	3	30	1	23
4	P. Harvin	3	26	0	13
4	A. Dixon	2	20	0	14
4	C. Gragg	1	15	0	15
4	M. Gray	1	2	0	2
4	C. Wood	1	-6	0	-6
5	C. Hogan	3	52	1	46
5	M. Goodwin	2	24	0	14
5	A. Dixon	3	20	0	9
5	C. Clay	1	7	0	7
5	R. Woods	1	6	0	6
5	T. Taylor	1	4	0	4
6	C. Clay	9	62	0	19
6	C. Gragg	5	54	0	19
6	S. Watkins	4	48	1	22
6	R. Woods	4	47	0	22
6	C. Hogan	2	31	0	23
6	D. Herron	2	17	0	9
6	L. McCoy	2	4	0	3
7	R. Woods	9	84	1	16
7	M. Easley	1	58	1	58
7	C. Hogan	6	56	0	14
7	L. McCoy	2	36	0	22
7	C. Gragg	2	35	0	29
7	C. Clay	3	26	0	12
7	D. Herron	1	3	0	3
9	S. Watkins	8	168	1	63
9	L. McCoy	2	7	0	14
9	C. Clay	1	6	0	6
10	C. Clay	5	52	0	25
10	L. McCoy	5	47	0	17
10	Ka. Williams	1	26	1	26
10	R. Woods	3	19	0	10
10	S. Watkins	3	14	0	6
11	C. Hogan	6	95	0	42
11	R. Woods	4	44	0	18
11	L. McCoy	6	41	0	11
11	S. Watkins	3	39	0	16
11	C. Clay	1	14	0	14
12	S. Watkins	6	158	2	48
12	C. Hogan	3	34	0	13
12	C. Clay	5	31	0	15
12	L. McCoy	3	31	1	17
12	R. Woods	3	25	0	12
12	J. Felton	1	12	0	12
13	S. Watkins	3	109	1	53
13	C. Clay	4	66	1	40
13	R. Woods	2	19	1	17
13	C. Hogan	1	12	0	12
13	M. Gillislee	1	5	0	5
14	R. Woods	5	106	0	37
14	S. Watkins	5	81	1	47
14	L. McCoy	4	35	0	10
14	C. Hogan	2	20	0	14
14	C. Gragg	1	11	0	11
14	C. Clay	1	9	0	9
14	M. Gillislee	1	6	0	6
15	S. Watkins	5	111	2	48
15	R. Woods	4	44	0	17
15	N. O'Leary	1	37	0	37
15	C. Gragg	1	16	0	16
15	C. Hogan	1	13	0	13
15	L. McCoy	1	8	0	8
15	A. Dixon	1	4	0	4
15	M. Gillislee	2	2	0	2
16	S. Watkins	5	84	0	37
16	C. Hogan	2	39	0	20
16	K. Williams	2	21	0	20
16	C. Gragg	2	19	0	15
16	M. Gillislee	2	16	0	14
17	S. Watkins	11	136	0	38
17	G. Salas	3	41	0	20
17	K. Williams	3	3	0	3
17	C. Hogan	1	2	0	2
