week	name	att	yds	td	lg
1	K. Williams	6	55	1	26
1	L. McCoy	17	41	0	16
1	T. Taylor	9	41	0	31
1	P. Harvin	1	9	0	9
1	A. Dixon	3	1	1	4
2	L. McCoy	15	89	0	18
2	T. Taylor	5	43	1	23
2	K. Williams	6	21	1	7	
2	P. Harvin	1	7	0	7
3	K. Williams	12	110	1	41
3	P. Harvin	2	16	0	9
3	L. McCoy	11	16	0	9
3	T. Taylor	3	12	0	6
3	A. Dixon	5	-1	0	2
3	E. Manuel	1	-2	0	-2
4	K. Williams	18	40	0	11
4	T. Taylor	6	15	0	7
5	T. Taylor	8	76	1	26
5	D. Herron	9	28	0	8
5	A. Dixon	7	19	0	6
5	C. Wood	2	3	0	3
5	J. Felton	1	2	0	2
5	P. Harvin	1	-1	0	-1
6	L. McCoy	17	90	1	33
6	E. Manuel	6	22	1	16
7	L. McCoy	18	68	0	17
7	E. Manuel	8	38	0	12
7	D. Herron	2	9	0	5
9	L. McCoy	16	112	1	48
9	K. Williams	9	110	2	38
9	T. Taylor	10	44	0	14
9	R. Woods	1	0	0	0
10	L. McCoy	19	112	0	16
10	K. Williams	7	24	0	13
10	T. Taylor	6	12	0	8
10	C. Schmidt	1	0	0	0
11	L. McCoy	20	82	1	27
11	K. Williams	6	11	0	5
11	T. Taylor	4	1	0	5
12	L. McCoy	19	70	0	12
12	T. Taylor	5	46	0	15
12	A. Dixon	2	8	0	6
12	K. Williams	2	5	0	3
13	L. McCoy	21	112	0	32
13	M. Gillislee	7	41	0	30
13	T. Taylor	7	28	1	9
13	A. Dixon	1	6	0	6
14	L. McCoy	20	74	0	24
14	T. Taylor	8	53	0	14
14	M. Gillislee	3	24	1	19
14	S. Watkins	1	1	0	1
15	M. Gillislee	4	81	1	60
15	T. Taylor	9	79	0	18
15	K. Williams	4	41	0	16
15	L. McCoy	10	29	0	10
15	E. Manuel	2	6	0	7
15	A. Dixon	1	5	0	5
15	M. Thigpen	1	-1	0	-1
16	M. Gillislee	9	93	1	50
16	K. Williams	17	76	1	26
16	T. Taylor	14	67	0	16
17	T. Taylor	10	51	1	18
17	M. Gillislee	24	28	0	9
17	K. Williams	6	24	1	6
17	A. Dixon	2	6	0	3
17	C. Hogan	1	4	0	4
