week	name	t	a	sck	int	ff
1	B. Marshall	6	1	1.0	0	0
1	D. Trevathan	6	3	0.0	0	0
1	C. Harris	3	0	0.0	0	0
1	M. Jackson	3	0	0.0	0	0
1	D. Stewart	3	1	0.0	1	0
1	V. Walker	3	0	0.0	0	0
1	D. Bruton	2	1	0.0	0	0
1	A. Talib	2	1	0.0	1	0
1	D. Ware	2	0	1.0	0	0
1	S. Williams	2	1	0.0	0	0
1	D. Kilgo	1	1	0.0	0	0
1	V. Miller	1	0	0.0	0	0
1	C. Nelson	1	0	0.0	0	0
1	A. Smith	1	1	0.0	0	0
1	S. Barrett	0	1	0.0	0	0
1	B. Roby	0	1	0.0	0	0
2	D. Trevathan	7	0	0.0	0	0
2	D. Bruton	4	0	1.0	0	1
2	C. Harris	4	0	0.0	1	0
2	B. Marshall	4	1	0.0	0	1
2	V. Miller	4	0	1.0	0	0
2	D. Stewart	4	0	0.0	0	0
2	D. Ware	4	0	1.0	0	0
2	M. Jackson	3	0	1.0	0	0
2	A. Smith	3	0	1.0	0	0
2	T. Ward	3	1	0.0	0	0
2	D. Kilgo	2	0	0.0	0	0
2	A. Talib	2	0	0.0	1	0
2	S. Barrett	1	0	0.0	0	0
2	S. Williams	1	0	0.0	0	0
3	B. Marshall	11	1	0.0	0	0
3	D. Stewart	6	2	0.0	0	0
3	A. Talib	5	0	0.0	0	0
3	T. Ward	4	5	0.0	0	0
3	C. Harris	2	0	0.0	0	0
3	B. Roby	2	0	0.0	1	0
3	D. Ware	2	2	1.5	0	0
3	S. Williams	2	1	1.0	0	0
3	S. Barrett	1	0	1.0	0	1
3	D. Bruton	1	1	0.0	1	0
3	M. Jackson	1	2	0.5	0	0
3	L. McCray	1	1	0.0	0	0
3	S. Ray	1	0	0.0	0	0
3	D. Trevathan	1	2	0.0	0	0
3	V. Walker	0	1	0.0	0	0
4	C. Harris	6	2	0.0	0	0
4	B. Marshall	6	3	0.0	0	0
4	T. Ward	6	0	2.0	0	1
4	B. Roby	5	0	0.0	0	1
4	V. Miller	3	1	1.0	0	0
4	A. Talib	3	0	0.0	0	0
4	S. Williams	3	1	1.0	0	0
4	C. Nelson	2	0	1.0	0	0
4	D. Stewart	2	1	0.0	0	1
4	V. Walker	2	1	0.0	0	0
4	D. Ware	2	1	1.0	0	0
4	S. Barrett	1	0	0.0	0	0
4	D. Bruton	1	3	0.0	0	0
4	M. Jackson	1	0	0.0	0	0
4	D. Kilgo	1	0	0.0	0	0
4	S. Ray	1	1	1.0	0	0
4	D. Trevathan	1	1	0.0	0	0
5	B. Marshall	7	1	0.0	0	0
5	D. Trevathan	7	3	0.0	0	0
5	T. Ward	6	1	0.0	0	1
5	M. Jackson	5	1	1.0	0	0
5	D. Wolfe	4	1	0.0	0	0
5	C. Harris	3	1	0.0	1	0
5	D. Stewart	3	2	0.0	0	0
5	S. Barrett	2	2	1.0	0	0
5	V. Miller	2	0	1.0	0	1
5	B. Roby	2	1	0.0	0	0
5	D. Bruton	1	0	0.0	0	0
5	T. Davis	1	1	0.0	0	0
5	D. Kilgo	1	0	0.0	0	0
5	S. Ray	1	0	1.0	0	0
5	A. Talib	1	1	0.0	0	0
5	D. Ware	1	2	0.0	0	0
5	S. Williams	0	1	0.0	0	0
6	S. Barrett	6	3	1.5	0	1
6	D. Trevathan	6	2	0.0	0	0
6	T. Ward	5	1	0.0	0	0
6	B. Marshall	4	3	0.5	0	0
6	D. Stewart	4	1	0.0	0	0
6	C. Harris	3	0	0.0	0	0
6	M. Jackson	3	1	1.0	0	0
6	A. Talib	3	1	0.0	1	0
6	V. Walker	3	2	0.0	0	0
6	L. McCray	2	1	0.5	0	0
6	B. Roby	2	0	0.0	0	0
6	D. Wolfe	2	1	0.0	0	0
6	S. Williams	1	0	0.0	0	0
6	K. Anunike	0	1	0.0	0	0
6	D. Bruton	0	1	0.0	1	0
6	V. Miller	0	1	0.0	0	0
6	A. Smith	0	1	0.5	0	0
8	B. Marshall	6	0	0.0	0	1
8	C. Harris	3	2	0.0	0	1
8	D. Stewart	3	0	0.0	0	0
8	D. Wolfe	3	4	0.0	0	0
8	T. Ward	2	1	0.0	0	0
8	D. Ware	2	1	1.0	0	1
8	S. Williams	2	1	0.0	0	0
8	S. Barrett	1	1	0.0	0	0
8	T. Davis	1	0	0.0	0	0
8	M. Jackson	1	1	0.0	0	0
8	L. McCray	1	2	0.0	0	0
8	V. Miller	1	0	1.0	0	0
8	A. Smith	1	0	1.0	0	0
8	A. Talib	1	0	0.0	0	0
8	D. Trevathan	1	1	0.0	0	0
8	V. Walker	1	1	0.0	0	0
8	B. Roby	0	1	0.0	0	0
9	T. Ward	10	2	0.0	0	0
9	D. Trevathan	6	13	0.0	0	0
9	M. Jackson	3	2	0.0	0	0
9	B. Marshall	3	6	0.0	0	0
9	V. Walker	3	1	0.0	0	0
9	S. Barrett	2	3	0.0	0	0
9	C. Harris	2	1	0.0	0	0
9	L. McCray	2	2	0.0	0	0
9	B. Roby	2	2	0.0	0	0
9	D. Stewart	1	3	0.0	0	0
9	D. Ware	1	0	1.0	0	0
9	K. Webster	1	0	0.0	0	0
9	D. Wolfe	1	2	0.0	0	0
9	T. Davis	0	2	0.0	0	0
9	V. Miller	0	2	0.0	0	0
9	S. Williams	0	1	0.0	0	0
10	B. Marshall	5	3	0.0	0	0
10	D. Stewart	5	1	0.0	0	0
10	B. Roby	4	0	0.0	0	0
10	D. Trevathan	4	2	0.0	0	0
10	T. Ward	4	0	0.0	0	0
10	D. Bruton	3	1	0.0	0	0
10	C. Harris	3	1	0.0	0	0
10	M. Jackson	3	0	0.0	0	0
10	V. Walker	3	3	0.0	0	0
10	V. Miller	2	0	1.0	0	0
10	D. Wolfe	2	0	0.0	0	0
10	S. Ray	1	0	0.0	0	0
10	S. Williams	1	0	1.0	0	0
10	S. Barrett	0	1	0.0	0	0
11	B. Marshall	7	0	0.0	0	0
11	D. Trevathan	7	1	0.0	1	0
11	T. Ward	5	0	0.0	0	0
11	D. Wolfe	4	0	1.0	0	0
11	S. Barrett	3	0	0.0	0	0
11	C. Harris	3	0	0.0	0	0
11	V. Miller	3	0	1.0	0	1
11	A. Talib	3	0	0.0	0	0
11	D. Bruton	2	1	0.0	0	0
11	C. Nelson	1	0	0.0	0	0
11	B. Roby	1	1	0.0	0	0
11	D. Stewart	1	0	0.0	0	0
11	S. Williams	1	0	0.0	0	0
11	S. Ray	0	1	0.0	0	0
12	D. Wolfe	7	2	1.0	0	0
12	D. Stewart	4	0	0.0	0	0
12	D. Trevathan	4	0	0.0	0	0
12	V. Miller	3	1	1.0	0	0
12	S. Barrett	2	1	0.0	0	0
12	C. Harris	2	0	0.0	0	0
12	B. Marshall	2	1	0.0	0	0
12	B. Roby	2	0	0.0	0	0
12	A. Talib	2	2	0.0	0	0
12	O. Bolden	1	0	0.0	0	0
12	D. Bruton	1	1	0.0	0	0
12	S. Ray	1	1	0.0	0	0
12	V. Walker	1	0	1.0	0	0
12	T. Ward	1	0	0.0	0	0
12	M. Jackson	0	1	0.0	0	0
13	D. Bruton	10	3	0.0	0	1
13	J. Bush	4	0	0.0	0	1
13	V. Miller	4	0	2.0	0	1
13	S. Barrett	3	0	1.0	0	0
13	B. Marshall	3	0	0.0	0	0
13	S. Ray	3	1	1.0	0	0
13	D. Wolfe	3	2	0.0	0	0
13	C. Harris	2	0	0.0	0	1
13	M. Jackson	2	0	0.0	0	0
13	C. Nelson	2	0	0.0	0	0
13	A. Talib	2	0	0.0	0	0
13	D. Trevathan	2	0	0.0	1	0
13	L. McCray	1	0	0.0	0	0
13	B. Roby	1	0	0.0	0	0
13	A. Smith	1	0	0.0	0	0
13	D. Stewart	1	1	0.0	0	0
13	O. Bolden	0	1	0.0	0	0
14	T. Davis	4	0	0.0	0	0
14	C. Harris	4	0	0.0	0	0
14	S. Barrett	3	0	1.0	0	0
14	B. Marshall	3	0	0.0	0	0
14	V. Miller	3	0	1.0	0	1
14	D. Stewart	3	0	0.0	0	0
14	M. Jackson	2	0	0.0	0	0
14	B. Roby	2	0	0.0	0	0
14	D. Wolfe	2	0	1.0	0	0
14	J. Bush	1	0	0.0	0	0
14	C. Nelson	1	0	0.0	0	0
14	S. Ray	1	0	0.0	0	0
14	A. Smith	1	0	0.0	0	0
14	A. Talib	1	0	0.0	0	0
14	S. Williams	1	0	0.0	0	0
15	A. Talib	8	0	0.0	0	0
15	D. Bruton	6	0	0.0	0	0
15	D. Trevathan	6	2	0.0	0	0
15	J. Bush	5	0	0.0	1	0
15	B. Roby	5	0	0.0	0	0
15	B. Marshall	4	3	0.0	1	0
15	C. Harris	3	2	0.0	0	0
15	M. Jackson	3	2	1.5	0	0
15	S. Keo	2	0	0.0	0	0
15	S. Ray	2	0	1.0	0	0
15	C. Nelson	1	0	0.0	0	0
15	S. Williams	1	0	0.0	0	0
15	D. Wolfe	1	2	0.5	0	0
15	S. Barrett	0	1	0.0	0	0
16	D. Trevathan	8	4	0.0	0	0
16	C. Harris	5	0	0.0	0	0
16	B. Marshall	5	2	0.0	0	0
16	B. Roby	4	0	0.0	0	0
16	V. Walker	4	1	1.0	0	0
16	V. Miller	3	0	0.0	0	0
16	D. Wolfe	3	0	1.0	0	0
16	M. Jackson	2	1	0.0	0	0
16	D. Stewart	2	1	0.0	0	0
16	A. Talib	2	0	0.0	0	0
16	D. Ware	2	1	0.0	0	0
16	S. Barrett	1	0	0.0	0	0
16	J. Bush	1	0	0.0	0	0
16	S. Keo	1	0	0.0	0	0
16	S. Ray	1	0	0.0	0	0
16	T. Ward	1	0	0.0	0	0
16	S. Williams	0	1	0.0	0	0
17	D. Trevathan	7	2	0.0	0	0
17	T. Davis	5	0	0.0	0	0
17	D. Stewart	4	0	0.0	0	0
17	A. Talib	4	1	0.0	0	0
17	S. Ray	3	1	0.0	0	0
17	V. Walker	3	0	0.0	0	0
17	T. Ward	3	0	0.0	0	0
17	S. Williams	3	0	0.0	0	0
17	D. Wolfe	3	0	1.0	0	0
17	S. Barrett	2	0	0.0	0	1
17	J. Bush	2	0	0.0	0	0
17	M. Jackson	2	0	0.0	0	0
17	B. Roby	2	0	0.0	0	0
17	C. Harris	1	0	0.0	0	0
17	V. Miller	1	0	1.0	0	0
17	C. Nelson	1	1	0.0	0	0
17	D. Ware	1	1	1.0	0	0
17	K. Webster	1	0	0.0	0	0
17	S. Keo	0	0	0.0	1	0
