week	name	rec	yds	td	lg
1	E. Sanders	8	65	0	18
1	D. Thomas	7	60	0	11
1	J. Norwood	2	25	0	15
1	C. Anderson	4	19	0	8
1	O. Daniels	2	5	0	9
1	A. Caldwell	1	1	0	1
2	D. Thomas	8	116	0	22
2	E. Sanders	8	87	2	19
2	O. Daniels	3	19	0	8
2	J. Norwood	3	14	0	7
2	V. Green	2	12	1	11
2	A. Caldwell	1	6	0	6
2	C. Anderson	1	2	0	2
3	D. Thomas	9	92	1	45
3	E. Sanders	6	87	0	34
3	B. Fowler	4	50	0	13
3	O. Daniels	5	28	1	11
3	J. Norwood	3	27	0	17
3	V. Green	1	26	0	26
3	C. Anderson	1	9	0	9
3	R. Hillman	1	3	0	3
3	A. Caldwell	1	2	0	2
4	D. Thomas	9	93	0	30
4	E. Sanders	3	68	0	43
4	C. Anderson	1	27	0	27
4	B. Fowler	1	11	0	11
4	O. Daniels	2	9	1	8
4	R. Hillman	1	5	0	5
5	E. Sanders	9	111	0	45
5	D. Thomas	5	55	0	17
5	B. Fowler	2	46	0	41
5	C. Anderson	2	18	0	10
5	J. Thompson	1	16	0	16
5	J. Norwood	2	15	0	11
5	R. Hillman	1	5	0	5
6	D. Thomas	10	111	0	20
6	E. Sanders	4	109	1	75
6	C. Anderson	4	25	0	11
6	O. Daniels	2	24	0	18
6	A. Caldwell	2	18	0	12
6	R. Hillman	3	4	0	3
6	J. Norwood	1	-1	0	-1
8	D. Thomas	8	168	0	47
8	V. Green	3	61	0	32
8	O. Daniels	3	44	0	18
8	A. Caldwell	1	24	0	24
8	E. Sanders	2	22	0	11
8	B. Fowler	2	21	0	15
8	C. Anderson	1	5	0	5
8	R. Hillman	1	-5	0	-5
9	O. Daniels	6	102	1	37
9	E. Sanders	6	90	1	64
9	D. Thomas	5	50	0	17
9	B. Fowler	2	22	0	13
9	V. Green	1	13	0	13
9	C. Anderson	1	4	0	4
10	D. Thomas	7	71	0	17
10	C. Latimer	3	30	0	15
10	V. Davis	2	19	0	11
10	B. Fowler	1	17	0	17
10	O. Daniels	1	14	0	14
10	A. Caldwell	2	13	1	7
10	R. Hillman	2	9	0	5
10	V. Green	1	8	0	8
11	O. Daniels	4	69	0	31
11	V. Davis	6	68	0	18
11	D. Thomas	3	59	1	48
11	C. Latimer	2	22	1	12
11	C. Anderson	2	13	0	12
11	V. Green	1	9	0	9
11	J. Norwood	1	8	0	8
11	R. Hillman	1	2	0	2
12	E. Sanders	6	113	0	39
12	O. Daniels	5	48	0	12
12	C. Anderson	4	40	0	20
12	D. Thomas	1	36	0	36
12	V. Davis	2	10	0	6
12	A. Caldwell	2	8	1	4
12	B. Fowler	1	8	0	8
12	C. Latimer	1	7	0	7
12	R. Hillman	1	0	0	0
13	D. Thomas	6	61	1	21
13	V. Davis	2	25	0	16
13	V. Green	1	22	0	22
13	E. Sanders	3	19	0	9
13	J. Thompson	1	14	0	14
13	O. Daniels	2	13	0	7
13	C. Anderson	1	12	0	12
14	D. Thomas	10	95	0	17
14	V. Davis	7	74	0	23
14	O. Daniels	3	43	0	32
14	R. Hillman	7	41	0	12
14	J. Thompson	4	21	0	8
14	E. Sanders	2	17	0	11
14	B. Fowler	1	12	0	12
14	J. Norwood	1	5	0	5
15	E. Sanders	10	181	1	61
15	D. Thomas	5	61	2	18
15	J. Norwood	2	29	0	16
15	O. Daniels	2	14	0	7
15	C. Anderson	1	6	0	6
15	V. Davis	1	5	0	5
16	O. Daniels	5	70	0	26
16	E. Sanders	4	67	1	35
16	D. Thomas	7	59	0	13
16	R. Hillman	4	37	0	14
16	J. Norwood	4	37	0	14
16	B. Fowler	1	13	0	13
16	C. Anderson	1	8	0	8
16	V. Green	1	8	0	8
17	D. Thomas	5	117	1	72
17	E. Sanders	5	99	0	46
17	J. Norwood	3	48	0	34
17	O. Daniels	1	15	0	15
17	V. Green	1	14	0	14
17	R. Hillman	2	10	0	8
17	B. Fowler	1	3	0	3
17	C. Anderson	1	-5	0	-5
