week	name	att	yds	td	lg
1	R. Hillman	12	41	0	11
1	C. Anderson	12	29	0	6
1	P. Manning	1	-1	0	-1
2	R. Hillman	9	34	0	16
2	C. Anderson	12	27	0	14
2	E. Sanders	1	0	0	0
3	C. Anderson	8	18	0	5
3	R. Hillman	7	13	1	5
3	J. Thompson	3	11	0	6
3	P. Manning	1	-1	0	-1
4	R. Hillman	11	103	1	72
4	C. Anderson	11	43	0	13
4	P. Manning	2	-2	0	-1
5	C. Anderson	11	22	0	10
5	R. Hillman	7	21	0	6
6	R. Hillman	20	111	0	26
6	C. Anderson	13	41	0	11
8	C. Anderson	14	101	1	28
8	R. Hillman	19	60	2	16
8	J. Thompson	1	-1	0	-1
9	C. Anderson	7	34	0	12
9	R. Hillman	7	1	0	3
10	R. Hillman	11	42	1	19
10	B. Osweiler	3	18	0	8
10	C. Anderson	2	9	0	5
11	R. Hillman	21	102	0	15
11	C. Anderson	12	59	0	15
11	C. Latimer	1	5	0	5
11	B. Osweiler	2	4	0	5
12	C. Anderson	15	113	2	48
12	R. Hillman	14	59	1	19
12	B. Osweiler	2	4	0	3
12	J. Thompson	1	3	0	3
13	R. Hillman	19	56	0	11
13	C. Anderson	7	42	0	22
13	J. Thompson	8	27	0	12
13	E. Sanders	1	5	0	5
13	A. Caldwell	1	3	0	3
13	B. Osweiler	3	1	0	1
14	R. Hillman	12	20	0	11
14	B. Osweiler	3	10	0	5
14	J. Thompson	5	8	0	5
14	C. Latimer	1	-4	0	-4
15	R. Hillman	14	48	0	14
15	E. Sanders	1	24	0	24
15	B. Osweiler	5	19	1	7
15	C. Anderson	4	14	0	5
15	T. Siemian	1	-1	0	-1
16	C. Anderson	9	73	1	39
16	R. Hillman	9	35	0	8
16	B. Osweiler	3	5	0	6
17	R. Hillman	15	117	1	23
17	C. Anderson	15	95	1	27
17	P. Manning	2	-2	0	-1
