week	name	t	a	sck	int	ff
1	K. Dansby	4	3	0.0	0	0
1	J. Haden	4	2	0.0	0	0
1	D. Whitner	4	6	0.0	0	0
1	T. Williams	3	1	0.0	0	0
1	T. Gipson	2	3	0.0	1	0
1	P. Kruger	2	2	0.0	0	0
1	A. Bryant	1	2	0.0	0	0
1	B. Mingo	1	1	0.0	0	0
1	C. Robertson	1	3	0.0	0	0
1	D. Shelton	1	1	0.0	0	0
1	R. Starks	1	3	0.0	0	0
1	K. Williams	1	1	0.0	0	0
1	D. Bryant	0	4	0.0	0	0
1	J. Hughes	0	1	0.0	0	0
1	C. Kirksey	0	2	0.0	0	0
1	J. Meder	0	2	0.0	0	0
1	J. Poyer	0	2	0.0	0	0
1	S. Solomon	0	1	0.0	0	0
2	T. Gipson 	5	3 	0.0 	0 	0
2	C. Robertson 	5	3 	0.0 	0 	1
2	K. Dansby 	4	4 	0.0 	0 	0
2	J. Haden 	4	2 	0.0 	0 	0
2	D. Whitner 	4	4 	0.5 	0 	0
2	T. Williams 	4	1 	0.0 	0 	0
2	A. Bryant 	3	3 	2.5 	0 	1
2	K. Williams 	3	0 	1.0 	0 	1
2	C. Kirksey 	2	0 	0.0 	0 	0
2	B. Mingo 	2	1 	0.0 	0 	0
2	D. Shelton 	2	2 	0.0 	0 	0
2	J. Hughes 	1	3 	1.5 	0 	1
2	P. Kruger 	1	1 	0.5 	0 	0
2	J. Meder 	1	2 	1.0 	0 	0
2	R. Starks 	1	1 	0.0 	0 	0
3	K. Dansby	5	4	0.0	0	0
3	J. Haden	4	0	0.0	0	0
3	D. Whitner	4	1	0.0	0	0
3	T. Gipson	3	3	0.0	0	0
3	T. Williams	3	2	0.0	0	0
3	A. Bryant	2	1	0.0	0	0
3	P. Desir	2	0	0.0	0	0
3	C. Kirksey	2	2	0.0	0	1
3	B. Mingo	2	1	0.0	0	0
3	J. Poyer	2	0	0.0	0	0
3	C. Robertson	2	1	0.0	0	0
3	X. Cooper	1	0	0.0	0	0
3	N. Orchard	1	0	0.0	0	0
3	D. Shelton	1	4	0.0	0	0
3	P. Kruger	0	2	0.0	0	0
3	J. Meder	0	2	0.0	0	0
3	R. Starks	0	1	0.0	0	0
4	D. Whitner	7	0	0.0	0	0
4	T. Williams	5	0	0.0	0	0
4	K. Dansby	4	1	0.0	0	0
4	P. Desir	4	1	0.0	0	0
4	C. Kirksey	4	1	1.0	0	0
4	J. Bademosi	3	0	0.0	0	0
4	T. Gipson	3	1	0.0	0	0
4	X. Cooper	2	0	1.0	0	0
4	J. Gilbert	2	0	0.0	0	0
4	J. Meder	2	0	0.0	0	0
4	J. Poyer	2	0	0.0	0	0
4	T. Carder	1	0	0.0	0	0
4	P. Kruger	1	2	0.0	0	0
4	B. Mingo	1	0	0.0	0	0
4	R. Starks	1	1	0.0	0	0
4	J. Hughes	0	1	0.0	0	0
4	N. Orchard	0	1	0.0	0	0
5	J. Poyer	5	3	0.0	0	0
5	D. Whitner	5	4	0.0	0	0
5	N. Orchard	4	1	0.0	0	0
5	K. Dansby	3	7	0.0	0	0
5	J. Haden	3	0	0.0	0	0
5	A. Bryant	2	3	1.0	0	0
5	D. Bryant	2	0	0.0	0	0
5	T. Carder	2	1	0.0	0	0
5	J. Meder	2	1	0.0	0	0
5	T. Williams	2	1	0.0	0	0
5	D. Shelton	1	1	0.0	0	0
5	R. Starks	1	1	0.0	0	0
5	P. Desir	0	2	0.0	0	0
5	J. Hughes	0	1	0.0	0	0
5	C. Kirksey	0	2	0.0	0	0
5	K. Williams	0	2	0.0	0	0
6	P. Desir	10	2	0.0	0	0
6	C. Kirksey	6	3	0.0	0	0
6	K. Dansby	5	2	0.0	2	0
6	T. Williams	5	1	0.0	0	0
6	D. Bryant	4	1	0.0	0	0
6	D. Whitner	4	2	0.0	0	0
6	J. Hughes	2	0	0.0	0	0
6	P. Kruger	2	1	0.0	0	0
6	N. Orchard	2	1	0.0	0	0
6	J. Poyer	2	0	0.0	0	0
6	R. Starks	2	2	0.0	0	0
6	K. Williams	2	0	0.0	0	0
6	T. Carder	1	0	0.0	0	0
6	X. Cooper	1	1	0.0	0	0
6	J. Meder	1	0	0.0	0	0
6	B. Mingo	0	1	0.0	1	0
6	D. Shelton	0	1	0.0	0	0
7	K. Dansby	5	2	0.0	0	0
7	C. Kirksey	5	2	0.0	0	0
7	J. Poyer	5	5	0.0	0	0
7	D. Whitner	5	1	0.0	0	1
7	A. Bryant	2	1	0.0	0	0
7	J. Meder	2	2	0.0	0	0
7	D. Bryant	1	0	1.0	0	0
7	T. Carder	1	0	0.0	0	0
7	P. Desir	1	0	0.0	0	0
7	R. Starks	1	1	1.0	0	0
7	X. Cooper	0	2	0.0	0	0
7	J. Hughes	0	1	0.0	0	0
7	P. Kruger	0	1	0.0	0	0
7	N. Orchard	0	2	0.0	0	0
7	T. Williams	0	1	0.0	0	0
7	K. Williams	0	1	0.0	0	0
8	T. Williams	6	3	0.0	0	0
8	I. Campbell	5	0	0.0	0	0
8	K. Dansby	5	3	0.0	0	1
8	J. Bademosi	3	1	0.0	0	0
8	J. Haden	3	0	0.0	0	0
8	N. Orchard	3	2	0.0	0	0
8	D. Whitner	3	1	0.0	0	0
8	A. Bryant	2	0	0.0	0	1
8	D. Bryant	2	1	1.0	0	0
8	J. Hughes	2	0	0.0	0	0
8	B. Mingo	2	0	0.0	0	0
8	C. Robertson	2	3	0.0	0	0
8	D. Shelton	2	1	0.0	0	0
8	K. Williams	2	1	0.0	0	2
8	T. Gipson	1	0	0.0	1	0
8	C. Kirksey	1	0	0.0	0	0
8	J. Meder	1	0	0.0	0	0
8	X. Cooper	0	1	0.0	0	0
8	R. Starks	0	3	0.0	0	0
9	K. Dansby	8	3	0.0	0	0
9	T. Williams	6	1	0.0	0	0
9	I. Campbell	4	1	0.0	0	0
9	A. Bryant	3	1	0.0	0	0
9	T. Gipson	3	1	0.0	0	0
9	J. Hughes III	3	0	0.0	0	0
9	K. Williams	3	1	0.0	0	0
9	D. Bryant	2	0	1.0	0	0
9	P. Desir	2	2	0.0	0	0
9	P. Kruger	2	0	1.0	0	0
9	N. Orchard	2	1	0.0	0	0
9	D. Shelton	2	0	0.0	0	0
9	J. Gilbert	1	0	0.0	0	0
9	J. Meder	1	0	0.0	0	0
9	B. Mingo	1	0	0.0	0	0
9	C. Robertson	1	2	0.0	0	0
9	R. Starks	1	0	0.0	0	0
9	D. Saunders	0	1	0.0	0	0
10	C. Gaines	5	0	0.0	0	1
10	K. Williams	5	0	0.0	0	0
10	K. Dansby	3	3	0.0	0	0
10	T. Gipson	3	1	0.0	0	0
10	C. Kirksey	3	1	1.0	0	0
10	N. Orchard	3	1	0.0	0	1
10	C. Robertson	3	1	0.0	0	0
10	D. Bryant	2	0	0.0	0	0
10	P. Desir	2	0	0.0	0	0
10	P. Kruger	2	0	0.0	0	0
10	J. Poyer	2	2	0.0	1	0
10	T. Williams	2	0	0.0	0	0
10	A. Bryant	1	1	0.0	0	0
10	X. Cooper	1	0	0.0	0	0
10	J. Meder	1	1	0.0	0	0
10	D. Shelton	1	0	0.0	0	0
12	T. Gipson	6	0	0.0	0	0
12	D. Whitner	6	0	0.0	0	0
12	K. Dansby	3	1	0.0	1	0
12	C. Kirksey	3	0	0.0	0	0
12	C. Robertson	3	2	0.0	0	0
12	K. Williams	3	1	0.0	0	0
12	T. Williams	3	1	0.0	1	0
12	J. Hughes III	2	1	0.0	0	0
12	J. Meder	2	0	0.0	0	0
12	D. Bryant	1	0	0.0	0	0
12	J. Gilbert	1	0	0.0	0	0
12	P. Kruger	1	0	0.0	0	0
12	B. Mingo	1	0	0.0	0	0
12	N. Orchard	1	1	0.0	0	0
12	J. Poyer	1	0	0.0	0	0
12	D. Shelton	0	1	0.0	0	0
13	C. Robertson	5	2	0.0	0	0
13	D. Whitner	5	0	0.0	0	0
13	T. Gipson	4	2	0.0	0	0
13	C. Kirksey	3	1	0.0	0	0
13	T. Williams	3	0	0.0	0	0
13	A. Bryant	2	0	0.0	0	0
13	X. Cooper	2	0	0.0	0	0
13	K. Dansby	2	3	0.0	0	0
13	J. Meder	2	2	0.0	0	0
13	N. Orchard	2	0	0.0	0	0
13	D. Shelton	2	2	0.0	0	0
13	D. Bryant	1	0	0.0	0	0
13	P. Desir	1	0	0.0	0	0
13	C. Gaines	1	0	0.0	0	0
13	P. Kruger	1	0	1.0	0	0
13	B. Mingo	1	0	0.0	0	0
13	J. Poyer	1	0	0.0	0	0
13	R. Starks	1	1	0.0	0	0
13	J. Hughes III	0	1	0.0	0	0
14	A. Bryant	7	0	2.0	0	0
14	T. Williams	5	2	0.0	0	0
14	D. Bryant	4	1	1.5	0	1
14	K. Williams	4	0	0.0	0	0
14	C. Gaines	3	0	0.0	0	0
14	C. Kirksey	3	0	1.0	0	0
14	X. Cooper	2	1	0.5	0	0
14	N. Orchard	2	0	2.0	0	0
14	J. Poyer	2	0	1.0	0	0
14	J. Bademosi	1	0	0.0	0	0
14	K. Dansby	1	1	0.0	0	0
14	T. Gipson	1	0	0.0	0	0
14	B. Mingo	1	0	0.0	0	0
14	C. Robertson	1	0	0.0	0	0
14	D. Shelton	1	0	0.0	0	0
14	R. Starks	1	0	0.0	0	0
14	D. Whitner	1	2	1.0	0	0
14	J. Hughes III	0	1	0.0	0	0
15	T. Gipson	5	4	0.0	0	0
15	T. Williams	5	0	0.0	0	0
15	K. Dansby	4	6	0.0	0	0
15	D. Shelton	4	3	0.0	0	0
15	A. Bryant	3	0	0.0	0	0
15	D. Whitner	3	2	0.0	0	0
15	P. Desir	2	0	0.0	0	0
15	C. Gaines	2	0	0.0	0	0
15	P. Kruger	2	0	0.0	0	0
15	C. Robertson	2	3	0.0	0	0
15	J. Bademosi	1	1	0.0	0	0
15	D. Bryant	1	2	1.5	0	0
15	X. Cooper	1	3	0.0	0	0
15	C. Kirksey	1	3	0.5	0	0
15	B. Mingo	1	1	0.0	0	0
15	J. Hughes III	0	1	0.0	0	0
15	J. Meder	0	3	0.0	0	0
15	N. Orchard	0	1	0.0	0	0
15	R. Starks	0	1	0.0	0	0
16	D. Whitner	6	0	0.0	0	0
16	C. Gaines	4	0	0.0	0	0
16	D. Bryant	3	0	0.0	0	0
16	T. Gipson	3	0	0.0	0	0
16	K. Williams	3	1	0.0	0	0
16	T. Williams	3	0	0.0	0	0
16	P. Kruger	2	2	0.0	0	0
16	N. Orchard	2	0	1.0	1	0
16	C. Robertson	2	0	0.0	0	0
16	D. Shelton	2	0	0.0	0	0
16	R. Starks	2	0	0.0	0	0
16	X. Cooper	1	0	0.0	0	0
16	K. Dansby	1	1	0.0	0	0
16	J. Hughes III	1	0	0.0	0	0
16	J. Meder	1	1	0.0	0	0
16	C. Kirksey	0	1	0.0	0	0
17	K. Dansby	5	2	0.0	0	1
17	P. Desir	5	0	0.0	0	0
17	K. Williams	4	0	0.0	0	0
17	T. Gipson	3	0	0.0	0	0
17	J. Poyer	3	0	0.0	1	0
17	C. Robertson	3	0	0.0	1	0
17	C. Johnson	2	1	0.0	0	0
17	N. Orchard	2	1	0.0	0	0
17	R. Starks	2	0	0.0	0	0
17	D. Bryant	1	0	0.0	0	0
17	J. Hughes III	1	1	0.0	0	0
17	C. Kirksey	1	1	0.0	0	0
17	D. Whitner	1	0	0.0	0	0
17	J. Meder	0	1	0.0	0	0
17	D. Shelton	0	1	0.0	0	0
