week	name	cmp	att	yds	td	int
1	J. Manziel	13	24	182	1	1
1	J. McCown	5	8	49	0	0
2	J. Manziel 	8	15 	172 2 	0
3	J. McCown	28	49	341	2	1
4	J. McCown	32	41	356	2	0
5	J. McCown	36	51	457	2	0
6	J. McCown	20	39	213	2	2
7	J. McCown	26	32	270	0	0
7	J. Manziel	4	5	27	0	0
8	J. McCown	18	34	211	3	1
8	J. Manziel	3	6	12	0	0
9	J. Manziel	15	33	168	1	0
10	J. Manziel	33	45	372	1	1
12	J. McCown	21	38	212	1	0
12	A. Davis	7	10	77	1	0
13	A. Davis	25	38	230	0	1
14	J. Manziel	21	31	270	1	1
15	J. Manziel	19	32	161	1	1
16	J. Manziel	13	32	136	0	1
17	A. Davis	24	46	240	0	2
