week	name	rec	yds	td	lg
1	T. Benjamin	3	89	1	54
1	G. Barnidge	3	38	0	22
1	A. Hawkins	3	24	0	11
1	T. Gabriel	2	20	0	11
1	B. Hartline	2	20	0	11
1	M. Johnson	2	14	0	8
1	I. Crowell	2	13	0	8
1	J. Dray	1	13	0	13
2	T. Benjamin	3	115	2	60
2	A. Hawkins	3	43	0	18
2	G. Barnidge	1	17	0	17
2	T. Gabriel	1	-3	0	-3
3	G. Barnidge	6	105	1	40
3	B. Hartline	5	96	0	41
3	T. Benjamin	4	45	1	17
3	D. Johnson	6	32	0	18
3	T. Gabriel	3	28	0	11
3	A. Hawkins	2	18	0	10
3	M. Moore	1	15	0	15
3	S. Draughn	1	2	0	2
4	D. Johnson	9	85	1	34
4	T. Benjamin	6	79	0	18
4	G. Barnidge	6	75	1	27
4	I. Crowell	3	62	0	53
4	A. Hawkins	2	27	0	18
4	T. Gabriel	4	22	0	10
4	B. Hartline	1	7	0	7
4	S. Draughn	1	-1	0	-1
5	G. Barnidge	8	139	1	35
5	T. Benjamin	6	83	0	25
5	T. Gabriel	4	75	0	56
5	D. Johnson	6	55	0	27
5	A. Hawkins	7	49	0	22
5	I. Crowell	2	38	1	22
5	J. Dray	1	7	0	7
5	R. Housler	1	6	0	6
5	B. Hartline	1	5	0	5
6	T. Benjamin	9	117	0	47
6	G. Barnidge	3	39	2	14
6	A. Hawkins	1	25	0	25
6	D. Johnson	3	18	0	11
6	I. Crowell	2	9	0	11
6	T. Gabriel	1	5	0	5
6	M. Johnson	1	0	0	0
7	G. Barnidge	6	101	0	28
7	D. Johnson	7	73	0	21
7	T. Benjamin	4	47	0	21
7	B. Hartline	3	22	0	13
7	A. Hawkins	2	21	0	19
7	T. Gabriel	4	15	0	6
7	J. Dray	2	10	0	5
7	R. Turbin	2	8	0	7
8	D. Johnson	2	68	0	52
8	G. Barnidge	7	53	1	17
8	T. Gabriel	4	32	0	9
8	B. Hartline	4	32	2	14
8	T. Benjamin	3	26	0	17
8	I. Crowell	1	12	0	12
9	D. Johnson Jr	2	38	1	26
9	G. Barnidge	2	35	0	25
9	D. Bowe	3	31	0	16
9	I. Crowell	3	26	0	15
9	T. Benjamin	3	22	0	9
9	J. Dray	1	13	0	13
9	T. Gabriel	1	3	0	3
10	T. Benjamin	7	113	0	61
10	B. Hartline	6	77	0	21
10	A. Hawkins	7	69	0	16
10	G. Barnidge	6	65	1	18
10	T. Gabriel	2	26	0	20
10	D. Johnson Jr	4	18	0	10
10	I. Crowell	1	4	0	4
12	G. Barnidge	7	91	0	30
12	T. Benjamin	6	90	1	42
12	B. Hartline	8	74	0	16
12	D. Johnson Jr	5	23	0	21
12	M. Moore	1	10	1	10
12	M. Johnson	1	1	0	1
13	B. Hartline	8	83	0	18
13	G. Barnidge	5	59	0	24
13	D. Jennings	5	35	0	16
13	D. Johnson Jr	4	30	0	10
13	M. Moore	1	14	0	14
13	E. Bibbs	1	7	0	7
13	I. Crowell	1	2	0	2
14	B. Hartline	8	107	0	34
14	G. Barnidge	5	84	1	30
14	T. Benjamin	4	41	0	24
14	M. Moore	2	23	0	12
14	I. Crowell	1	9	0	9
14	D. Johnson Jr	1	6	0	6
15	D. Johnson Jr	5	39	0	22
15	G. Barnidge	3	29	1	12
15	T. Benjamin	3	26	0	13
15	D. Bowe	2	22	0	15
15	M. Moore	1	20	0	20
15	T. Gabriel	2	18	0	14
15	I. Crowell	3	7	0	6
16	G. Barnidge	3	47	0	24
16	D. Jennings	3	37	0	15
16	T. Benjamin	2	20	0	12
16	J. Dray	1	18	0	18
16	D. Johnson Jr	3	15	0	8
16	M. Moore	1	-1	0	-1
17	G. Barnidge	8	66	0	20
17	T. Benjamin	5	53	0	15
17	D. Jennings	6	45	0	14
17	T. Pryor	1	42	0	42
17	D. Johnson Jr	4	34	0	20
