week	name	t	a	sck	int	ff
1	C. Conte	5	0	0.0	0	0
1	C. McDonald	4	0	0.0	0	0
1	A. Verner	4	0	0.0	0	0
1	K. Alexander	3	2	0.0	0	0
1	L. David	3	2	0.0	0	1
1	D. Lansanah	3	2	0.0	0	0
1	G. McCoy	3	0	1.0	0	0
1	B. McDougald	3	1	0.0	0	0
1	D. Swearinger	3	1	0.0	0	0
1	J. Banks	2	0	0.0	0	0
1	J. Smith	2	0	1.0	0	0
1	W. Gholston	1	0	0.0	0	0
1	G. Johnson	1	0	0.0	0	0
1	H. Melton	1	1	0.0	0	1
1	S. Moore	1	0	0.0	0	0
1	M. Wright	1	1	0.0	0	0
1	T. Jennings	0	1	0.0	0	0
2	K. Alexander	4	4	0.0	0	0
2	C. Conte	4	0	0.0	1	1
2	L. David	4	4	0.0	0	0
2	T. Jennings	4	1	0.0	0	0
2	C. McDonald	4	2	0.0	0	0
2	J. Banks	3	1	0.0	0	0
2	W. Gholston	3	3	0.0	0	0
2	B. McDougald	3	1	0.0	0	0
2	J. Smith	3	0	3.0	0	2
2	A. Verner	3	0	0.0	0	0
2	D. Lansanah	2	0	0.0	0	0
2	G. McCoy	2	0	1.0	0	0
2	S. Moore	2	0	0.0	0	1
2	T. McDaniel	1	0	0.0	0	0
2	D. Swearinger	1	0	0.0	0	0
2	G. Johnson	0	2	0.0	0	0
2	H. Melton	0	1	0.0	0	0
2	K. Tandy	0	1	0.0	0	0
3	K. Alexander	5	5	0.0	1	0
3	C. Conte	5	2	0.0	0	0
3	S. Moore	5	4	0.0	0	0
3	T. Jennings	4	2	0.0	0	0
3	C. McDonald	4	4	0.0	0	0
3	J. Smith	4	1	0.0	0	0
3	D. Swearinger	4	2	0.0	0	0
3	L. David	3	12	0.0	0	0
3	M. Jenkins	3	0	0.0	0	0
3	B. McDougald	3	5	0.0	0	0
3	B. Carter	2	1	0.0	0	0
3	W. Gholston	2	2	0.0	0	0
3	G. Johnson	2	0	0.0	0	0
3	G. McCoy	1	1	0.0	0	0
3	T. McDaniel	1	1	0.0	0	0
3	H. Melton	1	2	1.0	0	0
3	A. Verner	1	0	0.0	0	0
3	J. Banks	0	2	0.0	0	0
3	K. Tandy	0	1	0.0	0	0
4	C. Conte	7	1	0.0	0	1
4	B. McDougald	6	0	0.0	0	0
4	G. McCoy	4	0	1.0	0	0
4	K. Alexander	3	1	0.0	0	0
4	L. David	3	3	0.0	0	0
4	W. Gholston	3	1	0.0	0	0
4	D. Lansanah	2	1	1.0	0	0
4	C. McDonald	2	2	0.0	0	0
