week	name	rec	yds	td	lg
1	A. Seferian-Jenkins	5	110	2	41
1	V. Jackson	4	51	0	18
1	C. Sims	2	23	0	18
1	A. Humphries	2	14	0	12
1	R. Shepard	1	6	0	6
1	B. Rainey	1	4	0	4
1	D. Martin	1	2	0	2
2	L. Murphy 	3 	82 	0 	54
2	V. Jackson 	3 	54 	1 	22
2	A. Seferian-Jenkins 	2 	29 	0 	21
2	D. Martin 	2 	20 	0 	16
2	C. Sims 	3 	14 	0 	12
2	B. Rainey 	1 	8 	0 	8
3	M. Evans	7	101	0	20
3	L. Murphy	3	61	0	33
3	C. Sims	2	41	1	32
3	V. Jackson	2	40	0	21
3	B. Myers	3	18	0	10
4	V. Jackson	10	147	1	23
4	D. Martin	5	37	0	15
4	M. Evans	3	32	0	21
4	C. Sims	3	30	1	13
4	L. Murphy	3	26	0	11
4	B. Myers	1	8	0	8
4	C. Brate	1	7	0	7
5	C. Sims	4	85	0	56
5	M. Evans	3	41	0	17
5	D. Martin	3	35	1	13
5	B. Myers	2	34	0	17
5	V. Jackson	1	14	0	14
7	M. Evans	8	164	1	40
7	D. Martin	3	35	0	14
7	L. Murphy	1	29	0	29
7	L. Stocker	3	22	0	11
7	C. Sims	2	17	0	9
7	V. Jackson	1	13	0	13
7	D. Dye	1	7	1	7
7	C. Brate	1	6	0	6
7	B. Rainey	1	4	0	4
8	C. Brate	2	48	1	28
8	M. Evans	3	48	0	21
8	B. Myers	3	32	0	17
8	C. Sims	3	24	0	13
8	A. Humphries	3	14	0	6
8	D. Martin	1	7	0	7
8	D. Dye	1	4	0	4
9	M. Evans	8	150	0	68
9	A. Humphries	5	55	0	16
9	C. Brate	1	17	0	17
9	D. Martin	2	12	0	10
9	J. Lane	1	5	0	5
9	D. Dye	1	4	0	4
9	C. Sims	1	4	0	4
10	M. Evans	8	126	0	26
10	D. Martin	4	40	0	25
10	B. Myers	3	35	0	17
10	A. Humphries	2	25	0	19
10	C. Sims	2	13	0	7
10	D. Dye	1	11	0	11
10	J. Lane	1	8	0	8
10	C. Brate	1	6	0	6
11	M. Evans	4	63	1	25
11	V. Jackson	4	56	1	24
11	A. Humphries	4	50	0	27
11	C. Brate	3	47	1	23
11	C. Sims	3	26	1	14
11	R. Shepard	1	4	1	4
12	V. Jackson	4	76	0	21
12	M. Evans	5	64	0	17
12	C. Brate	5	53	1	20
12	C. Sims	3	31	0	16
12	A. Humphries	2	20	0	11
12	D. Martin	1	1	0	1
13	V. Jackson	3	87	0	36
13	M. Evans	5	61	1	16
13	A. Seferian-Jenkins	3	31	0	15
13	C. Sims	2	21	0	18
13	C. Brate	2	12	0	7
13	A. Humphries	1	6	0	6
13	D. Martin	1	5	0	5
13	L. Stocker	1	4	0	4
14	C. Sims	6	64	0	14
14	M. Evans	3	39	0	22
14	A. Seferian-Jenkins	3	31	0	13
14	C. Brate	2	16	0	11
14	D. Dye	1	16	0	16
14	A. Humphries	1	6	1	6
14	V. Jackson	1	5	0	5
14	D. Martin	1	5	0	5
15	M. Evans	9	157	0	30
15	A. Humphries	6	60	0	14
15	D. Dye	1	44	0	44
15	A. Seferian-Jenkins	3	29	1	13
15	L. Stocker	3	25	1	14
15	C. Sims	3	22	0	19
15	C. Brate	3	20	0	8
15	D. Martin	1	6	0	6
16	C. Sims	3	72	1	50
16	M. Evans	4	61	0	16
16	A. Seferian-Jenkins	2	60	1	43
16	C. Brate	1	46	0	46
16	R. Shepard	1	18	0	18
16	D. Dye	1	15	0	15
16	A. Humphries	1	10	0	10
16	L. Stocker	1	7	0	7
16	D. Martin	1	6	0	6
17	M. Evans	4	99	0	30
17	C. Sims	9	74	0	14
17	D. Martin	7	60	0	20
17	A. Seferian-Jenkins	3	48	0	21
17	D. Dye	4	31	0	14
17	C. Brate	1	10	0	10
17	L. Stocker	1	3	0	3
