week	name	att	yds	td	lg
1	D. Martin	11	52	0	14
1	J. Winston	6	18	0	8
1	C. Sims	5	12	0	7
1	B. Rainey	3	10	0	7
1	J. Lane	1	0	0	0
2	D. Martin 	21 	78 	0 	20
2	C. Sims 	8 	38 	0 	12
2	J. Winston 	6 	23 	1 	9
3	D. Martin	14	46	0	17
3	C. Sims	6	11	0	9
4	D. Martin	20	106	1	26
4	C. Sims	6	23	0	7
4	J. Winston	4	12	0	7
5	D. Martin	24	123	2	39
5	C. Sims	12	51	0	15
5	J. Winston	4	9	0	9
7	D. Martin	19	136	0	49
7	C. Sims	10	49	0	13
7	J. Winston	1	5	0	5
8	D. Martin	23	71	0	18
8	J. Winston	3	24	1	21
8	C. Sims	6	22	0	7
9	C. Sims	8	78	0	59
9	D. Martin	11	31	0	5
9	J. Winston	3	24	1	12
9	B. Rainey	1	3	0	3
10	D. Martin	18	63	0	18
10	C. Sims	5	18	0	9
10	J. Winston	3	3	1	3
11	D. Martin	27	235	0	84
11	C. Sims	10	43	0	17
11	B. Rainey	1	5	0	5
11	J. Winston	4	0	0	3
12	D. Martin	14	97	0	56
12	J. Winston	3	27	0	14
12	C. Sims	4	8	0	6
13	D. Martin	25	95	1	14
13	C. Sims	7	56	0	25
13	J. Winston	5	15	1	20
14	D. Martin	11	81	1	24
14	J. Winston	3	24	0	18
14	C. Sims	5	10	0	6
15	D. Martin	18	91	0	17
15	C. Sims	7	50	0	35
15	J. Winston	2	5	0	5
16	D. Martin	17	49	1	9
16	C. Sims	4	45	0	29
16	J. Winston	4	10	0	7
17	D. Martin	15	48	0	30
17	C. Sims	4	15	0	12
17	J. Winston	3	14	1	6
