week	name	t	a	sck	int	ff
1	T. Mathieu	8	0	0	0	0
1	D. Bucannon	6	1	0	0	0
1	J. Powers	6	1	0	0	0
1	C. Campbell	5	1	0	0	0
1	K. Minter	5	2	0	0	0
1	T. Jefferson	4	1	0	0	0
1	A. Okafor	4	1	2	0	0
1	S. Weatherspoon	2	1	0	0	0
1	L. Woodley	2	0	0	0	0
1	M. Golden	1	2	0	0	0
1	R. Gunter	1	0	0	0	0
1	R. Johnson	1	0	0	1	0
1	P. Peterson	1	0	0	0	0
1	C. Redding	1	1	0	0	0
1	F. Rucker	1	0	0	0	0
2	T. Jefferson	9	0	0	1	0
2	R. Johnson	6	0	0	0	0
2	D. Bucannon	4	0	0	0	1
2	C. Campbell	4	2	0	0	0
2	T. Mathieu	4	0	0	0	0
2	J. Mauro	4	0	1	0	0
2	K. Minter	4	0	0	0	0
2	J. Powers	4	0	0	0	0
2	P. Peterson	3	0	0	1	0
2	A. Okafor	2	1	0	0	0
2	F. Rucker	1	1	0	0	1
2	L. Woodley	1	0	0	0	0
2	M. Golden	0	1	0.5	0	0
2	K. Martin	0	1	0.5	0	0
2	E. Stinson	0	1	0	0	0
2	S. Weatherspoon	0	1	0	0	0
3	K. Minter	7	1	0	0	0
3	R. Johnson	5	0	0	0	0
3	T. Mathieu	5	0	0	2	0
3	D. Bucannon	4	1	0	0	0
3	R. Gunter	4	0	0	0	0
3	F. Rucker	3	0	1	0	0
3	S. Weatherspoon	2	0	0	0	0
3	C. Campbell	1	1	0	0	0
3	C. Clemons	1	0	0	0	0
3	A. Fua	1	0	0	0	0
3	M. Golden	1	0	0	0	0
3	T. Jefferson	1	0	0	0	0
3	J. Powers	1	0	0	1	0
3	C. Redding	1	0	0	0	0
3	L. Woodley	1	0	1	0	0
3	J. Bethel	0	0	0	1	0
3	A. Okafor	0	1	0	0	0
4	C. Campbell	10	1	0.5	0	0
4	D. Bucannon	7	1	0	0	0
4	T. Mathieu	6	0	0	0	1
4	R. Johnson	3	1	0	0	0
4	J. Powers	3	0	0	0	0
4	P. Peterson	2	0	0	0	0
4	F. Rucker	2	1	0	0	0
4	L. Woodley	2	0	0	0	0
4	M. Golden	1	1	0.5	0	0
4	K. Minter	1	1	0	0	0
4	T. Jefferson	0	1	0	0	0
