week	name	rec	yds	td	lg
1	L. Fitzgerald	6	87	0	29
1	D. Fells	4	82	1	48
1	D. Johnson	1	55	1	55
1	Jo. Brown	4	46	1	14
1	M. Floyd	1	18	0	18
1	Ja. Brown	1	8	0	8
1	A. Ellington	1	7	0	7
1	J. Gresham	1	4	0	4
2	L. Fitzgerald	8	112	3	28
2	Jo. Brown	5	45	0	13
2	Ja. Brown	2	20	1	14
2	J. Gresham	1	5	0	5
2	D. Johnson	1	3	0	3
3	L. Fitzgerald	9	134	2	23
3	Jo. Brown	3	62	0	27
3	C. Johnson	1	40	0	40
3	J. Gresham	2	34	0	22
3	D. Johnson	3	16	0	9
3	D. Fells	1	13	0	13
3	M. Floyd	1	12	0	12
4	L. Fitzgerald	7	99	0	22
4	Jo. Brown	7	75	0	14
4	D. Johnson	4	63	1	23
4	M. Floyd	5	59	0	22
4	Ja. Brown	1	20	0	20
4	D. Fells	1	17	0	17
4	C. Johnson	3	11	0	6
4	J. Gresham	1	8	0	8
5	Jo. Brown	4	73	1	49
5	L. Fitzgerald	5	58	1	26
5	D. Fells	2	25	1	14
5	M. Floyd	1	15	0	15
6	Jo. Brown	10	196	0	45
6	L. Fitzgerald	8	93	0	44
6	M. Floyd	5	50	1	18
6	A. Ellington	2	47	0	32
6	T. Niklas	1	13	0	13
6	D. Fells	1	9	0	9
6	D. Johnson	1	8	0	8
6	C. Johnson	1	5	0	5
7	Jo. Brown	4	65	1	35
7	J. Gresham	4	62	0	21
7	M. Floyd	3	59	1	33
7	L. Fitzgerald	3	39	0	16
7	A. Ellington	3	28	0	11
7	D. Johnson	2	19	0	11
7	Ja. Brown	1	3	0	3
8	M. Floyd	4	106	1	60
8	L. Fitzgerald	9	84	1	16
8	J. Nelson	3	70	0	38
8	D. Johnson	2	44	0	34
8	Ja. Brown	1	39	0	39
8	J. Gresham	2	19	0	13
8	T. Niklas	2	12	2	11
10	L. Fitzgerald	10	130	0	22
10	M. Floyd	7	113	2	35
10	Ja. Brown	3	38	0	20
10	A. Ellington	3	27	0	13
10	J. Gresham	2	26	1	14
10	D. Fells	3	21	0	9
10	D. Johnson	1	8	0	8
11	J. Nelson	4	142	35.5	1	64	6
11	L. Fitzgerald	8	90	11.3	0	20	13
11	Jo. Brown	3	43	14.3	1	18	3
11	D. Fells	1	18	18.0	1	18	2
11	D. Johnson	2	17	8.5	1	16	2
11	A. Ellington	1	5	5.0	0	5	2
11	C. Johnson	1	2	2.0	0	2	2
12	Jo. Brown	5	99	0	48
12	L. Fitzgerald	10	66	0	11
12	J. Nelson	2	53	0	34
12	A. Ellington	3	22	0	9
12	M. Floyd	1	14	0	14
12	J. Gresham	1	9	0	9
12	D. Johnson	2	8	0	6
13	Jo. Brown	6	113	0	68
13	M. Floyd	7	104	0	31
13	L. Fitzgerald	8	55	0	23
13	J. Nelson	2	34	1	22
13	D. Fells	1	22	0	22
13	D. Johnson	2	21	1	11
13	J. Gresham	1	13	0	13
14	M. Floyd	5	102	1	42
14	Jo. Brown	4	78	1	65
14	D. Fells	3	43	0	26
14	L. Fitzgerald	5	41	0	17
14	D. Johnson	5	31	0	14
14	M. Iupati	1	10	0	10
14	S. Taylor	1	4	0	4
14	Ja. Brown	1	1	0	1
15	M. Floyd	5	70	0	29
15	D. Fells	3	54	0	36
15	L. Fitzgerald	3	43	0	20
15	D. Johnson	4	42	0	12
15	Jo. Brown	3	38	1	19
15	Ja. Brown	1	15	0	15
15	K. Williams	1	12	0	12
16	M. Floyd	6	111	0	47
16	D. Johnson	3	88	0	44
16	L. Fitzgerald	4	29	1	12
16	Jo. Brown	3	25	1	14
16	J. Gresham	1	7	0	7
16	A. Ellington	1	5	0	5
16	K. Williams	1	4	0	4
17	L. Fitzgerald	6	55	1	17
17	Jo. Brown	4	45	0	14
17	J. Gresham	2	36	0	21
17	D. Johnson	3	34	0	19
17	M. Floyd	1	16	0	16
17	T. Niklas	1	8	0	8
17	A. Ellington	1	7	0	7
17	D. Fells	1	7	0	7
17	B. Golden	1	5	0	5
