week	name	t	a	sck	int	ff
1	E. Weddle	7	0	0.0	0	0
1	J. Addae	4	0	0.0	0	0
1	D. Butler	4	2	0.0	0	0
1	M. Te'o	3	2	0.0	0	0
1	J. Wilson	3	0	0.0	0	0
1	K. Emanuel	2	1	1.0	1	0
1	M. Ingram	2	2	0.0	0	0
1	C. Liuget	2	0	0.0	0	0
1	P. Robinson	2	1	0.0	1	1
1	J. Verrett	2	2	0.0	0	0
1	B. Flowers	1	0	0.0	0	0
1	C. Law	1	0	0.0	0	0
1	K. Reyes	0	1	0.0	0	0
2	E. Weddle	7	3	0.0	0	0
2	M. Te'o	5	5	0.0	0	0
2	D. Butler	3	3	0.0	0	1
2	C. Liuget	3	2	0.0	0	0
2	J. Wilson	3	4	0.0	0	0
2	J. Attaochu	2	0	0.0	0	0
2	D. Philon	2	0	0.0	0	0
2	K. Reyes	2	0	0.0	0	0
2	B. Flowers	1	1	0.0	0	0
2	R. Mathews	1	0	0.0	0	0
2	P. Robinson	1	0	0.0	0	0
2	M. Unrein	1	0	0.0	0	0
2	J. Verrett	1	0	0.0	0	0
2	K. Emanuel	0	1	0.0	0	0
2	M. Ingram	0	2	0.0	0	0
2	S. Lissemore	0	4	0.0	0	0
2	A. Phillips	0	1	0.0	0	0
3	M. Ingram	6	0	0.0	0	0
3	E. Weddle	6	2	0.0	0	0
3	P. Robinson	4	1	0.0	0	0
3	J. Attaochu	3	0	0.0	0	0
3	K. Reyes	3	0	0.0	0	0
3	M. Te'o	3	2	0.0	0	0
3	J. Wilson	3	2	0.0	0	0
3	C. Liuget	2	1	0.0	0	0
3	S. Williams	2	0	0.0	1	0
3	D. Butler	1	3	0.0	0	0
3	K. Emanuel	1	0	0.0	0	0
3	C. Law	1	0	0.0	0	0
3	A. Phillips	1	0	0.0	0	0
3	J. Verrett	1	0	0.0	0	0
4	M. Te'o	13	0	0.0	0	0
4	B. Flowers	6	1	0.0	0	0
4	E. Weddle	6	4	0.5	0	0
4	K. Reyes	5	1	0.0	0	0
4	J. Attaochu	3	0	2.0	0	0
4	M. Ingram	3	2	1.5	0	1
4	C. Liuget	3	2	0.0	0	0
4	D. Perryman	3	1	0.0	0	0
4	J. Wilson	3	2	0.0	0	0
4	A. Phillips	2	1	0.0	0	0
4	P. Robinson	2	0	0.0	0	0
4	S. Williams	2	0	0.0	0	0
4	K. Emanuel	1	2	0.0	0	0
4	R. Mathews	1	0	0.0	0	0
4	D. Butler	0	2	0.0	0	0
4	R. Carrethers	0	1	0.0	0	0
5	J. Attaochu	7	2	0.0	0	0
5	B. Flowers	6	0	0.0	0	0
5	M. Te'o	4	3	0.0	0	0
5	D. Butler	3	1	0.0	0	0
5	R. Carrethers	2	0	0.0	0	0
5	M. Ingram	2	1	0.0	0	0
5	S. Lissemore	2	0	0.0	0	0
5	C. Liuget	2	0	1.0	0	0
5	K. Reyes	2	0	0.0	0	0
5	P. Robinson	2	1	0.0	0	0
5	J. Verrett	2	0	0.0	0	0
5	J. Wilson	2	1	0.0	1	0
5	J. Addae	1	0	0.0	0	0
5	R. Mathews	1	1	1.0	0	0
5	D. Perryman	1	0	0.0	0	0
5	D. Stuckey	1	0	1.0	0	0
5	E. Weddle	1	2	0.0	0	0
6	D. Perryman	7	1	0.0	0	1
6	C. Liuget	5	0	1.0	0	0
6	J. Wilson	5	0	0.0	0	0
6	J. Attaochu	3	0	2.0	0	0
6	J. Addae	2	1	0.0	0	0
6	D. Butler	2	2	0.0	0	0
6	E. Weddle	2	0	0.0	0	0
6	S. Lissemore	1	1	0.0	0	0
6	K. Reyes	1	1	0.0	0	0
6	P. Robinson	1	0	0.0	0	0
6	J. Verrett	1	0	0.0	0	0
6	R. Carrethers	0	1	0.0	0	0
6	D. Stuckey	0	1	0.0	0	0
7	C. Liuget	6	0	0.0	0	0
7	J. Addae	5	1	0.0	0	0
7	D. Butler	5	1	0.0	0	0
7	K. Conner	4	0	0.0	0	0
7	B. Flowers	4	0	1.0	0	0
7	R. Carrethers	3	0	0.0	0	0
7	M. Ingram	3	1	0.0	0	0
7	R. Mathews	3	0	0.0	0	0
7	D. Perryman	3	0	0.0	0	0
7	J. Wilson	3	0	0.0	0	0
7	P. Robinson	2	1	0.0	0	0
7	J. Attaochu	1	0	0.0	0	0
7	N. Dzubnar	1	1	0.0	0	0
7	A. Phillips	1	2	0.0	0	0
7	K. Reyes	1	0	0.0	0	0
7	J. Verrett	1	0	0.0	0	0
7	K. Emanuel	0	1	0.0	0	0
7	C. Law	0	1	0.0	0	0
8	J. Verrett	5	2	0.0	0	0
8	J. Addae	4	1	0.0	0	0
8	M. Ingram	4	2	1.5	0	0
8	K. Conner	3	1	0.0	0	0
8	B. Flowers	3	1	0.0	0	0
8	J. Attaochu	2	0	0.0	0	0
8	K. Emanuel	2	1	0.0	0	0
8	A. Phillips	2	1	0.0	0	0
8	K. Reyes	2	0	1.0	0	0
8	P. Robinson	2	1	0.0	0	0
8	J. Wilson	2	2	0.0	0	0
8	D. Butler	1	2	0.5	0	0
8	S. Lissemore	1	1	0.0	0	0
8	S. Williams	1	0	0.0	0	0
8	R. Carrethers	0	8	0.0	0	0
8	R. Mathews	0	3	0.0	0	0
9	E. Weddle	9	4	0.0	0	0
9	J. Addae	6	1	0.0	0	0
9	K. Conner	6	1	0.0	0	0
9	M. Ingram	5	0	1.0	0	1
9	B. Flowers	4	0	0.0	0	0
9	S. Williams	4	1	0.0	0	0
9	R. Carrethers	3	0	0.0	0	0
9	S. Lissemore	3	1	0.0	0	0
9	J. Attaochu	2	1	0.0	0	0
9	C. Mager	2	0	0.0	0	0
9	P. Robinson	2	0	0.0	0	0
9	J. Wilson	2	0	0.0	0	0
9	D. Butler	1	0	0.0	0	0
9	D. Square	1	0	0.0	0	0
9	K. Emanuel	0	1	0.0	0	0
9	J. Verrett	0	0	0.0	1	0
11	J. Verrett	7	0	0.0	0	0
11	M. Ingram	6	0	0.0	0	0
11	J. Attaochu	5	2	0.5	0	0
11	C. Liuget	5	0	1.0	0	0
11	P. Robinson	5	0	0.0	0	0
11	J. Addae	4	0	0.0	0	0
11	M. Te'o	4	1	0.5	0	0
11	D. Perryman	3	3	1.0	0	0
11	J. Mays	2	2	0.0	0	0
11	J. Wilson	2	1	0.0	0	0
11	D. Butler	1	0	0.0	0	0
11	R. Carrethers	1	0	0.0	0	0
11	B. Flowers	1	1	0.0	0	0
11	S. Lissemore	1	0	0.0	0	0
11	K. Reyes	1	1	0.0	0	0
11	E. Weddle	1	3	0.0	0	0
12	D. Perryman	6	1	0.0	0	0
12	J. Addae	5	1	0.0	0	0
12	J. Verrett	5	1	0.0	0	0
12	P. Robinson	4	0	0.0	0	0
12	M. Te'o	4	2	0.0	1	0
12	E. Weddle	4	0	0.0	0	0
12	K. Reyes	3	0	1.0	0	0
12	B. Flowers	2	0	0.0	0	0
12	D. Butler	1	0	0.0	0	0
12	R. Carrethers	1	0	0.0	0	0
12	K. Emanuel	1	0	0.0	0	0
12	R. Mathews	1	1	0.0	0	0
12	J. Wilson	1	0	1.0	0	0
12	J. Attaochu	0	1	0.0	0	0
12	S. Lissemore	0	1	0.0	0	0
13	D. Perryman	10	0	0.0	0	0
13	P. Robinson	7	1	0.0	0	0
13	M. Ingram	6	1	1.0	0	0
13	J. Addae	4	3	0.0	0	0
13	M. Te'o	4	2	0.0	0	0
13	J. Verrett	4	0	0.0	1	0
13	E. Weddle	4	2	0.0	0	0
13	R. Mathews	3	0	0.0	0	0
13	S. Williams	3	0	0.0	0	0
13	J. Attaochu	2	1	0.0	0	0
13	R. Carrethers	2	0	0.0	0	0
13	D. Butler	1	0	0.0	0	0
13	K. Emanuel	1	0	0.0	0	0
14	J. Verrett	8	0	0.0	1	0
14	J. Addae	7	0	0.0	0	0
14	D. Perryman	4	1	0.0	0	0
14	J. Attaochu	3	0	1.0	0	0
14	M. Te'o	3	1	0.0	0	0
14	E. Weddle	3	0	0.0	0	0
14	M. Ingram	2	0	1.0	0	0
14	R. Mathews	2	1	0.0	0	0
14	P. Robinson	2	0	0.0	0	0
14	K. Emanuel	1	0	0.0	0	0
14	D. Square	1	0	0.0	0	0
14	J. Wilson	1	0	0.0	0	0
14	K. Reyes	0	1	0.0	0	0
15	M. Te'o	6	0	0.0	0	0
15	D. Perryman	5	1	0.0	0	0
15	P. Robinson	5	0	0.0	0	0
15	J. Attaochu	4	3	0.5	0	0
15	M. Ingram	4	2	2.5	0	1
15	J. Verrett	4	0	0.0	0	0
15	J. Addae	3	0	0.0	0	0
15	C. Mager	2	0	0.0	0	0
15	C. Law	1	0	0.0	0	0
15	R. Mathews	1	1	0.0	0	0
15	D. Philon	1	1	0.0	0	0
15	K. Reyes	1	0	0.0	0	0
15	D. Stuckey	1	0	0.0	0	0
15	E. Weddle	1	1	0.0	0	0
15	A. Phillips	0	1	0.0	0	0
16	D. Perryman	10	1	1.0	0	0
16	M. Ingram	6	0	1.0	0	0
16	M. Te'o	6	0	0.0	0	0
16	J. Addae	4	0	1.0	0	0
16	G. Ducre	4	0	0.0	0	0
16	J. Attaochu	3	0	0.0	0	0
16	C. Mager	3	1	0.0	0	0
16	K. Reyes	2	0	0.0	1	0
16	R. Carrethers	1	1	0.0	0	0
16	R. Mathews	1	1	0.0	0	0
16	A. Phillips	1	0	0.0	0	0
16	J. Verrett	1	0	0.0	0	0
16	E. Weddle	1	2	0.0	0	0
16	D. Square	0	1	0.0	0	0
16	D. Stuckey	0	1	0.0	0	0
17	M. Te'o	7	2	0.0	0	1
17	D. Perryman	6	0	0.0	0	0
17	J. Addae	5	2	0.0	0	0
17	S. Williams	5	1	1.0	1	2
17	M. Ingram	3	0	1.0	0	0
17	J. Attaochu	2	0	0.0	0	0
17	G. Ducre	2	0	0.0	0	0
17	A. Phillips	2	1	0.0	1	0
17	K. Reyes	2	0	0.0	0	0
17	P. Robinson	2	0	0.0	0	0
17	D. Square	2	0	0.0	0	0
17	D. Butler	1	0	0.0	0	0
17	K. Emanuel	1	0	0.0	0	0
17	C. Law	1	0	0.0	0	0
17	C. Mager	1	0	0.0	0	0
17	D. Philon	1	0	0.0	0	0
17	C. Vaughn	1	0	0.0	0	0
