week	name	rec	yds	td	lg
1	K. Allen	15	166	0	21
1	S. Johnson	6	82	1	34
1	L. Green	5	74	1	22
1	M. Floyd	1	29	0	29
1	D. Woodhead	3	19	0	15
1	B. Oliver	1	17	0	17
1	M. Gordon	3	16	0	9
2	D. Woodhead 6 	68 	0 	19
2	M. Floyd 	2 	55 	1 	40
2	L. Green 	5 	47 	0 	12
2	S. Johnson 	5 	45 	1 	15
2	K. Allen 	2 	16 	0 	13
2	M. Gordon 	1 	10 	0 	10
3	K. Allen	12	133	2	34
3	M. Floyd	4	63	0	39
3	S. Johnson	3	46	0	30
3	J. Phillips	4	35	0	15
3	D. Woodhead	3	32	0	22
4	D. Inman	3	88	0	68
4	D. Woodhead	4	84	0	61
4	K. Allen	4	72	1	31
4	L. Green	4	53	1	19
4	S. Johnson	4	32	0	13
4	M. Floyd	1	20	0	20
4	M. Gordon	2	8	0	5
4	J. Phillips	1	1	1	1
5	A. Gates	9	92	2	12
5	D. Woodhead	5	66	0	31
5	K. Allen	6	57	0	20
5	M. Gordon	7	52	0	18
5	L. Green	5	50	0	24
5	M. Floyd	3	48	0	32
6	K. Allen	14	157	0	38
6	M. Floyd	5	95	0	50
6	A. Gates	9	95	0	21
6	D. Woodhead	5	63	0	25
6	B. Oliver	4	40	0	14
6	L. Green	3	35	1	19
6	D. Inman	3	18	1	9
7	K. Allen	9	89	0	18
7	D. Woodhead	11	75	2	11
7	S. Johnson	4	50	0	23
7	L. Green	4	45	1	31
7	B. Oliver	6	39	0	14
7	D. Inman	2	26	0	17
7	M. Floyd	1	7	0	7
7	J. Phillips	1	5	0	5
8	M. Floyd	4	92	2	70
8	A. Gates	4	56	0	30
8	D. Woodhead	2	36	0	26
8	K. Allen	5	35	1	13
8	S. Johnson	2	28	0	23
8	B. Oliver	2	16	0	10
8	J. Phillips	2	11	0	7
8	L. Green	1	10	0	10
8	D. Inman	1	10	0	10
8	M. Gordon	5	7	0	4
9	D. Woodhead	6	78	1	16
9	A. Gates	6	69	0	40
9	S. Johnson	7	68	0	16
9	D. Inman	3	28	0	14
9	M. Gordon	3	25	0	15
9	J. Herndon	1	12	0	12
11	S. Johnson	7	54	0	13
11	D. Inman	3	51	0	27
11	J. Herndon	5	37	0	10
11	M. Gordon	1	12	0	12
11	L. Green	1	9	0	9
11	D. Woodhead	1	9	0	9
11	A. Gates	1	6	0	6
12	S. Johnson	7	92	1	25
12	D. Inman	5	65	1	23
12	A. Gates	4	53	2	27
12	D. Woodhead	6	39	0	11
12	M. Gordon	5	20	0	16
12	L. Green	1	19	0	19
12	M. Floyd	1	12	0	12
13	A. Gates	6	50	0	15
13	D. Brown	1	31	0	31
13	J. Herndon	2	30	0	16
13	D. Woodhead	3	24	0	10
13	L. Green	2	21	0	16
13	M. Floyd	1	15	0	15
13	D. Inman	1	15	0	15
13	M. Gordon	1	8	0	8
13	J. Phillips	1	8	0	8
14	A. Gates	6	76	0	19
14	M. Floyd	3	56	0	41
14	J. Herndon	5	47	0	21
14	M. Gordon	4	28	0	15
14	L. Green	2	26	0	22
14	V. Brown	1	22	0	22
14	D. Woodhead	3	8	0	5
15	A. Gates	6	88	0	30
15	D. Inman	3	78	0	31
15	D. Woodhead	6	50	3	20
15	J. Herndon	5	35	0	16
15	M. Floyd	1	27	0	27
15	D. Brown	2	14	0	11
15	L. Green	2	13	0	7
15	M. Gordon	1	6	0	6
16	D. Inman	8	82	1	20
16	D. Woodhead	8	53	0	21
16	M. Floyd	3	42	0	23
16	D. Brown	3	33	0	23
16	L. Green	2	27	0	14
16	J. Herndon	3	16	0	7
16	A. Gates	2	11	0	8
16	J. Phillips	1	9	0	9
16	D. Johnson	1	4	0	4
17	T. Williams	2	90	1	80
17	D. Woodhead	8	51	0	16
17	A. Gates	3	34	1	13
17	D. Inman	3	25	0	9
17	J. Herndon	3	18	0	10
17	D. Brown	2	10	0	6
