week	name	att	yds	td	lg
1	M. Gordon	14	51	0	14
1	D. Woodhead	13	43	2	10
1	B. Oliver	2	4	0	3
1	P. Rivers	2	-2	0	-1
2	M. Gordon 	16 	88 	0 	27
2	D. Woodhead 7 	36 	0 	9
2	P. Rivers 	1 	5 	0 	5
2	B. Oliver 	1 	2 	0 	2
3	M. Gordon	14	51	0	13
3	B. Oliver	8	26	0	6
3	D. Woodhead	5	11	0	7
3	D. Johnson	1	2	0	2
4	D. Woodhead	8	54	0	19
4	M. Gordon	12	38	0	23
4	P. Rivers	1	-1	0	-1
5	M. Gordon	15	42	0	7
5	D. Woodhead	4	10	0	9
6	M. Gordon	7	29	0	25
6	B. Oliver	7	23	0	6
6	D. Woodhead	7	8	0	4
7	B. Oliver	9	35	0	15
7	M. Gordon	7	29	0	11
7	D. Woodhead	5	26	0	6
8	M. Gordon	18	54	0	6
8	B. Oliver	4	18	0	6
8	D. Woodhead	3	9	0	5
8	P. Rivers	1	0	0	0
9	D. Woodhead	6	33	0	15
9	M. Gordon	11	31	0	5
9	D. Brown	2	13	0	10
11	M. Gordon	15	37	0	10
11	P. Rivers	4	8	0	5
11	D. Woodhead	6	7	0	5
12	M. Gordon	14	60	0	14
12	P. Rivers	5	9	0	8
12	D. Woodhead	4	8	0	6
12	D. Brown	3	2	0	3
13	M. Gordon	12	55	0	21
13	D. Brown	7	26	0	11
13	D. Woodhead	3	10	0	7
13	D. Johnson	1	2	0	2
14	M. Gordon	14	35	0	10
14	D. Woodhead	3	5	0	3
14	P. Rivers	1	4	0	4
15	D. Brown	12	90	0	53
15	M. Gordon	15	41	0	10
15	D. Woodhead	8	10	1	8
15	K. Clemens	1	-1	0	-1
16	D. Woodhead	11	55	0	27
16	D. Brown	14	17	1	5
17	D. Brown	21	81	0	20
17	J. Herndon	1	13	0	13
17	D. Woodhead	5	11	0	4
17	P. Rivers	2	5	0	5
