week	name	t	a	sck	int	ff
1	J. Fleming	7	0	0.0	0	0
1	H. Abdullah	6	1	0.0	0	0
1	D. Johnson	6	2	1.0	0	0
1	M. Peters	5	2	0.0	1	0
1	A. Bailey	3	1	2.0	0	0
1	J. Houston	3	0	1.0	0	1
1	E. Berry	2	0	0.0	0	0
1	D. Ford	2	0	0.0	0	0
1	T. Hali	2	1	0.0	0	0
1	J. Howard	2	3	1.0	0	0
1	J. Mauga	2	3	0.0	0	0
1	R. Parker	2	2	0.0	0	0
1	D. Poe	1	1	0.0	0	0
1	T. Branch	0	1	0.0	0	0
2	J. Howard	7	0	0.0	0	0
2	R. Parker	6	0	0.0	0	0
2	J. Houston	5	1	2.0	0	0
2	M. Peters	5	0	0.0	1	0
2	E. Berry	4	0	0.0	0	0
2	J. Fleming	4	1	0.0	0	0
2	P. Gaines	3	1	0.0	0	0
2	J. Mauga	3	0	0.0	0	0
2	A. Bailey	2	0	0.0	0	0
2	M. Devito	2	1	1.0	0	0
2	D. Johnson	2	0	0.0	0	0
2	T. Hali	1	0	0.0	0	0
2	N. Williams	1	0	0.0	0	0
3	D. Johnson	8	0	0.0	0	0
3	R. Parker	6	0	0.0	0	0
3	T. Branch	5	2	0.0	0	0
3	J. Howard	5	3	0.0	0	0
3	E. Berry	4	1	0.0	0	0
3	J. Houston	4	0	0.0	0	0
3	T. Hali	3	0	1.0	0	0
3	J. Mauga	3	1	0.0	0	0
3	M. Peters	3	0	0.0	0	0
3	D. Poe	3	0	0.0	0	0
3	M. Devito	2	0	0.0	0	0
3	P. Gaines	2	0	0.0	0	0
3	M. Cooper	1	0	0.0	0	0
3	J. Fleming	1	0	0.0	0	0
3	D. Ford	1	0	0.0	0	0
3	A. Bailey	0	1	0.0	0	0
4	R. Parker	5	3	0.0	0	0
4	E. Berry	4	1	0.0	0	0
4	R. Wilson	4	4	0.0	0	0
4	H. Abdullah	2	0	0.0	0	0
4	A. Bailey	2	1	0.0	0	0
4	M. Peters	2	1	0.0	0	0
4	D. Poe	2	2	0.0	0	0
4	S. Smith	2	1	0.0	0	0
4	J. Houston	1	2	0.0	0	0
4	D. Johnson	1	1	0.0	0	0
4	J. Mauga	1	0	0.0	0	0
4	N. Williams	1	1	0.0	0	0
4	M. Devito	0	1	0.0	0	0
4	T. Hali	0	1	0.0	0	0
4	J. Howard	0	3	0.0	0	0
5	M. Peters	7	0	0.0	0	0
5	A. Bailey	5	2	1.5	0	1
5	D. Johnson	5	0	0.0	0	0
5	S. Smith	4	0	0.0	0	0
5	H. Abdullah	3	1	0.0	0	0
5	E. Berry	3	0	0.0	0	0
5	J. Howard	3	3	0.5	0	0
5	T. Branch	2	1	0.0	0	0
5	T. Hali	2	0	0.0	0	0
5	J. Houston	2	0	0.0	0	0
5	R. Parker	2	0	0.0	0	0
5	D. Poe	2	2	0.0	0	0
5	R. Wilson	2	2	0.0	0	0
5	D. Ford	1	1	0.0	0	0
5	M. Devito	0	1	0.0	0	0
5	N. Williams	0	1	0.0	0	0
6	R. Wilson	7	1	0.0	0	0
6	D. Johnson	6	3	0.0	0	0
6	M. Peters	6	0	0.0	1	0
6	A. Bailey	5	3	1.0	0	1
6	T. Hali	4	1	0.0	0	0
6	R. Parker	4	0	0.0	1	0
6	E. Berry	3	0	0.0	0	0
6	M. Devito	3	1	0.0	0	0
6	J. Houston	3	0	1.0	0	0
6	S. Smith	2	1	0.0	0	0
6	N. Williams	2	1	0.0	0	0
6	H. Abdullah	1	0	0.0	0	0
6	J. Howard	1	1	0.0	0	0
6	R. Nunez-Roches	1	0	0.0	0	0
7	T. Hali	4	1	2.0	0	1
7	M. Peters	4	0	0.0	0	0
7	A. Bailey	3	2	0.0	0	0
7	E. Berry	3	3	0.0	1	0
7	S. Smith	3	0	0.0	0	0
7	D. Ford	2	0	0.0	0	0
7	D. Johnson	2	2	0.0	1	0
7	J. Mauga	2	1	0.0	0	0
7	H. Abdullah	1	1	0.0	0	0
7	J. Houston	1	1	0.0	0	0
7	J. Howard	1	2	0.0	0	0
7	S. Nelson	1	0	0.0	0	0
