week	name	rec	yds	td	lg
1	T. Kelce	6	106	2	42
1	J. Maclin	5	52	0	20
1	J. Charles	5	46	1	17
1	A. Wilson	3	25	0	13
1	K. Davis	1	12	0	12
1	D. Thomas	1	2	0	2
1	A. Sherman	1	0	0	0
2	T. Kelce	4	58	0	29
2	J. Maclin	4	57	0	30
2	J. O'Shaughnessy	2	54	0	30
2	D. Thomas	2	20	0	12
2	J. Charles	4	2	0	6
3	J. Maclin	8	141	1	61
3	T. Kelce	6	80	0	38
3	J. Charles	5	33	0	13
3	C. Conley	1	16	0	16
3	D. Thomas	2	12	0	9
3	J. Avant	2	8	0	5
4	J. Maclin	11	148	0	44
4	J. Charles	6	70	0	25
4	C. Conley	2	53	0	44
4	T. Kelce	5	49	0	14
4	J. Avant	4	43	0	13
4	D. Thomas	1	11	0	11
4	J. O'Shaughnessy	1	8	0	8
4	C. West	1	4	0	4
5	J. Maclin	8	85	0	23
5	T. Kelce	3	35	0	16
5	J. Charles	1	26	0	26
5	D. Thomas	2	24	1	19
5	C. Conley	1	6	0	6
5	C. West	1	5	0	5
6	T. Kelce	5	88	0	37
6	A. Wilson	3	57	1	42
6	J. Maclin	3	48	0	39
6	J. O'Shaughnessy	2	23	0	13
6	C. Conley	3	16	0	8
6	D. Harris	2	15	0	9
6	A. Sherman	1	13	0	13
6	K. Davis	1	12	0	12
6	C. West	1	6	0	6
6	J. Avant	1	4	0	4
7	T. Kelce	5	73	0	26
7	A. Wilson	3	71	0	40
7	C. Conley	6	63	1	25
7	C. West	2	19	0	12
7	D. Thomas	2	12	0	7
7	J. Avant	2	11	0	6
7	J. O'Shaughnessy	1	2	0	2
8	T. Kelce	6	49	1	18
8	J. Maclin	3	35	1	17
8	C. West	4	25	0	13
8	D. Thomas	3	22	0	23
8	A. Wilson	3	12	0	6
8	C. Conley	1	6	0	6
10	C. West	3	92	1	80
10	D. Thomas	4	37	0	36
10	T. Kelce	5	36	0	9
10	J. Maclin	3	17	0	9
10	A. Wilson	1	16	0	16
10	B. Parker	1	6	0	6
11	A. Wilson	4	56	0	27
11	C. West	2	48	0	47
11	T. Kelce	5	46	0	16
11	J. Maclin	3	29	0	10
11	J. Avant	2	26	0	20
11	D. Harris	2	26	0	25
11	C. Conley	1	17	0	17
11	S. Ware	1	5	0	5
12	J. Maclin	9	160	1	41
12	T. Kelce	4	69	1	38
12	A. Wilson	3	25	0	16
12	S. Ware	3	1	0	2
13	J. Maclin	9	95	2	16
13	T. Kelce	2	42	0	26
13	A. Wilson	1	17	0	17
13	C. West	2	9	0	7
13	S. Ware	2	-1	0	3
14	A. Wilson	4	87	1	44
14	J. Maclin	6	68	0	21
14	D. Harris	2	18	0	12
14	T. Kelce	3	18	0	11
15	T. Kelce	6	73	0	29
15	J. Maclin	7	50	1	13
15	A. Wilson	4	27	0	11
15	J. Avant	2	12	0	6
15	C. West	2	9	0	12
16	J. Maclin	5	49	1	14
16	T. Kelce	6	43	1	13
16	A. Wilson	3	34	0	19
16	C. West	1	-1	0	-1
17	J. Maclin	3	54	1	25
17	A. Wilson	3	24	0	14
17	C. Conley	2	22	0	16
17	A. Sherman	2	21	0	18
17	J. Avant	2	15	0	8
17	D. Harris	1	15	1	15
17	T. Kelce	1	10	0	10
17	C. West	1	-2	0	-2
