week	name	att	yds	td	lg
1	J. Charles	16	57	0	13
1	K. Davis	6	16	0	10
1	A. Smith	9	15	0	5
1	D. Thomas	1	9	0	9
2	J. Charles	21	125	1	34
2	A. Smith	3	15	0	11
2	K. Davis	3	9	1	8
2	J. Maclin	1	-2	0	-2
3	J. Charles	11	49	3	13
3	A. Smith	6	33	0	19
3	D. Thomas	1	-7	0	-7
4	J. Charles	11	75	0	24
4	A. Smith	5	25	0	10
4	C. West	5	17	0	9
4	D. Thomas	2	-4	0	4
5	J. Charles	12	58	0	15
5	C. West	7	31	0	9
5	A. Smith	3	21	0	8
5	D. Thomas	1	5	0	5
5	K. Davis	2	2	0	4
6	C. West	9	33	0	9
6	K. Davis	5	13	0	8
6	A. Smith	2	10	0	7
6	D. Thomas	1	1	0	1
6	A. Sherman	1	0	0	0
7	C. West	22	110	1	36
7	D. Thomas	1	13	0	13
7	S. Ware	2	8	0	5
7	A. Smith	3	5	0	7
7	K. Davis	1	2	0	2
8	C. West	20	97	1	32
8	A. Smith	5	78	1	49
8	S. Ware	2	12	1	8
8	D. Thomas	1	10	1	10
8	K. Davis	4	9	0	5
10	C. West	24	69	1	15
10	A. Smith	6	33	0	17
10	S. Ware	2	4	0	4
11	S. Ware	11	96	2	52
11	A. Smith	7	33	0	10
11	C. West	11	16	0	6
11	D. Thomas	1	7	0	7
11	D. Poe	1	1	1	1
12	S. Ware	19	114	1	35
12	A. Smith	6	35	0	11
12	A. Wilson	1	8	0	8
12	K. Davis	1	1	0	1
13	C. West	9	35	0	18
13	S. Ware	7	26	1	10
13	A. Smith	5	23	1	19
13	A. Wilson	1	5	0	5
14	C. West	10	54	0	15
14	S. Ware	8	52	0	20
14	A. Smith	5	40	0	18
14	K. Davis	1	6	0	6
14	J. Maclin	1	-2	0	-2
15	C. West	16	76	1	38
15	A. Smith	4	17	0	8
15	K. Davis	5	14	0	6
15	A. Wilson	1	8	0	8
15	C. Daniel	2	-2	0	-1
16	C. West	14	62	0	22
16	A. Smith	6	54	0	29
16	S. Ware	5	15	0	5
16	A. Wilson	2	5	0	3
17	S. Ware	16	76	1	15
17	A. Smith	9	61	0	22
17	C. West	13	34	0	13
17	J. Maclin	1	18	0	18
