week	name	t	a	sck	int	ff
1	H. Anderson	8	1	0.0	0	0
1	D. Jackson	5	4	0.0	0	0
1	D. Lowery	5	1	0.0	0	0
1	D. Butler	4	4	0.0	0	1
1	J. Freeman	4	2	0.0	0	0
1	M. Adams	3	1	0.0	0	0
1	K. Langford	3	0	0.0	0	0
1	E. Walden	3	3	0.0	0	0
1	J. Brown	2	0	0.0	0	0
1	C. Geathers	2	0	0.0	0	0
1	Z. Kerr	1	2	0.0	0	0
1	D. Parry	1	0	0.0	0	0
1	T. Cole	0	1	0.0	0	0
2	D. Jackson	6	3	0.0	0	1
2	J. Brown	5	1	0.0	0	0
2	D. Lowery	4	2	0.0	0	0
2	M. Adams	3	1	0.0	1	0
2	H. Anderson	3	2	1.0	0	0
2	J. Freeman	3	7	0.0	0	0
2	T. Cole	2	2	0.0	0	0
2	V. Davis	2	0	0.0	0	0
2	E. Patterson	2	0	0.0	0	0
2	E. Walden	2	0	0.0	0	0
2	C. Geathers	1	1	0.0	0	0
2	R. Mathis	1	0	0.0	0	0
2	D. Parry	1	2	0.0	0	0
2	S. Price	1	0	0.0	0	0
2	K. Langford	0	3	0.0	0	0
2	B. Winn	0	2	0.0	0	0
3	D. Jackson	8	4	0.0	0	0
3	M. Adams	7	1	0.0	0	0
3	J. Freeman	7	3	1.0	0	0
3	J. Brown	5	2	0.0	0	0
3	V. Davis	3	1	0.0	0	0
3	J. Thomas	3	0	0.0	0	0
3	K. Langford	2	1	0.0	0	0
3	D. Parry	2	0	1.0	0	0
3	E. Walden	2	0	0.0	0	0
3	H. Anderson	1	0	0.0	0	0
3	D. Lowery	1	1	0.0	2	0
3	R. Mathis	1	0	1.0	0	0
3	E. Okine	1	0	0.0	0	0
3	B. Winn	1	0	0.0	0	0
3	Z. Kerr	0	2	0.0	0	0
3	B. Werner	0	1	0.0	0	0
4	D. Jackson	10	7	0.0	0	0
4	D. Butler	6	3	0.0	0	1
4	D. Lowery	5	0	0.0	0	0
4	J. McNary	4	2	0.0	0	0
4	M. Adams	3	5	0.0	0	0
4	H. Anderson	2	4	0.0	0	0
4	V. Davis	2	1	0.0	0	0
4	K. Langford	2	0	1.0	0	0
4	T. Cole	1	1	0.0	0	0
4	J. Freeman	1	0	0.0	0	0
4	C. Geathers	1	0	0.0	0	0
4	Z. Kerr	1	1	0.0	0	0
4	B. Werner	1	1	0.0	0	0
4	J. Newsome	0	2	0.0	0	0
4	D. Parry	0	2	0.0	0	0
4	E. Walden	0	1	0.0	0	0
5	D. Jackson	8	3	0.0	0	0
5	G. Toler	8	0	0.0	0	0
5	D. Lowery	6	0	0.0	0	0
5	C. Geathers	4	1	0.0	0	0
5	N. Irving	4	1	0.0	0	0
5	M. Adams	3	1	0.0	2	0
5	H. Anderson	3	1	0.0	0	0
5	V. Davis	3	2	0.0	0	0
5	E. Walden	3	0	1.0	0	0
5	S. Moore	2	2	0.0	0	0
5	D. Parry	2	0	0.0	0	0
5	B. Winn	2	0	0.0	0	0
5	D. Butler	1	0	0.0	0	0
5	Z. Kerr	1	1	0.0	0	0
5	J. Newsome	1	1	0.0	0	0
5	K. Langford	0	1	0.0	0	0
5	R. Mathis	0	1	0.0	0	0
6	J. Freeman	6	3	0.0	0	0
6	D. Jackson	4	9	0.0	0	0
6	D. Lowery	4	4	1.0	0	0
6	G. Toler	3	2	0.0	0	0
6	E. Walden	3	2	0.0	0	0
6	C. Anderson	2	2	0.0	0	0
6	J. Newsome	2	1	1.0	0	0
6	M. Adams	1	2	0.0	1	0
6	T. Cole	1	0	0.0	0	0
6	J. McNary	1	1	0.0	0	0
6	D. Parry	1	0	0.0	0	0
6	H. Anderson	0	1	0.0	0	0
6	K. Langford	0	2	0.0	0	0
6	B. Winn	0	1	0.0	0	0
7	J. Freeman	5	7	0.0	0	0
7	D. Lowery	5	4	0.0	0	0
7	G. Toler	5	2	0.0	0	1
7	C. Anderson	4	2	0.0	0	0
7	V. Davis	4	2	0.0	1	0
7	D. Jackson	4	4	0.0	0	0
7	T. Cole	3	2	0.0	0	0
7	E. Walden	3	2	0.0	0	0
7	N. Irving	2	0	0.0	0	0
7	K. Langford	2	1	1.0	0	0
7	R. Mathis	2	0	1.0	0	0
7	B. Winn	2	3	0.0	0	0
7	D. Butler	1	0	0.0	0	0
7	H. Anderson	0	1	0.0	0	0
7	T. McGill	0	2	0.0	0	0
7	D. Parry	0	2	0.0	0	0
7	B. Werner	0	2	0.0	0	0
8	G. Toler	6	1	0.0	0	0
8	M. Adams	5	3	0.0	0	0
8	J. Freeman	5	7	0.0	0	0
8	D. Butler	4	0	0.0	0	0
8	D. Jackson	3	10	0.0	0	0
8	D. Lowery	3	1	0.0	0	0
8	R. Mathis	3	0	2.0	0	0
8	V. Davis	2	0	0.0	1	0
8	H. Anderson	1	2	0.0	0	0
8	T. Cole	1	1	0.0	0	1
8	D. Parry	1	2	0.0	0	0
8	E. Walden	1	1	0.0	0	0
8	K. Langford	0	1	0.0	0	0
8	B. Werner	0	1	0.0	0	0
9	D. Lowery	5	0	0.0	0	0
9	J. Freeman	4	1	0.0	0	0
9	V. Davis	3	0	0.0	0	0
9	K. Langford	3	3	1.0	0	0
9	D. Butler	2	0	0.0	1	0
9	G. Toler	2	0	0.0	0	0
9	B. Werner	2	0	0.0	0	0
9	M. Adams	1	0	0.0	1	0
9	C. Anderson	1	1	0.0	0	0
9	H. Anderson	1	0	0.0	0	0
9	T. Cole	1	2	0.0	0	0
9	Z. Kerr	1	0	0.0	0	0
9	T. McGill	1	0	0.0	0	0
9	E. Walden	1	0	0.0	0	0
9	D. Jackson	0	1	0.0	0	0
11	J. Freeman	7	2	0.0	0	0
11	C. Geathers	7	1	0.0	0	0
11	G. Toler	7	2	0.0	0	0
11	D. Jackson	6	1	1.0	1	0
11	D. Butler	3	0	0.0	0	0
11	V. Davis	3	0	0.0	0	0
11	E. Walden	3	1	0.0	0	1
11	T. Cole	1	2	0.0	0	0
11	N. Irving	1	0	0.0	0	0
11	D. Lowery	1	0	0.0	1	0
11	T. McGill	1	0	0.0	0	0
11	J. Newsome	1	0	0.0	0	0
11	C. Fleener	0	0	0.0	1	0
11	D. Parry	0	1	0.0	0	0
12	J. Freeman	6	2	0.0	0	0
12	D. Jackson	6	5	1.0	0	0
12	E. Walden	4	0	2.0	0	0
12	D. Butler	3	0	0.0	0	0
12	C. Geathers	3	3	0.0	0	0
12	D. Lowery	3	1	0.0	1	0
12	G. Toler	3	0	0.0	0	0
12	T. Cole	2	1	1.0	0	0
12	N. Irving	2	0	1.0	0	0
12	V. Davis	1	2	0.0	0	0
12	K. Langford	1	0	0.0	0	0
12	R. Mathis	1	1	0.0	0	0
12	T. McGill	1	0	0.0	0	0
12	D. Parry	0	1	0.0	0	0
13	M. Adams	11	1	0.0	0	1
13	D. Jackson	11	0	0.0	0	0
13	G. Toler	5	0	0.0	0	0
13	D. Lowery	4	0	0.0	0	0
13	V. Davis	3	0	0.0	0	0
13	Z. Kerr	3	1	0.0	0	0
13	N. Irving	2	1	0.0	0	1
13	S. Moore	2	0	0.0	0	0
13	D. Parry	2	0	0.0	0	0
13	D. Butler	1	0	0.0	0	0
13	T. Cole	1	0	0.0	0	0
13	C. Geathers	1	0	0.0	0	0
13	R. Mathis	1	1	0.0	0	0
13	T. McGill	1	0	0.0	0	0
13	J. Newsome	1	1	0.0	0	0
13	K. Langford	0	1	0.0	0	0
13	B. Winn	0	2	0.0	0	0
14	D. Jackson	7	0	1.0	0	0
14	T. Cole	5	0	1.0	0	1
14	D. Lowery	5	0	0.0	0	0
14	M. Adams	4	0	1.0	0	1
14	D. Butler	3	0	0.0	0	0
14	B. Werner	3	0	0.0	0	0
14	J. Brown	2	0	0.0	0	0
14	K. Langford	2	0	0.0	0	0
14	J. McNary	2	1	0.0	0	0
14	D. Parry	2	1	0.0	0	0
14	V. Davis	1	0	0.0	0	0
14	C. Geathers	1	0	0.0	0	0
14	Z. Kerr	1	1	0.0	0	0
14	J. Newsome	1	1	0.0	0	0
14	T. McGill	0	1	0.0	0	0
14	S. Moore	0	1	0.0	0	0
15	M. Adams	5	5	0.0	0	1
15	J. Freeman	5	7	0.0	0	0
15	V. Davis	4	1	0.0	1	0
15	J. Brown	3	0	0.0	0	0
15	D. Butler	3	2	0.0	0	0
