week	name	cmp	att	yds	td	int
1	A. Luck	26	49	243	2	2
2	A. Luck	21	37	250	1	3
3	A. Luck	18	30	260	2	2
4	M. Hasselbeck	30	47	282	1	0
5	M. Hasselbeck	18	29	213	2	0
6	A. Luck	30	50	312	3	0
7	A. Luck	23	44	333	3	2
8	A. Luck	23	47	231	2	3
9	A. Luck	21	36	252	2	0
11	M. Hasselbeck	23	32	213	2	2
12	M. Hasselbeck	26	42	315	2	0
13	M. Hasselbeck	16	26	169	1	2
13	C. Whitehurst	4	8	51	0	0
14	M. Hasselbeck	18	35	252	0	0
14	C. Whitehurst	2	8	8	0	1
15	M. Hasselbeck	17	30	147	1	1
15	C. Whitehurst	1	2	13	0	0
16	M. Hasselbeck	8	15	99	0	0
16	C. Whitehurst	9	14	78	0	0
17	Jo. Freeman	15	28	149	1	1
17	R. Lindley	6	10	58	1	0
