week	name	rec	yds	td	lg
1	T. Hilton	7	88	0	30
1	D. Moncrief	6	46	1	15
1	P. Dorsett	2	45	0	29
1	A. Johnson	4	24	0	9
1	T. Varga	1	18	0	18
1	D. Allen	3	17	1	8
1	C. Fleener	1	5	0	5
1	F. Gore	2	0	0	2
2	D. Moncrief	7	122	1	30
2	T. Hilton	4	45	0	27
2	A. Johnson	3	27	0	12
2	J. Robinson	5	27	0	9
2	P. Dorsett	1	25	0	25
2	F. Gore	1	4	0	4
3	T. Hilton	4	94	0	48
3	C. Fleener	4	51	0	19
3	P. Dorsett	2	43	1	35
3	J. Doyle	3	32	0	19
3	D. Moncrief	4	32	1	11
3	F. Gore	1	8	0	8
4	C. Fleener	9	83	1	28
4	D. Moncrief	6	75	0	21
4	T. Hilton	7	67	0	17
4	F. Gore	5	34	0	14
4	G. Whalen	1	16	0	16
4	P. Dorsett	2	7	0	6
5	T. Hilton	5	88	0	43
5	A. Johnson	6	77	2	24
5	D. Allen	1	21	0	21
5	P. Dorsett	1	9	0	9
5	C. Fleener	2	9	0	5
5	J. Robinson	1	6	0	6
5	D. Moncrief	1	3	0	3
5	J. Doyle	1	0	0	0
6	T. Hilton	6	74	1	27
6	D. Moncrief	6	69	1	20
6	A. Johnson	3	35	0	16
6	P. Dorsett	2	30	0	17
6	G. Whalen	2	30	1	18
6	D. Allen	3	23	0	10
6	C. Fleener	3	20	0	11
6	F. Gore	2	16	0	11
6	A. Bradshaw	1	8	0	8
6	J. Doyle	2	7	0	5
7	T. Hilton	4	150	2	87
7	C. Fleener	3	47	0	27
7	A. Johnson	4	44	0	35
7	D. Moncrief	4	34	1	12
7	F. Gore	5	32	0	10
7	D. Allen	1	10	0	10
7	A. Bradshaw	1	8	0	8
7	P. Dorsett	1	8	0	8
8	A. Johnson	4	81	1	30
8	G. Whalen	5	48	0	12
8	C. Fleener	7	43	1	14
8	F. Gore	3	22	0	12
8	D. Moncrief	2	18	0	13
8	T. Hilton	1	15	0	15
8	D. Allen	1	4	0	4
9	T. Hilton	5	82	0	30
9	G. Whalen	5	73	0	38
9	D. Moncrief	3	30	0	15
9	C. Fleener	4	22	0	9
9	F. Gore	1	19	0	19
9	J. Doyle	2	18	1	15
9	A. Bradshaw	1	8	1	8
11	F. Gore	5	46	0	31
11	C. Fleener	3	45	0	26
11	D. Moncrief	5	41	0	11
11	T. Hilton	2	21	0	15
11	A. Bradshaw	4	20	2	9
11	G. Whalen	2	20	0	12
11	A. Johnson	1	13	0	13
11	D. Allen	1	7	0	7
12	D. Moncrief	8	114	0	31
12	T. Hilton	6	95	2	31
12	C. Fleener	3	27	0	17
12	A. Johnson	1	22	0	22
12	A. Bradshaw	3	20	0	10
12	D. Allen	2	19	0	11
12	F. Gore	2	13	0	9
12	J. Doyle	1	5	0	5
13	F. Gore	3	49	1	34
13	A. Johnson	2	44	0	28
13	T. Hilton	3	36	0	19
13	D. Moncrief	1	33	0	33
13	C. Fleener	4	20	0	8
13	D. Herron	3	16	0	7
13	G. Whalen	2	9	0	5
13	Z. Tipton	1	7	0	7
13	D. Allen	1	6	0	6
14	T. Hilton	4	132	0	57
14	D. Moncrief	3	52	0	33
14	Z. Tipton	4	50	0	27
14	A. Johnson	3	19	0	8
14	C. Fleener	1	6	0	6
14	D. Herron	2	5	0	4
14	F. Gore	1	-1	0	-1
14	D. Allen	2	-3	0	6
15	D. Moncrief	5	51	1	21
15	A. Johnson	3	32	0	18
15	T. Hilton	3	29	0	13
15	F. Gore	1	15	0	15
15	C. Fleener	1	12	0	12
15	G. Whalen	2	9	0	5
15	D. Herron	1	6	0	6
15	D. Allen	1	5	0	5
15	P. Dorsett	1	1	0	1
16	T. Hilton	4	64	0	28
16	A. Johnson	3	39	0	16
16	P. Dorsett	2	29	0	22
16	D. Moncrief	2	15	0	8
16	C. Fleener	2	13	0	10
16	F. Gore	2	10	0	6
16	J. Doyle	2	7	0	5
17	C. Fleener	7	88	1	57
17	A. Johnson	4	46	1	18
17	T. Hilton	4	44	0	18
17	P. Dorsett	4	28	0	11
17	J. Doyle	1	3	0	3
17	D. Moncrief	1	-2	0	-2
