week	name	att	yds	td	lg
1	F. Gore	8	31	0	9
1	A. Luck	4	20	0	11
1	J. Robinson	4	11	0	7
1	T. Varga	1	2	0	2
2	F. Gore	15	57	0	18
2	A. Luck	4	24	0	10
2	J. Robinson	5	12	0	8
3	F. Gore	14	86	2	25
3	A. Luck	6	21	0	15
3	P. McAfee	1	18	0	18
3	J. Robinson	2	8	0	5
4	F. Gore	17	53	0	22
4	P. Dorsett	1	4	0	4
4	J. Robinson	3	2	0	3
4	M. Hasselbeck	3	1	0	4
5	F. Gore	22	98	1	20
5	Z. Tipton	2	9	0	7
5	J. Robinson	3	6	0	4
5	M. Hasselbeck	3	-3	0	-1
6	F. Gore	13	78	0	23
6	A. Luck	4	35	0	25
6	A. Bradshaw	4	8	0	4
6	C. Anderson	1	-1	0	-1
7	F. Gore	9	43	0	14
7	A. Luck	3	27	0	16
7	A. Bradshaw	1	5	0	5
8	F. Gore	22	70	0	10
8	A. Luck	6	35	0	11
8	A. Bradshaw	7	31	0	23
9	F. Gore	28	83	1	17
9	A. Luck	6	34	0	11
9	A. Bradshaw	6	3	0	3
11	F. Gore	14	34	0	9
11	A. Bradshaw	9	32	0	11
11	M. Hasselbeck	3	8	0	3
11	J. Reitz	1	0	0	0
12	F. Gore	19	24	0	5
12	A. Bradshaw	4	6	0	7
12	M. Hasselbeck	3	-3	0	-1
13	F. Gore	13	45	0	12
13	D. Herron	2	8	0	5
13	M. Hasselbeck	2	1	0	2
13	Z. Tipton	1	0	0	0
14	F. Gore	16	60	0	14
14	D. Herron	4	16	0	6
14	M. Hasselbeck	1	10	0	10
14	Z. Tipton	1	7	0	7
14	C. Whitehurst	1	2	0	2
15	F. Gore	16	44	0	12
15	Z. Tipton	1	4	0	4
15	D. Allen	1	1	0	1
15	M. Hasselbeck	1	1	0	1
16	F. Gore	15	85	2	37
16	D. Herron	6	14	0	5
16	P. Dorsett	1	2	0	2
16	C. Whitehurst	1	-1	0	-1
17	F. Gore	19	76	0	15
17	Jo. Freeman	8	24	0	9
17	T. Williams	2	12	0	12
17	P. Dorsett	1	11	0	11
17	D. Herron	2	4	0	3
