week	name	cmp	att	yds	td	int
1	T. Romo	36	45	356	3	2
2	T. Romo	18	27	195	0	0
2	B. Weeden	7	7	73	1	0
3	B. Weeden	22	26	232	0	1
4	B. Weeden	16	26	246	1	0
5	B. Weeden	26	39	187	0	1
7	M. Cassel	17	27	227	1	3
8	M. Cassel	13	25	97	0	0
8	D. McFadden	0	1	0	0	0
9	M. Cassel	25	38	299	3	1
10	M. Cassel	19	29	186	0	1
11	T. Romo	18	28	227	2	2
12	T. Romo	11	21	106	0	3
12	M. Cassel	13	19	93	1	0
13	M. Cassel	16	29	223	0	0
14	M. Cassel	13	29	114	0	1
15	K. Moore	15	25	158	1	3
15	M. Cassel	3	8	37	0	1
16	K. Moore	13	31	186	0	1
17	K. Moore	33	48	435	3	2
