week	name	rec	yds	td	lg
1	L. Dunbar	8	70	0	24
1	T. Williams	5	60	0	21
1	J. Witten	8	60	2	15
1	C. Beasley	4	49	0	16
1	D. Bryant	5	48	0	18
1	J. Randle	3	42	0	25
1	D. McFadden	1	19	0	19
1	G. Escobar	2	8	1	6
2	T. Williams	4	84	1	42
2	J. Witten	7	56	0	11
2	L. Dunbar	3	45	0	39
2	D. McFadden	2	21	0	14
2	D. Street	1	18	0	18
2	G. Escobar	2	16	0	13
2	C. Beasley	4	14	0	9
2	J. Randle	1	14	0	14
2	G. Swaim	1	0	0	0
3	L. Dunbar	10	100	0	22
3	J. Witten	6	65	0	19
3	C. Beasley	4	49	0	20
3	J. Randle	2	18	0	9
4	B. Butler	1	67	0	67
4	C. Beasley	6	62	0	19
4	J. Witten	4	57	0	28
4	T. Williams	3	49	1	24
4	J. Hanna	1	7	0	7
4	T. Clutts	1	4	0	4
5	D. McFadden	9	62	0	12
5	C. Beasley	4	40	0	21
5	J. Witten	5	33	0	16
5	T. Williams	2	30	0	17
5	D. Street	1	13	0	13
5	J. Randle	4	12	0	9
5	L. Whitehead	1	-3	0	-3
7	J. Witten	6	73	0	35
7	T. Williams	4	70	0	27
7	B. Butler	2	41	0	26
7	D. Street	1	25	1	25
7	D. McFadden	2	10	0	9
7	J. Hanna	1	6	0	6
7	C. Michael	1	2	0	2
8	D. McFadden	6	49	0	11
8	T. Williams	2	20	0	15
8	J. Witten	2	16	0	9
8	D. Bryant	2	12	0	15
8	J. Hanna	1	0	0	0
9	C. Beasley	9	112	2	30
9	D. Bryant	5	104	1	51
9	J. Witten	6	43	0	14
9	T. Williams	3	27	0	11
9	L. Whitehead	1	8	0	8
9	D. McFadden	1	5	0	5
10	D. Bryant	5	45	0	16
10	J. Witten	5	42	0	24
10	T. Williams	2	33	0	17
10	D. McFadden	3	26	0	11
10	G. Escobar	1	22	0	22
10	D. Street	1	10	0	10
10	C. Beasley	1	8	0	8
10	L. Whitehead	1	0	0	0
11	T. Williams	4	79	1	31
11	D. Bryant	4	45	1	16
11	J. Witten	2	27	0	15
11	G. Escobar	2	20	0	15
11	D. McFadden	3	20	0	9
11	D. Street	1	19	0	19
11	C. Beasley	1	14	0	14
11	R. Turbin	1	3	0	3
12	D. McFadden	4	45	0	21
12	C. Beasley	6	44	1	17
12	T. Williams	4	39	0	13
12	J. Witten	4	36	0	14
12	D. Bryant	2	26	0	20
12	R. Smith	1	6	0	6
12	L. Whitehead	1	4	0	4
12	R. Turbin	1	1	0	1
12	G. Escobar	1	-2	0	-2
13	T. Williams	2	63	0	38
13	D. Bryant	3	62	0	42
13	J. Witten	5	46	0	12
13	D. Street	1	18	0	18
13	R. Turbin	2	12	0	15
13	J. Hanna	1	11	0	11
13	D. McFadden	1	6	0	6
13	L. Whitehead	1	5	0	5
14	J. Witten	5	40	0	10
14	T. Williams	3	38	0	19
14	C. Beasley	3	25	0	12
14	D. Bryant	1	9	0	9
14	L. Whitehead	1	2	0	2
15	D. Bryant	4	50	1	15
15	J. Witten	5	49	0	15
15	C. Beasley	3	37	0	23
15	J. Hanna	1	17	0	17
15	B. Butler	1	16	0	16
15	D. McFadden	2	13	0	8
15	T. Williams	2	13	0	14
16	B. Butler	4	74	0	34
16	T. Williams	4	62	0	22
16	C. Beasley	2	29	0	25
16	J. Witten	1	12	0	12
16	J. Hanna	1	10	0	10
16	D. McFadden	1	-1	0	-1
17	T. Williams	8	173	0	36
17	B. Butler	4	60	0	24
17	J. Witten	6	58	1	22
17	C. Beasley	5	53	2	22
17	D. McFadden	5	53	0	17
17	J. Hanna	3	28	0	13
17	D. Street	1	11	0	11
17	R. Turbin	1	-1	0	-1
