week	name	att	yds	td	lg
1	J. Randle	16	65	0	15
1	D. McFadden	6	16	0	8
1	T. Romo	1	-1	0	-1
2	J. Randle	18	51	0	6
2	D. McFadden	10	31	0	9
2	T. Romo	1	12	0	12
2	L. Dunbar	1	8	0	8
2	B. Weeden	3	7	0	9
3	J. Randle	14	87	3	37
3	D. McFadden	6	35	1	10
3	L. Dunbar	1	5	0	5
4	L. Dunbar	3	54	0	45
4	D. McFadden	10	31	0	14
4	J. Randle	11	26	1	14
4	B. Weeden	3	5	0	3
4	C. Michael	1	-1	0	-1
5	J. Randle	15	62	0	14
5	B. Weeden	3	18	0	11
5	D. McFadden	5	16	0	7
5	C. Michael	1	6	0	6
7	D. McFadden	29	152	1	22
7	L. Whitehead	4	35	0	15
7	J. Randle	2	24	0	13
7	C. Michael	5	18	0	13
7	M. Cassel	1	4	0	4
8	D. McFadden	20	64	0	12
8	M. Cassel	4	43	0	24
8	C. Michael	5	20	0	9
8	L. Whitehead	1	2	0	2
9	D. McFadden	27	117	0	17
9	M. Cassel	2	17	0	11
10	D. McFadden	17	32	0	7
10	C. Michael	3	8	0	4
10	M. Cassel	1	2	0	2
11	D. McFadden	29	129	0	35
11	R. Turbin	7	35	0	17
11	T. Romo	2	2	0	3
12	D. McFadden	10	11	0	8
12	R. Turbin	2	11	0	8
12	M. Cassel	2	9	0	5
13	D. McFadden	14	53	1	9
13	L. Whitehead	2	35	0	22
13	R. Turbin	6	12	0	5
13	M. Cassel	2	-3	0	7
14	D. McFadden	9	111	0	50
14	R. Turbin	7	51	1	22
14	M. Cassel	3	6	0	3
14	L. Whitehead	1	3	0	3
15	D. McFadden	16	100	0	33
15	L. Whitehead	2	32	0	33
15	R. Turbin	3	1	0	2
16	D. McFadden	19	99	0	28
16	R. Turbin	5	23	0	11
16	K. Moore	1	-1	0	-1
17	D. McFadden	12	92	0	30
17	R. Turbin	2	6	0	3
17	J. Heath	1	2	0	2
17	K. Moore	1	0	0	0
