week	name	t	a	sck	int	ff
1	K. Misi	9	2	0.0	0	0
1	J. Jenkins	7	4	0.0	0	0
1	R. Jones	7	5	0.0	0	0
1	J. Taylor	6	3	0.0	0	0
1	T. Fede	4	2	0.0	0	0
1	E. Mitchell	3	1	0.0	0	0
1	K. Sheppard	3	2	0.0	0	0
1	Br. McCain	2	4	0.0	1	0
1	W. Aikens	2	0	0.0	0	0
1	B. Grimes	1	1	0.0	1	0
1	C. Mosley	1	0	0.0	0	0
1	J. Phillips	1	0	1.0	0	0
1	N. Suh	1	1	0.0	0	0
1	M. Thomas	1	0	0.0	0	0
1	Z. Vigil	1	0	0.0	0	0
1	D. Shelby	0	1	0.0	0	0
2	J. Jenkins	9	3	0.0	0	0
2	R. Jones	8	3	0.0	0	0
2	B. Grimes	5	1	0.0	0	0
2	W. Aikens	2	2	0.0	0	0
2	K. Misi	2	2	0.0	0	0
2	K. Sheppard	2	2	0.0	0	0
2	M. Thomas	2	0	0.0	0	0
2	Br. McCain	1	1	0.0	0	0
2	T. Fede	1	0	0.0	0	0
2	E. Mitchell	1	0	0.0	0	0
2	S. Paysinger	1	0	0.0	0	0
2	D. Shelby	1	1	0.0	0	0
2	N. Suh	1	0	0.0	0	0
2	J. Taylor	1	1	0.0	0	0
2	O. Vernon	1	0	0.0	0	0
3	R. Jones	8	1	0.0	0	0
3	K. Misi	6	0	0.0	0	0
3	K. Sheppard	6	0	0.0	0	0
3	Br. McCain	5	0	0.0	0	0
3	M. Thomas	5	0	0.0	0	0
3	N. Suh	4	0	0.0	0	0
3	J. Jenkins	3	0	0.0	0	0
3	B. Grimes	2	0	0.0	0	0
3	D. Shelby	2	0	0.0	0	0
3	W. Aikens	1	0	0.0	0	0
3	A. Francis	1	0	0.0	0	0
3	E. Mitchell	1	0	0.0	0	0
3	J. Taylor	1	0	0.0	0	0
3	O. Vernon	1	0	0.0	0	0
3	T. Fede	0	1	0.0	0	0
3	Z. Vigil	0	1	0.0	0	0
3	C. Wake	0	1	0.0	0	0
4	R. Jones	10	1	0.0	0	0
4	K. Misi	5	3	0.0	0	0
4	S. Paysinger	4	1	0.0	0	0
4	J. Taylor	4	0	0.0	0	0
4	Br. McCain	3	1	0.0	0	0
4	J. Jenkins	3	1	0.0	0	0
4	N. Suh	3	0	0.0	0	0
4	M. Thomas	3	0	0.0	0	0
4	B. Grimes	2	0	0.0	0	0
4	E. Mitchell	2	1	0.0	0	0
4	D. Shelby	2	0	0.0	0	0
4	O. Vernon	2	0	0.0	0	0
4	Bo. McCain	1	0	0.0	0	0
4	W. Aikens	1	0	0.0	0	0
4	Z. Bowman	1	0	0.0	1	0
4	K. Sheppard	1	2	0.0	0	0
6	K. Misi	6	2	0.0	0	0
6	R. Jones	5	3	0.0	1	0
6	J. Jenkins	4	3	0.0	0	0
6	C. Wake	4	0	4.0	0	2
6	Bo. McCain	3	0	0.0	0	0
6	O. Vernon	3	1	1.0	0	0
6	J. Kovacs	2	0	1.0	0	0
6	M. Thomas	2	1	0.0	0	0
6	T. Fede	1	1	0.0	0	0
6	B. Grimes	1	1	0.0	1	0
6	N. Hewitt	1	1	0.0	0	0
6	D. Shelby	1	0	0.0	0	0
6	K. Sheppard	1	0	0.0	0	0
6	J. Taylor	1	2	0.0	0	0
6	Br. McCain	0	1	0.0	0	0
6	E. Mitchell	0	3	0.0	0	0
6	J. Phillips	0	1	0.0	0	0
