week	name	rec	yds	td	lg
1	J. Cameron	4	73	0	27
1	J. Landry	8	53	0	20
1	R. Matthews	4	34	1	15
1	G. Jennings	3	29	0	11
1	L. Miller	1	22	0	22
1	K. Stills	1	12	0	12
1	D. Williams	1	3	0	3
2	R. Matthews 6 	115 	0 	48
2	J. Landry 	8 	110 	0 	36
2	J. Cameron 	3 	62 	0 	26
2	L. Miller 	5 	28 	0 	12
2	J. Stoneburner 	2 	18 	1 	13
2	D. Williams 3 	15 	1 	10
2	K. Stills 	2 	8 	0 	8
2	D. Parker 	1 	3 	0 	3
3	R. Matthews	6	113	2	46
3	J. Landry	8	67	0	13
3	D. Parker	3	46	0	19
3	L. Miller	3	27	0	16
3	J. Cameron	3	16	0	10
3	J. Stoneburner	1	13	0	13
3	G. Jennings	1	10	0	10
3	D. Williams	1	5	0	5
4	K. Stills	5	81	1	42
4	J. Landry	4	40	0	20
4	J. Cameron	2	19	0	11
4	R. Matthews	1	16	0	16
4	J. Stoneburner	2	16	1	8
4	G. Jennings	3	15	0	9
4	L. Miller	1	10	0	10
4	D. Williams	1	1	0	1
6	R. Matthews	6	85	0	24
6	K. Stills	2	46	0	38
6	J. Landry	3	42	0	19
6	D. Sims	4	33	1	16
6	J. Cameron	3	30	1	13
6	G. Jennings	1	13	0	13
6	J. Gray	1	12	0	12
6	L. Miller	2	5	0	4
7	J. Landry	5	83	2	50
7	R. Matthews	3	75	1	53
7	L. Miller	3	61	1	54
7	G. Jennings	2	37	0	23
7	J. Cameron	2	23	0	12
7	J. Gray	1	10	0	10
7	D. Williams	2	10	0	8
7	D. Sims	1	-3	0	-3
8	J. Landry	6	71	0	18
8	R. Matthews	7	62	0	17
8	K. Stills	3	58	0	25
8	J. Gray	4	50	0	25
8	J. Cameron	2	34	0	29
8	L. Miller	5	19	0	8
8	D. Sims	1	6	0	6
9	L. Miller	7	97	0	27
9	K. Stills	3	74	0	46
9	J. Landry	10	67	0	24
9	R. Matthews	4	54	0	21
9	D. Sims	1	9	0	9
9	R. Tannehill	1	9	0	9
9	J. Cameron	1	6	0	6
10	R. Matthews	5	93	0	43
10	J. Landry	7	52	1	18
10	L. Miller	6	50	1	35
10	G. Jennings	1	9	0	9
10	D. Sims	1	8	0	8
10	J. Cameron	1	5	0	5
11	J. Landry	4	66	0	47
11	K. Stills	2	52	1	29
11	J. Ajayi	2	23	0	20
11	J. Cameron	2	21	1	12
11	R. Matthews	1	15	0	15
11	L. Miller	2	11	0	11
12	J. Landry	13	165	1	40
12	D. Parker	4	80	1	33
12	J. Ajayi	4	52	0	15
12	J. Cameron	2	13	0	7
12	K. Stills	2	12	0	7
12	L. Miller	3	11	0	17
12	Da. Williams	2	10	0	7
12	G. Jennings	2	9	1	5
12	D. Sims	1	-1	0	-1
13	D. Parker	3	63	1	38
13	Da. Williams	1	5	0	5
13	J. Landry	2	5	0	6
13	L. Miller	1	5	0	5
13	J. Cameron	1	4	0	4
13	D. Sims	1	4	0	4
14	J. Landry	11	99	0	25
14	K. Stills	2	49	1	47
14	J. Cameron	3	35	0	17
14	D. Parker	2	16	0	14
14	D. Sims	3	14	0	8
14	G. Jennings	2	12	0	7
14	Da. Williams	2	11	0	7
15	D. Parker	4	87	0	35
15	J. Landry	8	54	0	14
15	K. Stills	1	23	0	23
15	J. Ajayi	1	15	0	15
15	L. Miller	2	12	0	11
15	Da. Williams	2	11	0	6
15	D. Sims	1	9	0	9
15	J. Cameron	1	5	0	5
16	J. Landry	7	111	0	26
16	D. Parker	4	93	0	49
16	L. Miller	5	36	0	14
16	J. Cameron	3	34	0	15
16	Da. Williams	3	33	0	23
16	K. Stills	3	14	0	9
16	D. Sims	1	8	0	8
17	D. Parker	5	106	1	46
17	G. Jennings	4	74	0	31
17	J. Landry	6	72	0	19
17	D. Sims	3	40	0	22
17	Da. Williams	3	38	0	22
17	K. Stills	1	11	0	11
17	J. Cameron	2	6	1	4
17	L. Miller	1	3	0	3
