week	name	att	yds	td	lg
1	L. Miller	13	53	0	17
1	J. Landry	1	14	0	14
1	R. Tannehill	3	7	0	5
1	D. Williams	1	0	0	0
2	R. Tannehill 	3 	17 	0 	9
2	L. Miller 	10 	14 	0 	6
2	J. Landry 	1 	6 	0 	6
2	D. Williams 2 	5 	0 	3
3	J. Gray	9	49	0	11
3	L. Miller	7	38	0	8
3	D. Williams	2	17	0	14
3	J. Landry	1	-1	0	-1
3	R. Tannehill	1	-1	0	-1
4	J. Landry	2	29	0	15
4	L. Miller	7	26	0	13
4	R. Tannehill	1	4	0	4
4	J. Gray	1	0	0	0
6	L. Miller	19	113	1	22
6	J. Gray	7	24	0	7
6	J. Landry	2	24	1	22
6	R. Tannehill	2	14	0	10
6	D. Williams	2	5	0	4
7	L. Miller	14	175	1	85
7	J. Gray	12	48	0	16
7	D. Williams	4	19	0	19
7	J. Landry	1	5	0	5
7	R. Tannehill	1	3	0	3
7	M. Moore	3	-2	0	0
8	L. Miller	9	15	1	8
8	J. Gray	2	1	0	1
8	R. Tannehill	2	-1	0	0
9	L. Miller	12	44	2	14
9	J. Ajayi	5	41	0	23
9	J. Landry	5	20	0	9
9	R. Tannehill	2	3	0	3
10	J. Ajayi	6	48	0	24
10	L. Miller	16	43	0	11
10	J. Landry	1	6	0	6
10	R. Matthews	1	4	0	4
10	R. Tannehill	2	-2	0	-1
11	L. Miller	7	44	0	16
11	J. Ajayi	4	13	0	5
11	R. Tannehill	3	13	0	7
12	J. Ajayi	3	6	0	5
12	J. Landry	1	4	0	4
12	L. Miller	5	2	0	2
13	L. Miller	20	113	0	22
13	J. Ajayi	4	12	0	4
13	R. Tannehill	1	11	0	11
13	Da. Williams	1	1	0	1
14	L. Miller	12	89	2	38
14	R. Tannehill	4	24	0	12
14	J. Ajayi	5	15	0	9
14	J. Landry	1	0	0	0
15	J. Ajayi	6	27	1	12
15	L. Miller	9	12	0	7
15	R. Tannehill	3	4	1	2
15	Da. Williams	1	1	0	1
16	L. Miller	15	31	1	7
16	R. Tannehill	1	28	0	28
16	J. Ajayi	9	23	0	10
17	L. Miller	19	60	0	29
17	R. Tannehill	3	17	0	19
17	Da. Williams	3	11	0	8
17	J. Landry	2	6	0	5
17	J. Ajayi	7	2	0	4
