week	name	rec	yds	td	lg
1	J. Matthews	10	102	0	25
1	D. Sproles	7	76	0	24
1	Z. Ertz	3	46	0	21
1	R. Cooper	3	25	0	12
1	R. Mathews	3	24	0	12
1	M. Austin	2	22	0	15
1	J. Huff	2	19	0	13
1	D. Murray	4	11	1	6
1	B. Celek	1	6	0	6
1	N. Agholor	1	5	0	5
2	J. Matthews	6	80	1	32
2	D. Murray	5	53	0	22
2	N. Agholor	3	31	0	12
2	D. Sproles	4	23	0	11
2	J. Huff	2	20	0	11
2	Z. Ertz	3	17	0	9
3	J. Matthews	6	49	0	17
3	Z. Ertz	2	30	0	21
3	R. Mathews	2	20	1	23
3	D. Sproles	4	19	0	9
4	R. Cooper	2	72	1	62
4	N. Agholor	3	64	0	45
4	M. Austin	2	51	1	39
4	J. Matthews	3	50	0	30
4	D. Murray	2	12	0	8
4	Z. Ertz	2	11	0	7
4	B. Celek	1	10	1	10
5	J. Huff	4	78	1	41
5	Z. Ertz	5	60	0	21
5	B. Celek	3	44	1	23
5	J. Matthews	5	44	0	18
5	D. Murray	7	37	0	13
5	R. Cooper	3	32	0	14
5	R. Mathews	3	23	0	13
5	D. Sproles	1	10	0	10
5	N. Agholor	1	5	0	5
6	R. Cooper	3	76	1	43
6	M. Austin	3	60	0	37
6	J. Matthews	6	59	0	19
6	Z. Ertz	4	43	0	17
6	J. Huff	3	19	0	15
6	D. Murray	3	14	0	7
6	R. Mathews	1	6	0	6
6	D. Sproles	1	3	0	3
7	Z. Ertz	5	63	0	24
7	M. Austin	4	52	0	22
7	D. Sproles	5	31	0	9
7	R. Mathews	3	24	0	20
7	J. Matthews	3	14	0	7
7	B. Celek	2	11	0	6
7	J. Huff	2	5	0	6
7	D. Murray	2	5	0	3
9	J. Matthews	9	133	1	41
9	D. Murray	6	78	0	44
9	Z. Ertz	5	44	0	27
9	M. Austin	1	27	0	27
9	J. Huff	2	10	0	5
9	D. Sproles	2	3	0	7
10	B. Celek	4	134	0	60
10	Z. Ertz	7	68	0	27
10	D. Murray	6	58	0	20
10	D. Sproles	5	34	0	10
10	N. Agholor	3	32	0	21
10	J. Huff	3	23	1	16
10	R. Mathews	2	22	0	17
10	J. Matthews	3	21	0	9
11	B. Celek	7	79	0	18
11	R. Cooper	2	42	0	24
11	J. Huff	1	39	1	39
11	D. Sproles	3	38	1	35
11	D. Murray	4	27	0	11
11	J. Matthews	4	13	0	5
11	Z. Ertz	2	12	0	7
11	N. Agholor	3	11	0	7
12	J. Matthews	3	60	1	24
12	T. Burton	2	49	0	43
12	D. Sproles	4	21	0	16
12	R. Cooper	2	16	0	8
12	N. Agholor	2	15	0	12
12	M. Austin	1	12	0	12
12	J. Huff	1	11	0	11
12	B. Celek	2	10	1	8
12	S. Ajirotutu	1	4	0	4
12	K. Barner	1	1	0	1
13	J. Matthews	3	36	1	20
13	D. Sproles	4	34	0	16
13	B. Celek	1	16	0	16
13	R. Cooper	1	14	0	14
13	Z. Ertz	2	9	1	5
13	K. Barner	2	7	0	5
13	J. Krause	1	4	0	4
14	Z. Ertz	5	98	0	41
14	N. Agholor	3	62	1	53
14	R. Cooper	3	28	0	11
14	J. Huff	2	28	0	18
14	J. Matthews	3	19	0	8
14	R. Mathews	2	4	0	3
14	D. Sproles	2	4	0	3
14	D. Murray	2	3	0	4
14	B. Celek	1	1	0	1
15	J. Matthews	8	159	1	78
15	Z. Ertz	8	78	1	22
15	J. Huff	4	52	0	22
15	B. Celek	2	31	0	21
15	R. Cooper	2	22	0	15
15	D. Sproles	3	16	0	6
15	R. Mathews	1	3	0	3
16	Z. Ertz	13	122	0	17
16	J. Matthews	6	104	1	43
16	D. Sproles	7	56	0	14
16	N. Agholor	2	35	0	18
16	D. Murray	3	24	0	13
16	B. Celek	1	18	0	18
16	R. Mathews	2	13	0	11
16	J. Huff	1	8	0	8
16	J. Krause	1	7	0	7
16	K. Barner	1	-7	0	-7
17	Z. Ertz	9	152	0	60
17	J. Matthews	7	54	2	25
17	B. Celek	2	38	0	24
17	N. Agholor	2	23	0	16
17	K. Barner	5	21	0	12
17	D. Sproles	3	20	0	14
17	R. Mathews	1	7	0	7
17	T. Burton	1	5	0	5
