week	name	att	yds	td	lg
1	D. Sproles	5	50	0	27
1	D. Murray	8	9	1	8
1	R. Mathews	3	4	1	3
2	S. Bradford	2	9	0	9
2	D. Murray	13	2	0	9
2	R. Mathews	1	0	0	0
2	D. Sproles	1	-4	0	-4
3	R. Mathews	24	108	0	27
3	D. Sproles	11	17	1	12
3	S. Bradford	3	-2	0	0
4	D. Murray	8	36	0	30
4	R. Mathews	5	20	0	9
4	D. Sproles	4	17	0	11
4	S. Bradford	1	14	0	14
5	D. Murray	20	83	1	24
5	R. Mathews	8	73	1	33
5	D. Sproles	5	27	0	14
5	S. Bradford	1	3	0	3
6	D. Murray	21	112	1	21
6	R. Mathews	9	40	0	9
6	D. Sproles	2	4	0	4
6	S. Bradford	5	2	0	5
7	R. Mathews	6	97	1	63
7	D. Murray	18	65	0	11
7	D. Sproles	3	9	0	6
7	S. Bradford	3	6	0	2
9	D. Murray	18	83	1	20
9	R. Mathews	11	67	1	21
9	D. Sproles	5	23	0	8
9	S. Bradford	1	-1	0	-1
10	D. Murray	22	61	0	13
10	R. Mathews	7	18	1	12
10	M. Sanchez	2	4	0	4
10	S. Bradford	1	0	0	0
10	D. Sproles	3	0	0	2
11	D. Murray	13	64	0	16
11	K. Barner	7	37	0	8
11	D. Sproles	6	21	0	7
11	M. Sanchez	2	14	0	11
12	K. Barner	7	30	0	16
12	D. Murray	14	30	0	19
12	M. Sanchez	2	4	0	5
12	D. Sproles	2	4	0	5
13	D. Sproles	15	66	0	13
13	K. Barner	9	39	0	19
13	D. Murray	8	24	0	19
13	S. Bradford	1	-1	0	-1
14	D. Sproles	7	41	1	15
14	R. Mathews	13	38	0	9
14	D. Murray	11	34	0	7
14	S. Bradford	3	3	0	5
15	R. Mathews	11	58	0	20
15	D. Sproles	6	9	0	3
15	S. Bradford	1	4	0	4
15	D. Murray	2	3	0	2
16	D. Murray	5	27	1	12
16	D. Sproles	5	9	0	8
16	R. Mathews	4	5	1	2
16	S. Bradford	2	4	0	4
17	D. Murray	12	69	1	54
17	D. Sproles	3	24	1	13
17	K. Barner	5	18	0	7
17	R. Mathews	4	11	0	7
17	S. Bradford	2	-2	0	-1
