week	name	t	a	sck	int	ff
1	P. Worrilow	9	3	0.0	0	0
1	W. Moore	7	2	0.0	1	0
1	R. Allen	5	2	0.0	1	0
1	J. Durant	4	4	0.0	0	1
1	P. Adams	3	0	0.0	0	0
1	K. Biermann	2	1	0.0	0	0
1	J. Collins	2	0	0.0	0	0
1	J. Babineaux	1	2	0.0	0	0
1	V. Beasley	1	2	0.0	0	0
1	A. Clayborn	1	0	0.0	0	0
1	K. Ishmael	1	0	0.0	0	0
1	O. Schofield	1	0	0.0	0	0
1	R. Alford	0	1	0.0	0	0
1	M. Goodman	0	2	0.0	0	0
1	T. Jackson	0	1	0.0	0	0
1	G. Jarrett	0	1	0.0	0	0
2	J. Durant 	9	1 	0.0 	0 	0
2	W. Moore 	5	3 	0.0 	0 	0
2	P. Adams 	4	3 	0.0 	0 	0
2	R. Alford 	4	0 	0.0 	0 	0
2	J. Babineaux 	4	2 	0.0 	0 	0
2	N. Stupar 	4	1 	0.0 	0 	0
2	R. Allen 	3	0 	0.0 	0 	0
2	V. Beasley 	3	2 	1.0 	0 	1
2	K. Biermann 	3	0 	1.0 	0 	1
2	J. Bartu 	2	0 	0.0 	0 	0
2	T. Jackson 	2	3 	0.0 	0 	0
2	P. Soliai 	2	0 	0.0 	0 	0
2	P. Worrilow 	2	1 	0.0 	0 	0
2	A. Bradford 	1	0 	0.0 	0 	0
2	O. Schofield 	1	2 	0.0 	0 	0
2	R. Therezie 	1	0 	0.0 	0 	0
2	D. Trufant 	1	2 	0.0 	0 	0
3	J. Durant	8	1	0.0	0	0
3	R. Allen	7	0	0.0	0	0
3	P. Worrilow	5	0	0.0	0	0
3	W. Moore	4	0	0.0	1	0
3	P. Adams	2	1	0.0	0	0
3	V. Beasley	2	0	1.0	0	0
3	A. Clayborn	2	0	1.0	0	0
3	R. Therezie	2	0	0.0	0	0
3	D. Trufant	2	1	0.0	0	0
3	R. Alford	1	0	0.0	0	0
3	T. Jackson	1	0	0.0	0	0
3	O. Schofield	1	1	0.0	0	0
3	P. Soliai	1	0	0.0	0	0
3	N. Stupar	1	0	0.0	0	0
3	J. Babineaux	0	1	0.0	0	0
4	P. Adams	4	0	0.0	0	0
4	A. Bradford	4	1	0.0	0	1
4	W. Moore	4	0	0.0	0	1
4	N. Stupar	3	0	0.0	0	0
4	R. Therezie	3	2	0.0	0	0
4	P. Worrilow	3	1	0.0	0	0
4	J. Bartu	2	1	0.0	0	0
4	K. Biermann	2	0	0.0	0	0
4	K. Ishmael	2	2	0.0	0	0
4	B. Reed	2	0	0.0	0	0
4	D. Trufant	2	0	0.0	0	0
4	R. Alford	1	0	0.0	0	0
4	J. Babineaux	1	0	0.0	1	0
4	V. Beasley	1	0	0.0	0	0
4	J. Collins	1	0	0.0	0	0
4	J. Durant	1	0	0.0	0	0
4	R. Hageman	1	1	1.0	0	0
4	G. Jarrett	1	0	0.0	0	0
4	D. Southward	1	0	0.0	0	0
5	P. Worrilow	8	0	0.0	0	0
5	P. Adams	4	0	0.0	0	1
5	W. Moore	4	0	0.0	0	0
5	P. Soliai	3	0	0.0	0	0
5	N. Stupar	3	1	1.0	0	0
5	R. Allen	2	1	0.0	0	0
5	J. Babineaux	2	0	0.0	0	0
5	K. Biermann	2	0	0.0	0	0
5	A. Clayborn	2	0	0.0	0	0
5	K. Ishmael	2	0	0.0	0	0
5	O. Schofield	2	1	0.0	0	0
5	R. Therezie	2	0	0.0	0	0
5	D. Trufant	2	0	0.0	0	0
5	R. Alford	1	0	0.0	2	0
5	J. Bartu	1	0	0.0	0	0
5	V. Beasley	1	0	0.0	0	0
5	R. Hageman	1	0	0.0	0	0
5	G. Jarrett	1	0	0.0	0	0
6	P. Worrilow	7	2	0.0	0	0
6	R. Therezie	6	1	0.0	0	0
6	R. Alford	5	0	0.0	0	0
6	R. Allen	5	0	0.0	0	0
6	W. Moore	5	1	0.0	0	0
6	J. Bartu	4	1	0.0	0	0
6	K. Biermann	4	2	0.0	0	0
6	V. Beasley	2	1	0.0	0	0
6	A. Clayborn	2	0	1.0	0	0
6	R. Hageman	2	1	0.0	0	0
6	K. Ishmael	2	1	0.0	0	0
6	T. Jackson	2	2	0.0	0	0
6	P. Adams	1	1	0.0	0	0
6	J. Babineaux	1	0	0.0	0	0
6	O. Schofield	1	0	0.0	0	0
6	D. Trufant	1	0	0.0	0	0
6	G. Jarrett	0	1	0.0	0	0
6	B. Reed	0	2	0.0	0	0
6	P. Soliai	0	1	0.0	0	0
6	N. Stupar	0	1	0.0	0	0
7	R. Allen	6	0	0.0	0	0
7	J. Durant	6	2	0.0	0	0
7	K. Ishmael	6	0	0.0	0	0
7	R. Alford	5	1	0.0	0	0
7	V. Beasley	2	0	0.0	0	0
7	O. Schofield	2	0	1.0	0	0
7	K. Biermann	1	1	0.0	0	0
7	G. Jarrett	1	0	0.0	0	0
7	D. Trufant	1	0	0.0	0	0
7	P. Worrilow	1	4	0.0	1	0
7	R. Hageman	0	1	0.0	0	0
7	T. Jackson	0	1	0.0	0	0
7	W. Moore	0	1	0.0	0	0
7	B. Reed	0	1	0.0	0	0
7	R. Therezie	0	0	0.0	1	0
8	R. Allen	5	1	1.0	0	0
8	K. Biermann	4	2	0.0	0	0
8	P. Adams	3	0	0.0	0	0
8	R. Alford	3	1	0.0	0	0
8	R. Hageman	3	1	0.0	0	0
8	G. Jarrett	3	0	0.0	0	0
8	J. Durant	2	2	0.0	0	0
8	K. Ishmael	2	1	0.0	0	0
8	T. Jackson	2	1	0.0	0	0
8	P. Soliai	2	1	0.0	0	0
8	R. Therezie	2	1	0.0	0	0
8	P. Worrilow	2	3	0.0	0	0
8	J. Babineaux	1	0	0.0	0	0
8	A. Clayborn	1	0	0.0	0	0
8	B. Reed	1	0	0.0	0	0
8	O. Schofield	1	0	1.0	0	0
8	D. Trufant	1	1	0.0	0	0
8	V. Beasley	0	1	0.0	0	0
9	P. Wheeler	8	2	0.0	0	0
9	P. Worrilow	5	0	0.0	0	0
9	J. Collins	4	0	0.0	0	0
9	J. Babineaux	3	0	0.0	0	0
9	K. Biermann	3	1	0.0	0	0
9	K. Ishmael	3	3	0.0	0	0
9	B. Reed	3	2	0.0	0	0
9	D. Trufant	3	1	0.0	0	0
9	R. Hageman	2	1	0.0	0	0
9	P. Soliai	2	1	0.0	0	0
9	N. Stupar	2	0	0.0	0	0
9	P. Adams	1	0	0.0	1	0
9	R. Allen	1	0	0.0	0	0
9	V. Beasley	1	0	0.0	1	0
