week	name	rec	yds	td	lg
1	J. Jones	9	141	2	44
1	R. White	4	84	0	25
1	D. Freeman	3	29	0	12
1	J. Tamme	3	19	0	8
1	L. Hankerson	2	16	0	13
1	N. Williams	1	5	0	5
1	L. Toilolo	1	4	0	4
2	J. Jones 	13 	135 0 	37
2	L. Hankerson 	6 	77 	1 	20
2	J. Tamme 	4 	77 	0 	41
2	D. Freeman 	4 	34 	0 	11
2	P. DiMarco 	1 	19 	0 	19
2	N. Williams 1 	12 	0 	12
2	T. Ward 	1 	9 	0 	9
3	J. Jones	12	164	2	45
3	D. Freeman	5	52	0	35
3	L. Hankerson	3	45	0	21
3	J. Tamme	1	8	0	8
3	L. Toilolo	1	6	0	6
3	N. Williams	1	6	0	6
3	P. DiMarco	1	4	0	4
4	L. Hankerson	6	103	1	55
4	D. Freeman	5	81	0	44
4	J. Jones	4	38	0	19
4	T. Ward	1	18	0	18
4	R. White	2	8	0	4
4	N. Williams	1	8	0	8
5	J. Tamme	8	94	0	25
5	J. Jones	5	67	0	20
5	D. Freeman	7	44	0	9
5	R. White	2	23	0	16
5	L. Hankerson	1	13	0	13
5	N. Williams	1	13	0	13
6	J. Jones	6	93	0	30
6	D. Freeman	8	56	1	13
6	L. Hankerson	4	37	0	12
6	J. Tamme	3	32	0	20
6	R. White	3	23	1	8
6	P. DiMarco	2	18	0	12
6	L. Toilolo	2	18	0	11
6	N. Williams	1	11	0	11
6	T. Ward	1	7	0	7
7	J. Jones	9	92	1	21
7	R. White	3	48	0	17
7	N. Williams	3	43	0	21
7	J. Tamme	3	36	0	24
7	D. Freeman	2	14	0	8
7	T. Moeaki	1	11	0	11
7	T. Ward	1	7	0	7
8	J. Jones	12	162	1	35
8	J. Tamme	10	103	1	19
8	D. Freeman	6	43	0	13
8	R. White	2	24	0	19
8	J. Hardy	2	21	0	12
8	E. Weems	1	11	0	11
8	T. Coleman	1	10	0	10
8	P. DiMarco	1	8	0	8
8	T. Ward	1	8	0	8
8	L. Toilolo	1	7	0	7
9	J. Jones	10	137	0	54
9	D. Freeman	8	67	1	17
9	J. Tamme	6	61	0	26
9	R. White	1	20	0	20
9	J. Hardy	4	17	0	8
9	L. Toilolo	1	1	0	1
11	J. Jones	9	160	0	36
11	L. Hankerson	4	36	1	18
11	R. White	4	24	0	12
11	P. DiMarco	3	21	2	15
11	J. Tamme	1	16	0	16
11	T. Ward	3	16	0	11
11	J. Hardy	1	7	0	7
12	J. Tamme	5	69	0	22
12	R. White	6	60	0	20
12	J. Jones	5	56	0	19
12	J. Hardy	2	21	0	11
12	N. Williams	3	16	1	11
12	T. Ward	1	8	0	8
13	J. Jones	8	93	0	25
13	D. Freeman	10	56	0	13
13	J. Hardy	2	34	0	23
13	R. White	3	33	0	21
13	J. Tamme	3	26	0	10
13	P. DiMarco	2	18	0	9
13	N. Williams	1	5	1	5
13	T. Coleman	1	4	0	4
14	J. Jones	7	88	0	46
14	N. Williams	4	40	0	29
14	R. White	4	35	0	14
14	J. Tamme	4	26	0	8
14	D. Freeman	3	22	0	12
14	P. DiMarco	2	15	0	10
14	J. Hardy	1	9	0	9
15	J. Jones	9	118	1	23
15	R. White	3	47	0	17
15	D. Freeman	7	45	0	13
15	J. Hardy	3	36	0	20
16	J. Jones	9	178	1	70
16	R. White	5	67	0	17
16	J. Tamme	4	29	0	12
16	D. Freeman	3	17	0	12
16	J. Hardy	2	15	0	8
17	J. Jones	9	149	0	29
17	J. Tamme	4	61	0	32
17	T. Moeaki	2	47	1	42
17	J. Hardy	4	34	0	16
17	D. Freeman	2	18	1	14
17	R. White	1	10	0	10
17	L. Toilolo	1	8	0	8
17	P. DiMarco	1	7	0	7
