week	name	att	yds	td	lg
1	T. Coleman	20	80	0	20
1	D. Freeman	10	18	0	9
1	M. Ryan	5	7	0	6
2	T. Coleman	9	32	1	11
2	D. Freeman	12	25	1	7
2	M. Ryan	1	-1	0	-1
3	D. Freeman	30	141	3	17
3	M. Ryan	2	17	0	18
4	T. Ward	19	72	1	13
4	D. Freeman	14	68	3	23
4	M. Ryan	1	-1	0	-1
4	S. Renfree	1	-4	0	-4
5	D. Freeman	27	153	1	18
5	M. Ryan	3	20	0	10
5	T. Coleman	2	3	0	2
6	D. Freeman	13	100	1	25
6	T. Coleman	4	40	0	18
6	M. Ryan	4	10	0	5
7	D. Freeman	25	116	0	19
7	T. Coleman	3	14	0	10
7	P. DiMarco	1	0	0	0
7	M. Ryan	2	-3	0	-1
8	D. Freeman	21	88	0	20
8	T. Coleman	3	11	0	7
8	M. Ryan	3	2	0	2
9	D. Freeman	12	12	0	7
9	T. Coleman	1	3	0	3
9	M. Ryan	1	2	0	2
11	T. Coleman	17	48	0	10
11	D. Freeman	3	43	0	39
11	M. Ryan	2	7	0	6
11	T. Ward	2	2	0	1
12	T. Coleman	18	110	0	46
12	T. Ward	5	7	0	6
12	M. Ryan	1	-1	0	-1
13	D. Freeman	14	47	0	14
13	T. Coleman	3	13	0	10
13	M. Ryan	1	4	0	4
14	D. Freeman	12	40	0	22
14	T. Coleman	3	15	0	11
14	M. Ryan	1	-1	0	-1
15	D. Freeman	25	56	1	21
15	T. Coleman	4	23	0	9
15	E. Weems	1	4	0	4
15	M. Ryan	3	0	0	2
16	D. Freeman	22	73	1	14
16	T. Ward	2	3	0	6
16	M. Ryan	6	1	0	7
17	D. Freeman	25	76	0	10
17	T. Ward	1	11	0	11
