week	name	att	yds	td	lg
1	R. Jennings	13	52	1	27
1	S. Vereen	3	14	0	7
1	A. Williams	6	14	0	5
1	D. Harris	1	11	0	11
1	E. Manning	1	8	0	8
2	A. Williams 6 	43 	0 	35
2	E. Manning 	2 	23 	0 	18
2	S. Vereen 	6 	19 	0 	12
2	R. Jennings 9 	12 	0 	6
3	R. Jennings	11	32	0	9
3	A. Williams	14	29	1	11
3	S. Vereen	6	23	0	5
4	R. Jennings	9	38	0	14
4	A. Williams	11	35	0	9
4	S. Vereen	5	21	0	7
4	E. Manning	3	-2	0	0
5	R. Jennings	11	46	0	7
5	S. Vereen	5	24	0	10
5	E. Manning	1	11	0	11
5	O. Beckham Jr.	1	3	0	3
5	A. Williams	3	0	0	2
6	R. Jennings	13	63	0	14
6	E. Manning	1	12	0	12
6	A. Williams	5	6	0	3
6	S. Vereen	4	0	0	4
7	S. Vereen	4	56	0	39
7	O. Darkwa	8	48	1	15
7	R. Jennings	5	19	0	8
7	A. Williams	4	13	0	5
7	E. Manning	4	-4	0	-1
8	R. Jennings	10	54	0	17
8	O. Darkwa	4	23	0	17
8	A. Williams	5	7	0	4
8	S. Vereen	2	3	0	7
9	R. Jennings	13	48	0	9
9	A. Williams	7	30	0	11
9	O. Darkwa	6	23	0	9
9	S. Vereen	6	14	0	8
9	J. Brown	0	0	0	0
9	E. Manning	1	-1	0	-1
10	R. Jennings	11	39	0	6
10	O. Darkwa	5	15	0	4
10	S. Vereen	4	14	0	9
10	E. Manning	1	10	0	10
10	A. Williams	2	2	0	3
12	S. Vereen	2	15	0	8
12	R. Jennings	6	14	0	5
12	O. Darkwa	2	2	0	1
12	D. Harris	1	1	0	1
12	A. Williams	2	1	0	2
13	O. Darkwa	8	23	0	6
13	A. Williams	6	22	0	13
13	R. Jennings	5	14	0	5
13	S. Vereen	4	13	0	11
13	E. Manning	1	2	0	2
14	R. Jennings	22	81	0	21
14	O. Darkwa	2	10	0	10
14	A. Williams	3	3	0	5
14	S. Vereen	1	0	0	0
14	E. Manning	3	-2	0	0
15	R. Jennings	16	107	1	38
15	S. Vereen	4	29	0	19
15	A. Williams	6	21	0	10
15	E. Manning	1	4	0	4
16	R. Jennings	14	74	0	16
16	O. Darkwa	1	9	0	9
16	A. Williams	3	5	0	3
16	S. Vereen	1	3	0	3
16	E. Manning	1	0	0	0
17	R. Jennings	27	170	1	35
17	A. Williams	5	26	0	9
17	S. Vereen	4	12	0	4
