week	name	t	a	sck	int	ff
1	P. Posluszny	8	1	0.0	1	0
1	T. Smith	7	2	0.0	0	0
1	D. Skuta	6	0	1.0	0	0
1	S. Brown	4	0	0.0	0	0
1	C. Smith	4	0	0.0	0	0
1	J. Cyprien	3	1	0.0	0	0
1	J. Odrick	3	0	0.0	0	0
1	T. Alualu	2	0	0.0	0	0
1	C. Clemons	2	0	1.0	0	0
1	D. Gratz	2	0	0.0	0	0
1	D. House	2	0	0.0	0	0
1	R. Miller	2	0	0.0	0	0
1	A. Colvin	1	1	0.0	0	0
1	R. Davis	1	0	0.0	0	0
1	D. McCray	1	0	0.0	0	0
1	M. Bennett	0	1	0.0	0	0
2	P. Posluszny 	7	0 	0.0 	0 	0
2	T. Smith 	6	3 	0.0 	0 	0
2	A. Colvin 	5	1 	0.0 	0 	0
2	J. Sample 	5	0 	0.0 	0 	0
2	S. Brown 	4	1 	0.5 	0 	0
2	D. McCray 	2	2 	0.0 	0 	0
2	J. Odrick 	2	0 	1.0 	0 	1
2	D. Skuta 	2	0 	0.0 	0 	0
2	P. Thompson 	2	0 	0.0 	0 	0
2	T. Alualu 	1	0 	0.0 	0 	0
2	C. Clemons 	1	0 	0.0 	0 	0
2	J. Evans 	1	1 	0.0 	0 	0
2	D. House 	1	0 	0.0 	0 	0
2	C. Smith 	1	1 	0.0 	0 	0
2	R. Miller 	0	1 	0.5 	0 	0
3	P. Posluszny	14	4	0.0	0	0
3	T. Smith	7	4	0.0	0	0
3	J. Evans	5	1	0.0	0	0
3	D. House	4	0	0.0	0	0
3	S. Brown	3	0	0.0	0	0
3	D. McCray	3	0	0.0	0	0
3	A. Colvin	2	0	0.0	0	0
3	J. Odrick	2	0	0.0	0	0
3	J. Sample	2	2	0.0	0	0
3	D. Skuta	2	0	0.0	0	0
3	P. Thompson	2	0	0.0	0	0
3	R. Davis	1	0	1.0	0	0
3	R. Miller	1	2	0.5	0	0
3	T. Alualu	0	1	0.0	0	0
3	A. Jones	0	1	0.0	0	0
3	C. Smith	0	1	0.5	0	0
4	J. Cyprien	11	3	0.0	0	0
4	A. Colvin	5	1	1.0	0	0
4	T. Smith	5	4	0.5	0	0
4	P. Posluszny	4	1	0.0	0	0
4	D. House	3	0	0.0	0	0
4	D. McCray	3	1	0.0	0	0
4	D. Skuta	3	1	0.0	0	1
4	J. Evans	2	3	0.0	0	1
4	T. Alualu	1	1	0.0	0	0
