week	name	rec	yds	td	lg
1	A. Hurns	5	60	0	24
1	R. Greene	7	28	1	6
1	A. Robinson	1	27	0	27
1	D. Robinson	2	26	0	15
1	B. Walters	2	17	0	13
1	T. Yeldon	3	16	0	7
1	C. Grant	1	5	0	5
1	B. Pierce	1	4	0	4
2	A. Robinson 6 	155 	2 	52
2	A. Hurns 	4 	68 	0 	24
2	M. Lee 	2 	27 	0 	18
2	T. Yeldon 	3 	13 	0 	11
2	R. Greene 	2 	7 	0 	7
2	T. Alualu 	1 	3 	0 	3
3	A. Hurns	2	70	1	59
3	A. Robinson	4	68	0	37
3	C. Harbor	3	43	1	26
3	B. Walters	2	28	0	23
3	M. Lee	1	13	0	13
3	T. Yeldon	2	9	0	9
3	C. Grant	1	8	0	8
3	B. Pierce	2	3	0	6
4	A. Hurns	11	116	1	26
4	A. Robinson	4	80	0	48
4	M. Lewis	5	40	0	13
4	C. Harbor	4	31	0	21
4	B. Walters	2	27	0	14
4	T. Yeldon	2	4	0	5
5	A. Hurns	5	116	1	59
5	A. Robinson	7	72	2	21
5	B. Walters	4	64	0	24
5	T. Yeldon	5	31	1	13
5	J. Thomas	2	20	0	15
6	B. Walters	8	87	0	29
6	A. Robinson	6	86	1	25
6	J. Thomas	7	78	1	29
6	A. Hurns	2	30	1	19
6	T. Gerhart	3	23	0	8
6	D. Robinson	3	19	0	8
6	M. Lewis	1	8	0	8
7	A. Robinson	6	98	1	23
7	A. Hurns	2	53	1	31
7	M. Lewis	2	13	0	9
7	T. Yeldon	1	9	0	9
7	B. Walters	1	5	0	5
7	J. Thomas	1	4	0	4
9	A. Hurns	5	122	1	30
9	A. Robinson	6	121	0	44
9	B. Walters	5	54	1	20
9	T. Yeldon	3	37	0	21
9	M. Lewis	1	27	0	27
9	J. Thomas	3	14	0	7
9	N. Jacobs	1	6	0	6
10	A. Hurns	5	62	1	21
10	A. Robinson	5	51	1	16
10	B. Walters	3	29	0	17
10	J. Thomas	2	23	0	12
10	M. Lewis	1	9	0	9
10	M. Lee	1	8	0	8
10	T. Yeldon	5	6	0	7
11	A. Robinson	5	113	0	38
11	B. Walters	2	35	0	31
11	J. Thomas	5	28	1	12
11	T. Yeldon	3	28	0	13
11	A. Hurns	3	19	0	7
11	C. Harbor	2	17	0	10
11	R. Greene	1	2	0	2
12	J. Thomas	9	116	1	34
12	A. Robinson	5	56	1	25
12	T. Yeldon	4	46	0	20
12	A. Hurns	4	42	0	29
12	M. Lewis	1	24	0	24
12	R. Greene	3	17	0	8
12	C. Harbor	1	12	0	12
12	D. Robinson	1	9	0	9
12	B. Walters	1	4	0	4
12	M. Lee	1	3	0	3
13	A. Robinson	10	153	3	44
13	T. Yeldon	4	79	0	67
13	B. Walters	2	18	0	12
13	M. Lee	1	17	0	17
13	T. Alualu	1	16	0	16
13	R. Greene	2	15	1	13
13	J. Thomas	2	15	1	9T
13	M. Lewis	1	7	0	7
13	D. Robinson	1	2	0	2
14	A. Hurns	3	105	1	80
14	J. Thomas	5	54	1	30
14	C. Harbor	2	21	0	17
14	M. Lee	1	21	0	21
14	R. Greene	1	18	0	18
14	M. Lewis	1	14	0	14
14	D. Robinson	1	12	0	12
14	A. Robinson	1	4	1	4
14	T. Yeldon	1	1	0	1
15	J. Thomas	6	79	0	22
15	A. Robinson	3	57	1	25
15	M. Lee	2	46	0	30
15	D. Robinson	8	46	0	13
15	A. Hurns	2	44	0	22
15	M. Lewis	1	26	0	26
15	R. Greene	1	-1	0	-1
16	A. Robinson	6	151	1	90
16	A. Hurns	8	107	2	24
16	D. Robinson	5	50	0	16
16	M. Lee	3	26	1	18
16	M. Lewis	1	13	0	13
16	J. Thomas	2	12	0	8
16	C. Harbor	1	7	0	7
16	R. Greene	1	2	0	2
17	A. Robinson	5	108	0	36
17	M. Lewis	1	45	0	45
17	M. Lee	3	30	0	14
17	C. Harbor	1	18	0	18
17	A. Hurns	3	17	0	6
17	J. Thomas	2	12	0	6
17	R. Greene	1	5	0	5
17	J. Gray	1	4	0	4
