week	name	att	yds	td	lg
1	T. Yeldon	12	51	0	14
1	B. Bortles	4	26	0	12
1	D. Robinson	5	19	0	6
2	T. Yeldon	25	70	0	12
2	B. Bortles	2	27	0	28
2	M. Lee	1	12	0	12
2	D. Robinson	1	9	0	9
2	B. Pierce	3	4	0	3
2	C. Grant	1	1	0	1
3	T. Yeldon	11	33	0	8
3	T. Gerhart	3	10	0	5
3	B. Bortles	3	7	0	3
3	C. Grant	2	6	0	4
3	B. Pierce	1	1	0	1
4	T. Yeldon	22	105	0	36
4	B. Bortles	4	31	0	14
4	T. Washington	1	8	0	8
4	T. Gerhart	1	-2	0	-2
5	T. Yeldon	11	32	0	10
5	B. Bortles	1	21	0	21
5	B. Pierce	2	6	0	4
5	T. Gerhart	1	2	0	2
5	C. Grant	2	-6	0	11
6	B. Bortles	4	37	0	12
6	T. Gerhart	9	26	0	6
6	D. Robinson	7	19	0	4
6	C. Grant	1	1	0	1
7	T. Yeldon	20	115	1	28
7	T. Gerhart	6	8	0	4
7	T. Alualu	1	0	0	0
7	B. Bortles	5	-3	0	1
9	T. Yeldon	14	64	0	45
9	B. Bortles	4	32	0	11
9	D. Robinson	1	2	0	2
10	T. Yeldon	18	61	0	16
10	B. Bortles	2	25	0	14
10	M. Lee	1	3	0	3
10	D. Robinson	1	1	0	1
11	T. Yeldon	14	54	0	15
11	D. Robinson	7	27	0	10
11	B. Bortles	2	9	0	13
12	T. Yeldon	9	36	0	21
12	B. Bortles	6	33	0	10
12	D. Robinson	3	23	0	19
12	M. Lee	1	10	0	10
13	T. Yeldon	15	57	1	9
13	D. Robinson	3	21	0	13
13	M. Lee	1	4	0	4
13	B. Bortles	2	-1	0	0
14	D. Robinson	14	75	1	31
14	T. Yeldon	11	62	0	14
14	B. Bortles	4	17	1	15
15	B. Bortles	6	44	1	13
15	D. Robinson	14	41	0	9
16	J. Gray	5	31	0	23
16	D. Robinson	6	20	0	7
16	M. Lee	1	9	0	9
16	B. Bortles	3	5	0	5
17	J. Gray	9	23	0	8
17	D. Robinson	5	9	0	3
