week	name	t	a	sck	int	ff
1	C. Pryor	8	2	0.0	0	1
1	M. Gilchrist	6	0	0.0	0	0
1	D. Harris	6	2	1.0	0	0
1	D. Harrison	4	1	0.0	0	0
1	M. Wilkerson	3	2	1.0	0	0
1	M. Williams	3	0	0.0	1	0
1	D. Davis	2	2	0.0	0	0
1	D. Revis	2	2	0.0	0	0
1	T. Barnes	1	1	0.0	0	0
1	T. Reilly	1	0	1.0	0	1
1	B. Skrine	1	0	0.0	0	0
1	L. Williams	1	4	0.0	0	0
1	Q. Coples	0	1	0.0	0	0
1	L. Mauldin	0	0	0.0	0	1
1	C. Pace	0	1	0.0	0	0
2	B. Skrine	7	1	0.0	0	0
2	D. Harris	6	1	0.0	0	1
2	D. Davis	4	2	0.0	0	0
2	C. Pryor	3	2	0.0	1	0
2	D. Revis	3	1	0.0	1	0
2	A. Cromartie	2	0	0.0	0	0
2	L. Douzable	2	1	0.0	0	0
2	M. Gilchrist	2	2	0.0	1	0
2	S. Bowen	1	0	0.0	0	0
2	C. Pace	1	0	0.0	0	0
2	T. Reilly	1	0	0.0	0	0
2	M. Wilkerson	1	1	0.0	0	0
2	L. Williams	1	3	0.0	0	0
2	Q. Coples	0	1	0.0	0	0
3	D. Davis	6	7	0.0	0	0
3	D. Harris	5	4	0.0	0	1
3	M. Wilkerson	4	7	0.5	0	0
3	M. Gilchrist	3	2	0.0	0	0
3	B. Skrine	3	1	0.0	0	0
3	Q. Coples	2	2	0.0	0	0
3	C. Pryor	2	3	0.0	0	0
3	L. Mauldin	1	0	0.0	0	0
3	D. Revis	1	0	0.0	0	0
3	L. Williams	1	5	0.5	0	0
3	M. Williams	1	0	0.0	0	0
3	D. Harrison	0	5	0.0	0	0
4	A. Cromartie	4	0	0.0	0	0
4	M. Gilchrist	4	1	0.0	0	0
4	B. Skrine	4	0	0.0	0	0
4	D. Bailey	3	1	0.0	0	0
4	D. Harris	3	0	1.0	0	0
4	C. Pryor	3	0	0.0	0	0
4	M. Wilkerson	3	0	2.0	0	1
4	L. Douzable	2	0	0.0	0	0
4	L. Williams	2	1	0.0	0	0
4	D. Davis	1	0	0.0	0	0
4	D. Harrison	1	1	0.0	0	0
4	D. Revis	0	0	0.0	1	0
4	M. Williams	0	0	0.0	1	0
6	D. Davis	5	2	0.0	0	0
6	D. Harris	5	6	0.0	0	0
6	C. Pryor	5	2	0.0	0	0
6	M. Gilchrist	2	1	0.0	1	0
6	D. Harrison	2	3	0.0	0	0
6	D. Revis	2	1	0.0	1	0
6	Q. Coples	1	0	0.0	0	0
6	A. Cromartie	1	2	0.0	0	0
6	L. Douzable	1	0	0.0	0	0
6	D. McDougle	1	1	0.0	0	0
6	C. Pace	1	0	0.0	0	0
6	B. Skrine	1	1	0.0	0	0
6	M. Wilkerson	1	2	0.5	0	0
6	T. Barnes	0	1	0.0	0	0
6	T. Reilly	0	1	0.0	0	0
6	S. Richardson	0	3	0.5	0	0
