week	name	cmp	att	yds	td	int
1	R. Fitzpatrick	15	24	179	2	1
2	R. Fitzpatrick 	22	34 	244 2 	1
3	R. Fitzpatrick	35	58	283	2	3
4	R. Fitzpatrick	16	29	218	1	1
6	R. Fitzpatrick	19	26	253	2	1
7	R. Fitzpatrick	22	39	295	2	0
8	G. Smith	27	42	265	2	1
8	R. Fitzpatrick	4	5	46	0	0
9	R. Fitzpatrick	21	34	272	2	0
10	R. Fitzpatrick	15	34	193	2	2
11	R. Fitzpatrick	19	39	216	1	2
12	R. Fitzpatrick	22	37	277	4	0
13	R. Fitzpatrick	36	50	390	2	0
14	R. Fitzpatrick	21	36	263	3	0
15	R. Fitzpatrick	26	39	299	1	1
16	R. Fitzpatrick	26	41	296	3	0
17	R. Fitzpatrick	16	37	181	2	3
