week	name	rec	yds	td	lg
1	B. Marshall	6	62	1	18
1	C. Owusu	4	55	0	43
1	E. Decker	2	37	1	22
1	B. Powell	2	16	0	11
1	C. Ivory	1	9	0	9
2	B. Marshall	7	101	1	42
2	E. Decker	8	97	1	20
2	Q. Enunwa	1	27	0	27
2	B. Powell	4	16	0	9
2	C. Ivory	2	3	0	2
3	B. Marshall	10	109	1	20
3	Q. Enunwa	5	50	0	26
3	B. Powell	7	44	0	13
3	D. Smith	3	39	0	16
3	J. Kerley	6	33	1	9
3	J. Cumberland	2	10	0	5
3	Z. Stacy	2	-2	0	3
4	B. Marshall	7	128	0	58
4	E. Decker	4	46	1	26
4	Z. Stacy	2	18	0	12
4	D. Smith	2	14	0	7
4	B. Powell	1	12	0	12
6	B. Marshall	7	111	1	35
6	E. Decker	4	59	1	35
6	C. Ivory	3	50	0	24
6	Q. Enunwa	2	17	0	10
6	Z. Stacy	2	15	0	12
6	B. Powell	1	1	0	1
7	E. Decker	6	94	0	24
7	B. Marshall	4	67	0	29
7	T. Bohanon	2	36	0	23
7	J. Kerley	3	27	1	12
7	C. Owusu	2	25	0	21
7	J. Cumberland	1	16	0	16
7	C. Ivory	2	12	1	9
7	Z. Stacy	1	11	0	11
7	D. Smith	1	7	0	7
8	B. Marshall	9	108	0	28
8	J. Kerley	4	63	0	25
8	E. Decker	6	60	1	21
8	K. Thompkins	6	41	0	12
8	C. Ivory	3	24	0	9
8	J. Cumberland	1	7	0	7
8	Z. Stacy	1	7	0	7
8	K. Davis	1	1	1	1
9	E. Decker	6	79	1	25
9	K. Thompkins	4	45	0	38
9	J. Cumberland	1	44	0	44
9	B. Marshall	4	44	1	20
9	C. Ivory	3	22	0	16
9	J. Kerley	2	22	0	11
9	Z. Stacy	1	16	0	16
10	E. Decker	6	85	1	31
10	C. Ivory	2	36	0	36
10	B. Marshall	3	23	1	14
10	D. Smith	1	22	0	22
10	T. Bohanon	1	18	0	18
10	J. Kerley	1	7	0	7
10	K. Thompkins	1	2	0	2
11	E. Decker	4	81	0	25
11	B. Powell	5	67	0	25
11	B. Marshall	5	47	1	21
11	Q. Enunwa	2	22	0	16
11	C. Ivory	1	9	0	9
11	W. Johnson	1	-5	0	-5
11	S. Ridley	1	-5	0	-5
12	B. Marshall	9	131	2	47
12	E. Decker	5	62	1	24
12	D. Smith	2	33	1	17
12	Q. Enunwa	2	29	0	18
12	C. Ivory	2	15	0	9
12	B. Powell	2	7	0	6
13	B. Marshall	12	131	1	25
13	E. Decker	8	101	0	17
13	B. Powell	8	91	1	25
13	Q. Enunwa	2	37	0	28
13	C. Ivory	5	22	0	11
13	K. Davis	1	8	0	8
14	B. Marshall	6	125	1	69
14	E. Decker	7	74	1	20
14	B. Powell	5	46	1	16
14	Q. Enunwa	1	10	0	10
14	C. Ivory	1	6	0	6
14	T. Bohanon	1	2	0	2
15	B. Marshall	4	74	0	25
15	E. Decker	6	55	1	13
15	B. Powell	7	54	0	19
15	K. Thompkins	2	50	0	43
15	Q. Enunwa	4	49	0	24
15	K. Davis	1	9	0	9
15	C. Ivory	1	5	0	5
15	S. Ridley	1	3	0	3
16	B. Marshall	8	115	2	33
16	Q. Enunwa	2	69	0	48
16	E. Decker	3	47	1	25
16	B. Powell	5	34	0	15
16	K. Thompkins	4	27	0	12
16	C. Ivory	4	4	0	6
17	B. Marshall	8	126	1	41
17	E. Decker	5	50	1	21
17	Q. Enunwa	1	5	0	5
17	S. Ridley	2	0	0	2
