week	name	att	yds	td	lg
1	C. Ivory	20	91	2	19
1	B. Powell	12	62	0	21
1	T. Bohanon	2	2	0	2
1	R. Fitzpatrick	2	-1	0	0
2	C. Ivory	14	57	0	19
2	B. Powell	12	38	0	23
2	R. Fitzpatrick	1	6	0	6
3	B. Powell	10	31	0	10
3	R. Fitzpatrick	4	13	0	5
3	Z. Stacy	2	3	0	2
4	C. Ivory	29	166	1	24
4	R. Fitzpatrick	9	34	0	19
4	Z. Stacy	5	7	1	11
6	C. Ivory	20	146	1	54
6	Z. Stacy	13	46	0	18
6	R. Fitzpatrick	4	31	1	18
6	B. Powell	4	-2	0	2
7	C. Ivory	17	41	0	7
7	R. Fitzpatrick	5	29	0	11
7	Z. Stacy	7	19	0	6
8	G. Smith	2	34	0	29
8	C. Ivory	15	17	0	7
8	R. Fitzpatrick	1	12	0	12
8	Z. Stacy	3	11	0	6
9	C. Ivory	23	26	2	9
9	Z. Stacy	1	3	0	3
9	R. Fitzpatrick	4	0	0	1
10	C. Ivory	18	99	0	21
10	R. Fitzpatrick	3	30	0	16
10	S. Ridley	3	-1	0	3
11	C. Ivory	8	36	0	23
11	B. Powell	4	22	0	9
11	R. Fitzpatrick	5	12	1	6
11	S. Ridley	4	0	0	7
12	C. Ivory	21	87	1	31
12	B. Powell	6	28	0	17
12	R. Fitzpatrick	5	21	0	10
12	S. Ridley	2	1	0	2
13	C. Ivory	10	47	0	20
13	R. Fitzpatrick	5	22	0	15
13	B. Powell	6	17	0	7
13	S. Ridley	3	4	0	3
14	C. Ivory	22	101	0	32
14	B. Powell	3	36	0	24
14	R. Fitzpatrick	3	23	0	19
14	S. Ridley	6	23	0	11
15	C. Ivory	13	37	0	8
15	B. Powell	6	25	1	12
15	R. Fitzpatrick	5	13	0	8
15	S. Ridley	2	-2	0	0
16	B. Powell	7	56	0	16
16	C. Ivory	11	38	0	17
16	S. Ridley	7	36	0	13
16	R. Fitzpatrick	2	13	0	7
17	C. Ivory	6	81	0	58
17	S. Ridley	9	29	0	13
17	R. Fitzpatrick	2	12	0	9
