week	name	t	a	sck	int	ff	
1	R. Mathis	8	1	0.0	0	0	
1	G. Quin	7	1	0.0	1	0	
1	J. Bynes	6	2	0.0	0	0	
1	S. Tulloch	6	0	0.0	0	0	
1	J. Wilson	6	1	0.0	0	0	
1	P. Hunt	4	1	1.0	0	0	
1	J. Ihedigbo	3	1	0.0	0	0	
1	J. Jones	3	1	0.0	0	1	
1	D. Slay	3	2	0.0	1	0	
1	D. Tapp	3	0	0.0	0	0	
1	E. Ansah	2	0	1.0	0	0	
1	Q. Diggs	2	0	0.0	0	0	
1	H. Ngata	2	0	0.0	0	0	
1	D. Taylor	2	2	0.0	0	0	
1	T. Walker	2	1	0.0	0	0	
1	T. Whitehead	1	0	0.0	0	0	
1	G. Wright	1	0	0.0	0	0	
1	J. Cudjo	0	1	0.0	0	0	
2	J. Ihedigbo	9	2	0.0	0	2	
2	E. Ansah	6	1	1.0	0	0	
2	R. Mathis	5	0	0.0	0	0	
2	G. Quin	5	0	0.0	0	0	
2	J. Bynes	4	1	0.0	0	0	
2	D. Slay	4	1	0.0	0	0	
2	J. Jones	3	0	0.0	0	0	
2	T. Lewis	3	0	0.0	0	0	
2	P. Hunt	2	0	0.0	0	0	
2	T. Whitehead	2	1	0.0	0	0	
2	J. Wilson	2	1	0.0	0	0	
2	G. Wright	2	0	0.0	0	0	
2	H. Ngata	1	1	0.0	0	0	
2	T. Walker	1	1	0.0	0	0	
2	I. Abdul-Quddus	0	1	0.0	0	0
2	D. Tapp	0	1	0.0	0	0	
2	S. Tulloch	0	6	0.0	0	0	
3	S. Tulloch	7	4	0.0	0	0	
3	R. Mathis	5	1	0.0	0	1	
3	J. Ihedigbo	4	3	0.0	0	0	
3	D. Slay	4	1	0.0	0	0	
3	J. Bynes	3	4	0.0	0	0	
3	J. Wilson	3	1	0.0	0	0	
3	E. Ansah	2	1	0.0	0	0	
3	D. Taylor	2	0	1.0	0	0	
3	T. Lewis	1	0	0.0	0	0	
3	G. Quin	1	1	0.0	1	0	
3	D. Tapp	1	0	0.0	0	0	
3	T. Walker	1	0	0.0	0	0	
3	I. Abdul-Quddus	0	2	0.0	0	0
3	Q. Diggs	0	1	0.0	0	0	
3	C. Reid	0	1	0.0	0	0	
3	K. Van Noy	0	1	0.0	0	0	
3	T. Whitehead	0	2	0.0	0	0	
3	G. Wright	0	1	0.0	0	0	
4	J. Ihedigbo	7	1	1.0	0	1	
4	T. Lewis	4	0	1.0	0	0	
4	G. Quin	4	2	0.0	0	0	
4	J. Wilson	4	0	0.0	0	0	
4	J. Jones	3	1	0.5	0	0	
4	R. Mathis	3	0	0.0	0	0	
4	S. Tulloch	3	4	0.0	0	0	
4	E. Ansah	2	1	2.0	0	1	
4	J. Bynes	2	3	0.0	0	0	
4	D. Tapp	2	2	1.0	0	1	
4	D. Taylor	2	1	0.5	0	0	
4	Q. Diggs	1	0	0.0	0	0	
4	H. Ngata	1	1	0.0	0	0	
4	C. Reid	1	0	0.0	0	0	
4	D. Slay	1	3	0.0	0	0	
4	T. Walker	1	2	0.0	0	0	
4	I. Abdul-Quddus	0	1	0.0	0	0
5	J. Ihedigbo	5	1	0.0	0	0	
5	G. Quin	5	1	0.0	0	0	
5	S. Tulloch	3	2	0.0	0	0	
5	J. Cudjo	2	0	0.0	0	0	
5	D. Slay	2	0	0.0	0	0	
5	J. Wilson	2	0	0.0	0	0	
5	E. Ansah	1	0	1.0	0	0	
5	J. Jones	1	0	1.0	0	0	
5	N. Lawson	1	0	0.0	0	0	
5	D. Tapp	1	0	0.0	0	0	
5	G. Wright	1	0	0.0	0	0	
5	J. Bynes	0	3	0.0	0	0	
5	D. Carey	0	1	0.0	0	0	
5	T. Lewis	0	2	0.0	0	0	
6	S. Tulloch	9	4	0.0	0	0	
6	J. Bynes	8	2	0.0	0	0	
6	D. Slay	6	0	0.0	0	0	
6	I. Abdul-Quddus	4	3	0.0	0	0
6	G. Quin	4	0	0.0	0	0	
6	C. Reid	4	0	0.0	0	0	
6	D. Tapp	3	1	0.0	0	0	
6	J. Wilson	3	1	0.5	0	0	
6	A. Fluellen	2	0	0.0	0	0	
6	D. Taylor	2	0	0.0	0	0	
6	E. Ansah	1	0	0.0	0	1	
6	J. Cudjo	1	0	0.0	0	0	
6	J. Jones	1	0	0.0	0	0	
6	R. Mathis	1	0	0.0	1	0	
6	T. Whitehead	1	0	0.0	0	0	
6	B. Copeland	0	1	0.5	0	0	
6	K. Van Noy	0	1	0.0	0	0	
7	R. Mathis	6	1	0.0	0	0	
7	J. Bynes	5	3	0.0	0	0	
7	C. Reid	5	1	1.0	0	0	
7	E. Ansah	4	0	1.0	0	1	
7	J. Jones	4	0	0.0	0	0	
7	D. Slay	4	0	0.0	0	0	
7	S. Tulloch	4	4	0.0	0	0	
7	I. Abdul-Quddus	3	0	0.0	0	0
7	Q. Diggs	3	1	0.0	0	0	
7	D. Taylor	3	1	0.0	0	0	
7	J. Ihedigbo	2	5	0.0	0	0	
7	H. Ngata	2	0	1.0	0	0	
7	G. Quin	2	1	0.0	0	0	
7	T. Whitehead	2	0	0.0	0	0	
7	A. Fluellen	1	0	0.0	0	0	
7	D. Tapp	1	0	0.0	0	0	
7	K. Van Noy	1	0	1.0	0	0	
7	J. Cudjo	0	1	0.0	0	0	
7	T. Lewis	0	1	0.0	0	0	
8	S. Tulloch	7	0	0.0	0	0	
8	N. Lawson	6	1	0.0	0	0	
8	G. Quin	4	2	0.0	0	0	
8	E. Ansah	3	1	1.0	0	0	
8	J. Bynes	3	1	0.0	0	0	
8	J. Ihedigbo	3	0	0.0	0	0	
8	D. Taylor	3	1	1.0	0	0	
8	J. Wilson	3	0	0.0	0	0	
8	Q. Diggs	2	0	0.0	0	0	
8	J. Jones	2	0	1.0	0	0	
8	T. Lewis	2	0	0.0	0	0	
8	I. Abdul-Quddus	1	0	0.0	0	0
8	A. Fluellen	1	0	0.0	0	0	
8	H. Ngata	1	1	0.0	0	0	
8	C. Reid	1	0	0.0	0	0	
8	D. Slay	1	1	0.0	0	0	
8	T. Whitehead	1	0	0.0	0	0	
10	I. Abdul-Quddus	8	0	0.0	0	0
10	T. Whitehead	7	1	1.0	0	0	
10	N. Lawson	6	0	0.0	0	0	
10	G. Quin	6	1	0.0	0	1	
10	S. Tulloch	4	0	0.0	0	0	
10	J. Jones	3	0	1.0	0	0	
10	J. Wilson	3	1	0.0	0	0	
10	E. Ansah	2	0	0.0	0	0	
10	C. Butler	2	0	0.0	0	0	
10	J. Bynes	2	0	0.0	0	0	
10	Q. Diggs	2	0	0.0	0	0	
10	C. Reid	2	2	1.0	0	0	
10	H. Ngata	1	3	0.0	0	0	
10	D. Tapp	1	0	0.0	0	0	
10	G. Wright	1	0	0.0	0	0	
11	I. Abdul-Quddus	4	1	0.0	0	0
11	Q. Diggs	4	1	0.0	0	1	
11	N. Lawson	4	0	0.0	0	0	
11	G. Quin	4	0	0.0	0	0	
11	C. Reid	3	0	0.0	0	0	
11	J. Bynes	2	1	0.0	0	0	
11	D. Slay	2	0	0.0	0	0	
11	S. Tulloch	2	1	0.0	0	0	
11	T. Whitehead	2	0	0.0	0	0	
11	C. Wilson	2	0	0.0	0	0	
11	E. Ansah	1	0	1.0	0	0	
11	J. Jones	1	0	0.0	0	0	
11	H. Ngata	1	0	0.0	0	0	
11	K. Thornton	1	0	0.0	0	0	
11	J. Ihedigbo	0	1	0.0	0	0	
12	N. Lawson	4	2	0.0	0	0	
12	T. Whitehead	4	2	0.0	0	0	
12	E. Ansah	3	1	3.5	0	1	
12	B. Copeland	3	0	0.0	0	0	
12	D. Tapp	3	0	1.0	0	0	
12	D. Taylor	3	1	0.5	0	0	
12	S. Tulloch	3	2	1.0	0	0	
12	J. Bynes	2	0	0.0	0	0	
12	J. Ihedigbo	2	0	0.0	0	0	
12	K. Van Noy	2	0	0.0	0	0	
12	I. Abdul-Quddus	1	0	0.0	0	0
12	D. Bentley	1	0	0.0	0	0	
12	C. Butler	1	0	0.0	0	0	
12	D. Carey	1	0	0.0	0	0	
12	Q. Diggs	1	1	0.0	0	0	
12	J. Jones	1	0	0.0	0	0	
12	H. Ngata	1	1	0.0	0	0	
12	C. Reid	1	1	0.0	0	0	
12	D. Slay	1	2	0.0	0	0	
12	C. Wilson	1	1	0.0	0	0	
12	K. Thornton	0	2	0.0	0	0	
13	I. Abdul-Quddus	9	2	0.0	0	1
13	G. Quin	4	2	0.0	1	0	
13	E. Ansah	3	0	1.0	0	0	
13	J. Bynes	3	1	0.0	0	0	
13	Q. Diggs	3	0	0.0	0	0	
13	D. Taylor	3	0	2.0	0	1	
13	S. Tulloch	3	2	0.0	0	0	
13	T. Whitehead	3	0	0.0	0	0	
13	D. Carey	2	1	0.0	0	0	
13	N. Lawson	2	0	0.0	0	0	
13	C. Reid	2	1	0.0	0	0	
13	D. Slay	2	0	0.0	0	0	
13	C. Wilson	2	0	0.0	0	0	
13	J. Jones	1	0	0.0	0	0	
13	H. Ngata	1	0	0.0	0	0	
13	D. Tapp	1	0	0.0	0	1	
13	K. Thornton	1	0	0.0	0	0	
14	J. Bynes	7	1	0.0	0	0	
14	S. Tulloch	7	0	0.0	0	0	
14	N. Lawson	5	0	0.0	0	0	
14	G. Quin	4	0	0.0	0	0	
14	Q. Diggs	3	0	0.0	0	0	
14	J. Ihedigbo	3	0	0.0	0	0	
14	H. Ngata	2	0	0.0	0	0	
14	D. Slay	2	0	0.0	1	0	
14	I. Abdul-Quddus	1	0	0.0	0	0
14	E. Ansah	1	1	1.0	0	0	
14	J. Jones	1	0	0.0	0	0	
14	D. Tapp	1	0	0.0	0	0	
14	D. Taylor	1	0	0.0	0	0	
14	K. Thornton	1	0	0.0	0	0	
14	T. Whitehead	1	0	0.0	0	0	
15	S. Tulloch	7	2	0.0	0	1	
15	D. Slay	6	1	0.0	0	0	
15	N. Lawson	5	1	0.0	0	0	
15	I. Abdul-Quddus	4	3	0.0	0	0
15	Q. Diggs	4	1	0.0	0	0	
15	T. Whitehead	4	3	0.0	0	0	
15	J. Ihedigbo	3	2	0.0	0	0	
15	J. Bynes	2	2	0.0	0	0	
15	E. Ansah	1	1	0.0	0	0	
15	J. Jones	1	2	1.0	0	0	
15	G. Quin	1	0	0.0	0	0	
15	C. Reid	1	0	0.0	0	0	
15	D. Taylor	1	0	0.0	0	0	
15	K. Van Noy	1	0	0.0	0	0	
15	H. Ngata	0	1	0.0	0	0	
15	D. Tapp	0	1	0.0	0	0	
16	D. Slay	6	0	0.0	0	0	
16	G. Quin	5	0	0.0	0	0	
16	I. Abdul-Quddus	4	2	1.0	0	0
16	E. Ansah	4	1	0.0	0	0	
16	T. Whitehead	4	0	0.0	0	0	
16	J. Bynes	3	2	0.5	0	1	
16	B. Copeland	3	1	0.0	0	0	
16	D. Taylor	3	0	1.0	0	0	
16	J. Jones	2	0	0.0	0	0	
16	N. Lawson	2	0	0.0	0	0	
16	S. Tulloch	2	1	0.0	0	0	
16	Q. Diggs	1	2	0.0	0	0	
16	H. Ngata	1	1	0.5	0	0	
16	D. Tapp	1	0	0.0	0	0	
16	C. Wilson	0	1	0.0	0	0	
17	S. Tulloch	7	1	0.0	0	0	
17	J. Ihedigbo	5	0	0.0	1	0	
17	T. Whitehead	4	2	1.0	1	0	
17	E. Ansah	3	0	1.0	0	0	
17	C. Reid	3	0	0.0	0	0	
17	D. Slay	3	0	0.0	0	0	
17	D. Taylor	3	1	1.0	0	0	
17	J. Bynes	2	0	0.0	0	0	
17	J. Cudjo	2	0	0.0	0	0	
17	Q. Diggs	2	0	0.0	0	0	
17	N. Lawson	2	0	0.0	0	0	
17	I. Abdul-Quddus	1	0	0.0	0	0
17	H. Ngata	1	0	1.0	0	0	
17	D. Tapp	1	2	0.0	0	0	
17	K. Van Noy	1	0	0.0	0	0	
17	C. Wilson	1	0	1.0	0	0	
17	G. Quin	0	0	0.0	1	0	
