week	name	rec	yds	td	lg
1	E. Ebron	4	53	1	18
1	A. Abdullah	4	44	0	36
1	C. Johnson	2	39	0	28
1	T. Riddick	2	37	1	21
1	J. Bell	2	27	0	18
1	G. Tate	4	24	0	11
1	L. Moore	1	22	0	22
2	C. Johnson 	10 	83 	1 	18
2	G. Tate 	6 	80 	0 	19
2	E. Ebron 	5 	43 	1 	16
2	T. Riddick 	5 	41 	0 	11
2	J. Bell 	2 	16 	0 	16
2	L. Moore 	3 	14 	0 	7
2	A. Abdullah 1 	9 	0 	9
3	C. Johnson	8	77	0	25
3	T. Riddick	8	66	0	17
3	E. Ebron	4	61	0	29
3	G. Tate	5	57	0	33
3	A. Abdullah	2	19	1	16
3	L. Moore	2	10	0	5
3	J. Bell	1	-2	0	-2
3	M. Stafford	1	-6	0	-6
4	C. Johnson	7	56	0	15
4	T. Riddick	5	31	0	13
4	G. Tate	3	29	0	22
4	T. Wright	1	26	0	26
4	E. Ebron	2	22	0	19
4	L. Moore	2	21	0	17
4	A. Abdullah	2	11	0	12
4	Z. Zenner	1	4	0	4
4	M. Burton	1	3	0	3
5	G. Tate	8	74	0	21
5	C. Johnson	5	67	0	23
5	C. Fuller	2	56	0	48
5	L. Moore	6	55	1	22
5	T. Riddick	10	53	1	20
5	B. Pettigrew	3	29	0	13
5	T. Wright	3	12	0	8
5	T. Jones	1	11	0	11
5	A. Abdullah	1	9	0	9
5	Z. Zenner	1	7	0	7
5	M. Burton	1	6	0	6
6	C. Johnson	6	166	1	57
6	L. Moore	5	106	1	42
6	T. Riddick	3	50	0	34
6	G. Tate	6	40	1	22
6	A. Abdullah	3	21	0	13
6	T. Wright	3	17	1	8
6	C. Fuller	1	5	0	5
7	E. Ebron	5	89	1	55
7	C. Johnson	5	86	1	46
7	T. Riddick	3	40	0	31
7	J. Bell	2	14	0	9
7	G. Tate	2	14	0	11
7	T. Wright	1	13	0	13
8	C. Johnson	5	85	0	30
8	G. Tate	6	59	0	16
8	T. Riddick	6	30	0	10
8	L. Moore	3	29	1	21
8	E. Ebron	3	24	0	14
10	C. Johnson	6	81	0	19
10	G. Tate	4	52	0	43
10	L. Moore	3	29	1	15
10	E. Ebron	4	28	0	13
10	T. Riddick	3	25	0	11
10	J. Bell	2	18	0	10
10	A. Abdullah	1	7	0	7
10	B. Pettigrew	1	2	1	2
11	C. Johnson	5	88	0	36
11	G. Tate	8	73	0	21
11	T. Riddick	5	72	0	21
11	L. Moore	1	21	0	21
11	J. Bell	1	18	0	18
11	B. Pettigrew	1	8	0	8
11	A. Abdullah	1	2	0	2
12	C. Johnson	8	93	3	25
12	T. Riddick	5	62	1	23
12	J. Bell	2	57	0	39
12	G. Tate	7	50	1	19
12	E. Ebron	2	28	0	19
12	B. Pettigrew	1	21	0	21
12	L. Moore	1	14	0	14
12	A. Abdullah	1	12	0	12
13	G. Tate	8	63	0	13
13	C. Johnson	3	44	1	20
13	T. Jones	2	37	0	29
13	T. Riddick	5	27	0	9
13	J. Bell	2	25	0	18
13	C. Fuller	1	15	0	15
13	E. Ebron	2	9	1	6
14	G. Tate	9	60	2	16
14	T. Riddick	7	44	0	16
14	T. Jones	4	33	0	15
14	E. Ebron	3	27	0	11
14	J. Bell	2	25	0	16
14	A. Abdullah	2	21	0	14
14	C. Johnson	1	16	0	16
14	M. Burton	1	12	0	12
14	B. Pettigrew	1	7	0	7
15	E. Ebron	4	79	0	45
15	G. Tate	6	45	2	12
15	J. Bell	2	30	0	23
15	T. Riddick	2	27	0	21
15	T. Jones	2	22	0	20
15	C. Johnson	1	19	0	19
15	A. Abdullah	2	12	0	7
15	M. Burton	2	10	1	6
15	L. Moore	1	10	0	10
16	C. Johnson	6	77	1	29
16	T. Riddick	7	63	0	16
16	G. Tate	4	59	0	36
16	E. Ebron	4	49	0	20
16	T. Jones	1	29	1	29
16	A. Abdullah	4	9	0	4
16	J. Bell	2	9	0	5
16	L. Moore	1	6	0	6
17	C. Johnson	10	137	1	36
17	J. Bell	2	49	0	36
17	G. Tate	4	34	0	12
17	T. Riddick	4	29	0	18
17	E. Ebron	5	25	1	8
17	T. Wright	1	9	1	9
17	M. Burton	1	8	0	8
17	A. Abdullah	1	7	0	7
