week	name	att	yds	td	lg
1	A. Abdullah	7	50	1	24
1	J. Bell	6	14	0	7
1	Z. Zenner	2	6	0	4
1	M. Stafford	1	-1	0	-1
2	M. Stafford 4 	20 	0 	9
2	A. Abdullah 6 	9 	0 	7
2	T. Riddick 	1 	5 	0 	5
2	J. Bell 	4 	2 	0 	3
2	M. Burton 	1 	2 	0 	2
3	A. Abdullah	8	23	0	9
3	J. Bell	10	6	1	3
3	M. Stafford	1	-1	0	-1
4	A. Abdullah	13	33	0	9
4	Z. Zenner	2	9	0	6
4	G. Tate	1	6	0	6
4	T. Riddick	1	5	0	5
4	M. Burton	1	0	0	0
5	Z. Zenner	10	30	0	12
5	A. Abdullah	6	16	0	5
5	G. Tate	1	8	0	8
5	M. Stafford	1	2	0	2
6	A. Abdullah	14	48	0	12
6	M. Stafford	6	37	0	11
6	I. Abdul-Quddus	1	30	0	30
6	T. Riddick	7	28	0	9
6	Z. Zenner	3	15	0	7
6	T. Jones	1	-3	0	-3
7	A. Abdullah	8	43	0	13
7	J. Bell	3	21	0	14
7	T. Riddick	3	8	0	8
7	M. Stafford	1	5	0	5
7	M. Burton	1	0	0	0
7	G. Winn	1	0	0	0
8	J. Bell	7	56	0	32
8	T. Riddick	5	17	0	6
8	M. Stafford	1	5	0	5
8	A. Abdullah	1	3	0	3
10	J. Bell	14	17	0	6
10	A. Abdullah	5	15	0	9
10	G. Tate	1	11	0	11
10	T. Riddick	3	1	0	1
10	M. Stafford	2	1	0	1
10	M. Burton	1	0	0	0
11	A. Abdullah	12	44	0	9
11	M. Stafford	6	31	1	18
11	J. Bell	6	22	0	11
11	T. Riddick	6	14	0	5
11	G. Tate	1	-2	0	-2
12	A. Abdullah	16	63	0	23
12	J. Bell	7	25	1	9
12	M. Stafford	2	13	0	8
12	T. Riddick	2	6	0	3
12	G. Winn	3	1	0	2
13	A. Abdullah	13	67	0	36
13	M. Stafford	2	22	0	12
13	J. Bell	8	5	0	6
13	T. Riddick	1	4	0	4
13	G. Tate	1	3	0	3
14	J. Bell	7	50	0	18
14	A. Abdullah	7	23	0	7
14	T. Riddick	3	18	0	16
14	G. Tate	1	15	0	15
14	M. Stafford	2	5	0	6
15	A. Abdullah	9	77	1	27
15	J. Bell	8	71	1	36
15	T. Riddick	2	3	0	3
15	M. Stafford	4	-1	0	3
16	A. Abdullah	8	39	0	10
16	T. Riddick	7	20	0	6
16	J. Bell	7	13	1	4
16	M. Stafford	5	11	0	9
16	I. Abdul-Quddus	1	4	0	4
17	A. Abdullah	10	44	0	11
17	M. Stafford	6	10	0	12
17	J. Bell	3	9	0	5
17	T. Riddick	2	4	0	3
