name,id,home,team,pos,defense_ast,defense_ffum,defense_int,defense_sk,defense_tkl,fumbles_lost,fumbles_rcv,fumbles_tot,fumbles_trcv,fumbles_yds,kicking_fga,kicking_fgm,kicking_fgyds,kicking_totpfg,kicking_xpa,kicking_xpb,kicking_xpmade,kicking_xpmissed,kicking_xptot,kickret_avg,kickret_lng,kickret_lngtd,kickret_ret,kickret_tds,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds,punting_avg,punting_i20,punting_lng,punting_pts,punting_yds,puntret_avg,puntret_lng,puntret_lngtd,puntret_ret,puntret_tds,receiving_lng,receiving_lngtd,receiving_rec,receiving_tds,receiving_twopta,receiving_twoptm,receiving_yds,rushing_att,rushing_lng,rushing_lngtd,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds

Jared Abbrederis,00-0031021,no,GB,WR,,,,,,0,0,1,0,0,,,,,,,,,,52,52,0,2,0,,,,,,,,,,,,,,,,,,68,0,9,0,0,0,111,,,,,,,

Husain Abdullah,00-0025940,no,KC,FS,5,0,0,0,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Ameer Abdullah,00-0032104,no,DET,RB,,,,,,2,2,5,2,0,,,,,,,,,,449,549,0,37,0,,,,,,,,,,,,,,,,,,148,16,25,1,0,0,183,143,214,39,2,0,0,598

Isa Abdul-Quddus,00-0028564,no,DET,SS,15,1,0,1,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,34,0,0,0,0,34

Sam Acho,00-0028041,no,CHI,OLB,8,1,0,0,24,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Kenneth Acker,00-0031186,no,SF,CB,10,0,3,0,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Mike Adams,00-0022247,no,IND,SS,23,3,5,1,51,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Phillip Adams,00-0027610,no,ATL,DB,6,1,1,0,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Davante Adams,00-0031381,no,GB,WR,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,,,,,,,,,,,,,,,,,,214,8,50,1,2,1,483,,,,,,,

Jahleel Addae,00-0030312,no,SD,SS,9,0,0,1,54,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Mario Addison,00-0028339,no,CAR,DE,8,0,0,6.0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Jude Adjei-Barimah,00-0032273,no,TB,CB,7,0,0,0,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Nelson Agholor,00-0031549,no,PHI,WR,,,,,,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194,53,23,1,0,0,283,,,,,,,

Kamar Aiken,00-0028497,no,BAL,WR,,,,,,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,348,83,75,5,1,0,944,,,,,,,

Walt Aikens,00-0031307,no,MIA,FS,5,0,0,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Jay Ajayi,00-0031590,no,MIA,RB,,,,,,,,,,,,,,,,,,,,20,20,0,1,0,,,,,,,,,,,,,,,,,,50,0,7,0,0,0,90,49,96,12,1,1,1,187

Seyi Ajirotutu,00-0027581,no,PHI,WR,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,,,,,,,,,,,,,,,,,,4,0,1,0,0,0,4,,,,,,,

Lorenzo Alexander,00-0023259,no,OAK,LB,1,0,0,0,5,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Maurice Alexander,00-0031393,no,STL,SS,7,0,0,2,26,0,0,0,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

D.J. Alexander,00-0031950,no,KC,LB,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Kwon Alexander,00-0032109,no,TB,MLB,34,2,2,3,59,0,0,0,1,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Robert Alford,00-0030528,no,ATL,CB,8,0,2,0,42,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Mario Alford,00-0031962,no,CIN,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0,1,0,0,0,15,,,,,,,

Jared Allen,00-0022740,no,CHI,DE,13,1,1,3,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Will Allen,00-0022900,no,PIT,SS,17,2,1,4,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Nate Allen,00-0027652,no,OAK,SS,4,0,1,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Cortez Allen,00-0028066,no,PIT,CB,3,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Dwayne Allen,00-0029689,no,IND,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,6,16,1,0,0,109,1,1,0,0,0,0,1

Ryan Allen,00-0029984,no,NE,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600,31,815,73,3338,,,,,,,,,,,,,,,,,,,

Keenan Allen,00-0030279,no,SD,WR,,,,,,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,0,3,0,188,75,67,4,1,0,725,,,,,,,

Beau Allen,00-0031089,no,PHI,DT,10,0,0,0,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Ricardo Allen,00-0031181,no,ATL,FS,9,0,3,1,59,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Javorius Allen,00-0031577,no,BAL,RB,,,,,,2,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155,54,45,2,0,0,353,138,213,3,1,0,0,516

Kiko Alonso,00-0030401,no,PHI,LB,14,0,1,0,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Tyson Alualu,00-0027862,no,JAC,DT,8,0,0,2,18,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,0,2,0,0,0,19,1,0,0,0,0,0,0

Danny Amendola,00-0026035,no,NE,WR,,,,,,1,0,1,0,0,,,,,,,,,,62,71,0,8,0,1,1,0,0,0,0,36,,,,,,110,200,0,23,0,232,20,65,3,0,0,648,2,11,0,0,0,0,11

David Amerson,00-0030420,no,WAS,CB,5,1,4,0,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Adrian Amos,00-0031584,no,CHI,FS,10,0,0,1,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

