Rk,Team,G,Pts_Per_G,Tot_Pts,Scrm_Plys,Yds_Per_G,Yds_Per_P,First_Per_G,Third_Md,Third_Att,Third_Pct,Fourth_Md,Fourth_Att,Fourth_Pct,Pen,Pen_Yds,ToP_Per_G,FUM,Lost,TO
1,49ers,16,24.2,387,1081,387.4,5.7,22.2,82,210,39,6,11,54,112,920,34.2,10,3,+6
2,Bears,16,24.8,397,980,345.4,5.6,19.2,89,201,44,5,12,42,98,895,29.4,18,9,-6
3,Bengals,16,17.4,279,1032,340.8,5.3,19.2,86,218,39,9,20,45,116,1063,29.8,11,7,+7
4,Bills,16,22.4,359,1017,356.4,5.6,20.1,85,210,40,3,13,23,113,906,28.7,16,8,-5
5,Broncos,16,18.5,296,1033,283.1,4.4,18.1,80,227,35,5,14,36,104,773,30.6,27,13,+5
6,Browns,16,27,432,998,379.2,6.1,20.1,81,203,40,10,15,67,108,833,30.1,18,10,-9
7,Buccaneers,16,26.1,417,1044,340.4,5.2,21.9,97,211,46,4,6,67,104,859,31.6,24,12,+1
8,Cardinals,16,19.6,313,982,321.7,5.2,17.8,75,210,36,8,17,47,130,1202,27.9,31,14,+7
9,Chargers,16,24.9,398,959,361.9,6.0,18.7,74,195,38,7,8,88,120,976,28.7,14,9,-3
10,Chiefs,16,17.9,287,1037,329.3,5.1,19.6,72,217,33,13,27,48,110,941,29.1,19,7,+5
11,Colts,16,25.5,408,1072,379.1,5.7,20.7,89,227,39,10,14,71,133,1168,31.1,20,8,-5
12,Cowboys,16,23.4,374,998,347.9,5.6,19.8,81,208,39,5,10,50,113,898,29.1,12,3,+7
13,Dolphins,16,24.3,389,1075,376.2,5.6,21.9,96,221,43,4,12,33,121,1005,32.6,12,3,+9
14,Eagles,16,26.9,430,1148,401.6,5.6,22.8,99,231,43,6,9,67,123,1051,34.2,23,11,+11
15,Falcons,16,21.6,345,996,347.6,5.6,20.9,82,191,43,5,15,33,95,728,28.4,15,8,-10
16,Giants,16,27.6,442,1105,420.3,6.1,22.9,108,230,47,8,14,57,120,1077,32.0,28,13,-5
17,Jaguars,16,28,448,1102,375.0,5.4,22.6,105,227,46,6,12,50,114,989,32.8,16,9,-4
18,Jets,16,19.6,314,1013,318.6,5.0,16.9,77,232,33,13,23,56,90,767,29.4,22,12,+2
19,Lions,16,25,400,999,349.6,5.6,19.9,82,200,41,5,8,62,96,785,29.3,24,9,-7
20,Packers,16,20.2,323,1014,346.7,5.5,18.8,79,220,36,10,21,48,120,1107,29.9,19,6,+6
21,Panthers,16,19.2,308,1058,322.9,4.9,18.6,86,227,38,15,26,58,99,822,28.6,28,15,+2
22,Patriots,16,19.7,315,1042,339.4,5.2,18.9,84,225,37,8,18,44,112,1013,30.0,28,9,+5
23,Raiders,16,24.9,399,1085,363.6,5.4,21.5,84,224,38,9,17,53,104,943,31.0,18,11,-5
24,Rams,16,20.6,330,1091,367.8,5.4,20.0,78,225,35,4,15,27,109,992,33.2,28,13,+14
25,Ravens,16,25.1,401,1000,337.4,5.4,19.4,86,216,40,4,9,44,103,748,30.6,18,8,-14
26,Redskins,16,23.7,379,1010,380.6,6.0,20.6,78,207,38,11,20,55,112,955,28.4,36,16,-4
27,Saints,16,29.8,476,996,413.4,6.6,23.8,71,176,40,10,13,77,114,887,29.0,29,13,-4
28,Seahawks,16,17.3,277,947,291.8,4.9,17.1,67,195,34,1,7,14,94,795,28.9,22,9,-14
29,Steelers,16,19.9,319,1055,363.1,5.5,20.4,90,225,40,7,24,29,121,1149,30.9,27,13,-22
30,Texans,16,19.6,313,986,310.2,5.0,17.6,61,214,28,7,12,58,116,991,29.2,20,11,+5
31,Titans,16,26.4,423,1003,342.2,5.5,19.8,92,216,43,4,12,33,112,982,30.7,16,8,+20
32,Vikings,16,18.9,302,1015,344.2,5.4,19.9,71,206,34,11,22,50,109,875,29.8,18,9,+5
