week	name	t	a	sck	int	ff	
1	C. Matthews	6	0	0.0	1	0	
1	N. Palmer	6	1	0.0	0	0	
1	S. Shields	6	1	0.0	0	0	
1	H. Clinton-Dix	5	1	0.0	0	0
1	M. Hyde	4	0	0.0	0	0	
1	J. Peppers	4	2	1.5	0	0	
1	C. Hayward	3	0	0.0	0	0	
1	S. Richardson	3	0	0.0	0	0	
1	J. Elliott	2	0	0.0	0	0	
1	B. Raji	2	2	0.5	0	0	
1	S. Barrington	1	0	0.0	0	0	
1	J. Boyd	1	0	0.0	0	0	
1	M. Neal	1	1	0.0	0	0	
1	D. Randall	1	0	0.0	0	0	
1	M. Daniels	0	1	0.0	0	0	
1	M. Pennel	0	1	0.0	0	0	
2	H. Clinton-Dix 	7	2 	0.0 	0 	0
2	M. Hyde 	6	0 	0.0 	0 	0	
2	M. Burnett 	3	0 	0.0 	0 	0	
2	M. Daniels 	3	2 	1.0 	0 	0	
2	N. Palmer 	3	1 	0.0 	0 	0	
2	M. Pennel 	3	0 	0.0 	0 	0	
2	N. Perry 	3	2 	0.0 	0 	0	
2	C. Hayward 	2	1 	0.0 	0 	0	
2	D. Jones 	2	0 	0.0 	0 	0	
2	M. Neal 	2	2 	0.0 	0 	0	
2	B. Raji 	2	0 	0.0 	0 	0	
2	S. Shields 	2	0 	0.0 	0 	0	
2	J. Elliott 	1	0 	0.0 	1 	1	
2	C. Matthews 	1	2 	0.0 	0 	0	
2	J. Peppers 	1	0 	1.0 	0 	0	
3	S. Shields	6	0	0.0	1	0	
3	H. Clinton-Dix	5	1	0.0	0	0
3	C. Hayward	5	0	0.0	0	0	
3	C. Matthews	3	0	2.0	0	0	
3	N. Perry	3	0	1.0	0	1	
3	J. Thomas	3	0	1.0	0	0	
3	M. Daniels	2	2	1.5	0	1	
3	J. Elliott	2	0	1.0	0	0	
3	M. Hyde	2	0	0.0	0	0	
3	N. Palmer	2	1	0.0	0	0	
3	D. Randall	2	1	0.0	0	0	
3	Q. Rollins	2	0	0.0	0	0	
3	C. Banjo	1	0	0.0	0	0	
3	B. Gaston	1	0	0.0	0	0	
3	D. Jones	1	0	0.0	0	0	
3	M. Pennel	1	1	0.0	0	0	
3	J. Peppers	1	2	0.0	0	0	
3	M. Neal	0	1	0.5	0	0	
3	B. Raji	0	1	0.0	0	0	
4	H. Clinton-Dix	7	0	0.0	0	0
4	M. Hyde	5	0	0.0	0	0	
4	B. Raji	3	0	0.0	0	0	
4	D. Randall	3	1	0.0	0	0	
4	J. Thomas	3	0	0.0	0	1	
4	C. Hayward	2	0	0.0	0	0	
4	C. Matthews	2	0	1.0	0	0	
4	N. Palmer	2	3	0.0	0	0	
4	J. Peppers	2	0	1.0	0	0	
4	N. Perry	2	0	2.0	0	0	
4	S. Shields	2	0	0.0	1	0	
4	J. Elliott	1	0	1.0	0	0	
4	M. Neal	1	0	1.0	0	0	
4	Q. Rollins	1	0	0.0	0	0	
4	D. Jones	0	1	0.0	0	0	
5	M. Daniels	7	1	0.0	0	0	
5	H. Clinton-Dix	6	0	0.0	1	0
5	M. Hyde	5	0	0.0	1	0	
5	C. Banjo	3	0	0.0	0	0	
5	J. Elliott	3	0	0.0	0	0	
5	C. Matthews	3	2	1.5	0	0	
5	N. Palmer	3	2	0.0	0	0	
5	D. Randall	3	0	0.0	0	0	
5	L. Guion	2	1	0.0	0	0	
5	C. Hayward	2	0	0.0	0	0	
5	M. Neal	2	0	0.0	0	0	
5	J. Peppers	2	0	1.0	0	1	
5	B. Raji	2	1	0.0	0	0	
5	Q. Rollins	2	0	0.0	2	0	
5	M. Pennel	1	1	0.0	0	0	
5	N. Perry	0	2	0.5	0	0	
6	N. Palmer	9	2	0.0	0	0	
6	M. Hyde	8	1	0.0	0	0	
6	S. Shields	8	0	0.0	0	0	
6	H. Clinton-Dix	7	1	0.0	0	1
6	D. Randall	7	0	0.0	0	0	
6	C. Hayward	6	1	0.0	0	0	
6	C. Matthews	4	2	0.0	0	0	
6	L. Guion	2	2	0.0	0	0	
6	D. Jones	2	0	1.0	0	0	
6	M. Neal	2	1	0.5	0	1	
6	C. Banjo	1	0	0.0	0	0	
6	J. Peppers	1	1	1.0	0	0	
6	Q. Rollins	1	0	0.0	0	0	
6	J. Thomas	1	1	0.0	0	0	
6	M. Daniels	0	2	0.5	0	0	
6	A. Mulumba	0	1	0.0	0	0	
6	M. Pennel	0	1	0.0	0	0	
8	C. Hayward	6	1	0.0	0	0	
8	D. Randall	6	1	0.0	1	0	
8	M. Hyde	5	1	0.0	0	0	
8	C. Matthews	5	2	0.0	0	0	
8	H. Clinton-Dix	4	1	0.0	0	0
8	N. Palmer	4	2	0.0	0	0	
8	D. Jones	3	0	0.0	0	0	
8	M. Neal	3	0	0.0	0	0	
8	M. Pennel	3	0	0.0	0	0	
8	M. Burnett	2	0	0.0	0	0	
8	M. Daniels	2	0	0.0	0	0	
8	B. Raji	1	1	0.0	0	0	
8	J. Ryan	1	0	0.0	0	0	
8	J. Thomas	1	0	0.0	0	0	
8	L. Guion	0	1	0.0	0	0	
8	J. Peppers	0	1	0.0	0	0	
8	N. Perry	0	2	0.0	0	0	
9	J. Ryan	6	4	0.0	0	0	
9	D. Randall	5	0	0.0	1	0	
9	M. Burnett	3	6	0.0	0	0	
9	M. Daniels	3	0	0.0	0	0	
9	D. Goodson	3	2	0.0	0	0	
9	N. Perry	3	4	0.0	0	0	
9	H. Clinton-Dix	2	3	0.0	0	0
9	C. Matthews	2	3	0.0	0	0	
9	L. Guion	1	0	0.0	0	0	
9	C. Hayward	1	2	0.0	0	0	
9	M. Hyde	1	0	0.0	0	0	
9	M. Neal	1	1	0.0	0	0	
9	N. Palmer	1	2	0.0	0	0	
9	M. Pennel	0	1	0.0	0	0	
9	J. Peppers	0	2	0.0	0	0	
10	H. Clinton-Dix	9	2	0.0	1	0
10	N. Palmer	6	2	0.0	0	0	
10	M. Burnett	4	4	0.0	0	0	
10	C. Hayward	4	0	0.0	0	0	
10	C. Matthews	4	1	0.0	0	0	
10	D. Randall	4	0	0.0	0	0	
10	J. Peppers	3	1	0.0	0	0	
10	L. Guion	1	0	0.0	0	0	
10	M. Hyde	1	1	0.0	0	0	
10	M. Neal	1	3	0.0	0	0	
10	N. Perry	1	0	0.0	0	0	
10	S. Shields	1	0	0.0	0	0	
10	M. Daniels	0	6	0.0	0	0	
10	B. Raji	0	1	0.0	0	0	
10	J. Thomas	0	1	0.0	0	0	
11	H. Clinton-Dix	8	0	1.0	0	0
11	C. Hayward	6	0	0.0	0	0	
11	C. Matthews	6	0	0.0	0	0	
11	S. Shields	6	0	0.0	0	0	
11	D. Randall	5	1	0.0	0	0	
11	M. Burnett	3	1	0.0	0	1	
11	N. Palmer	3	1	1.0	0	0	
11	M. Daniels	2	1	1.0	0	0	
11	D. Jones	2	0	2.0	0	0	
11	J. Elliott	1	0	0.0	0	0	
11	L. Guion	1	0	0.0	0	0	
11	M. Neal	1	1	0.5	0	0	
11	J. Peppers	1	1	0.5	0	0	
11	J. Thomas	1	0	0.0	0	0	
11	M. Pennel	0	1	0.0	0	0	
12	M. Burnett	7	1	0.0	0	1	
12	H. Clinton-Dix	5	3	0.0	0	0
12	C. Matthews	4	2	0.0	0	0	
12	N. Palmer	4	3	0.0	0	0	
12	C. Hayward	3	0	0.0	0	0	
12	Q. Rollins	3	0	1.0	0	0	
12	M. Daniels	2	1	0.0	0	0	
12	M. Neal	2	0	0.0	0	0	
12	D. Randall	2	0	0.0	0	0	
12	S. Shields	2	0	0.0	0	0	
12	J. Thomas	2	0	0.0	0	0	
12	J. Elliott	1	1	0.0	0	0	
12	D. Jones	1	2	0.0	0	0	
12	M. Pennel	1	1	0.0	0	0	
12	J. Peppers	1	0	0.0	0	0	
12	B. Raji	1	0	0.0	0	0	
12	L. Guion	0	2	0.0	0	0	
12	N. Perry	0	3	0.0	0	0	
13	J. Ryan	6	4	0.0	0	0	
13	M. Burnett	5	2	0.0	0	0	
13	H. Clinton-Dix	4	3	1.0	0	0
13	C. Hayward	4	1	0.0	0	0	
13	M. Daniels	3	1	0.0	0	0	
13	J. Peppers	3	0	1.0	0	1	
13	Q. Rollins	3	2	0.0	0	0	
13	S. Shields	3	1	0.0	0	0	
13	C. Matthews	2	1	0.0	0	0	
13	M. Neal	2	0	0.0	0	0	
13	J. Thomas	2	0	0.0	0	0	
13	J. Elliott	1	0	0.0	0	0	
13	M. Hyde	1	1	1.0	0	0	
13	D. Jones	1	0	0.0	0	0	
13	M. Pennel	0	1	0.0	0	0	
13	B. Raji	0	1	0.0	0	0	
14	M. Hyde	5	0	0.0	0	0	
14	C. Matthews	5	1	1.0	0	0	
14	Q. Rollins	4	1	0.0	0	0	
14	J. Ryan	4	2	0.0	0	0	
14	H. Clinton-Dix	3	0	0.0	0	0
14	C. Hayward	3	0	0.0	0	0	
14	J. Elliott	2	1	1.0	0	0	
14	M. Pennel	2	0	0.0	0	0	
14	L. Guion	1	0	0.0	0	0	
14	J. Peppers	1	0	0.0	0	0	
14	S. Shields	1	0	0.0	1	0	
14	M. Burnett	0	1	0.0	0	0	
14	M. Neal	0	1	0.0	0	0	
14	B. Raji	0	1	0.0	0	0	
15	M. Burnett	7	1	0.0	0	0	
15	J. Ryan	7	0	0.0	0	0	
15	D. Randall	6	1	0.0	1	0	
15	C. Hayward	4	0	0.0	0	0	
15	H. Clinton-Dix	3	0	0.0	0	0
15	M. Neal	3	1	0.5	0	0	
15	J. Peppers	3	1	2.5	0	0	
15	Q. Rollins	3	0	0.0	0	0	
15	M. Hyde	2	0	0.0	1	0	
15	B. Raji	2	0	0.0	0	0	
15	M. Daniels	1	1	0.0	0	0	
15	J. Elliott	1	0	0.0	0	0	
15	L. Guion	1	0	0.0	0	0	
15	N. Palmer	1	0	0.0	0	0	
15	M. Pennel	1	0	0.0	0	0	
15	J. Thomas	1	0	0.0	0	0	
15	D. Jones	0	1	0.0	0	0	
16	M. Burnett	8	2	0.0	0	0	
16	Q. Rollins	5	0	0.0	0	0	
16	C. Hayward	4	1	0.0	0	0	
16	D. Randall	4	0	0.0	0	0	
