week	name	rec	yds	td	lg
1	D. Adams	4	59	0	25
1	J. Jones	4	51	2	34
1	R. Cobb	5	38	1	10
1	R. Rodgers	3	27	0	20
1	E. Lacy	2	14	0	9
2	R. Cobb	8	116	0	25
2	T. Montgomery	4	37	0	17
2	D. Adams	5	33	0	13
2	J. Jones	1	29	1	29
2	R. Rodgers	3	23	1	9
2	J. Starks	4	11	0	6
3	J. Jones	7	139	1	52
3	R. Cobb	7	91	3	29
3	E. Lacy	3	41	0	26
3	J. Starks	1	19	0	19
3	R. Rodgers	2	15	0	8
3	T. Montgomery	2	14	1	8
3	A. Quarless	2	14	0	7
4	J. Jones	5	98	0	38
4	R. Rodgers	5	45	1	12
4	R. Cobb	5	44	0	19
4	T. Montgomery	3	15	0	8
4	J. Starks	2	11	0	8
4	J. Kuhn	1	8	0	8
4	E. Lacy	1	3	0	3
5	J. Jones	2	77	1	65
5	T. Montgomery	4	59	1	31
5	R. Rodgers	6	45	0	18
5	J. Starks	3	29	0	19
5	R. Cobb	3	23	0	10
5	E. Lacy	1	8	0	8
6	J. Janis	2	79	0	46
6	R. Cobb	2	38	0	26
6	R. Rodgers	2	34	0	25
6	J. Jones	2	30	1	22
6	J. Perillo	1	21	0	21
6	J. Kuhn	2	20	0	19
6	E. Lacy	2	17	0	12
6	T. Montgomery	2	11	0	6
6	J. Starks	1	5	1	5
8	R. Cobb	6	27	0	17
8	R. Rodgers	2	16	0	11
8	E. Lacy	1	9	0	9
8	J. Starks	2	9	0	5
8	D. Adams	1	8	0	8
8	J. Perillo	1	6	0	6
8	J. Jones	1	2	0	2
9	R. Cobb	4	99	1	53
9	D. Adams	7	93	0	40
9	J. Starks	6	83	1	30
9	J. Jones	2	57	0	36
9	R. Rodgers	5	19	2	7
9	A. Ripkowski	1	18	0	18
10	D. Adams	10	79	0	18
10	J. Perillo	5	58	1	24
10	J. Abbrederis	4	57	0	32
10	J. Starks	6	54	0	19
10	R. Cobb	5	53	0	20
10	R. Rodgers	5	32	1	21
11	J. Jones	6	109	1	37
11	D. Adams	3	36	0	16
11	J. Starks	1	30	0	30
11	R. Cobb	2	24	1	14
11	R. Rodgers	3	7	0	5
11	E. Lacy	1	6	0	6
12	R. Cobb	6	74	0	32
12	J. Starks	4	41	0	18
12	E. Lacy	4	34	1	25
12	R. Rodgers	4	30	0	13
12	D. Adams	2	14	0	8
12	J. Perillo	2	9	0	5
13	R. Rodgers	8	146	1	61
13	J. Starks	5	45	0	25
13	R. Cobb	4	29	0	16
13	D. Adams	4	21	1	8
13	J. Jones	1	19	0	19
13	J. Abbrederis	1	16	0	16
13	E. Lacy	1	-3	0	-3
14	R. Cobb	8	81	0	17
14	J. Jones	4	49	0	16
14	J. Starks	4	32	1	13
14	E. Lacy	1	24	0	24
14	J. Kuhn	1	14	0	14
14	D. Adams	2	12	0	8
14	J. Perillo	1	3	0	3
14	R. Rodgers	1	3	1	3
15	J. Jones	6	82	1	30
15	R. Cobb	5	40	0	23
15	J. Abbrederis	3	33	0	15
15	D. Adams	5	32	0	8
15	R. Rodgers	1	7	0	7
15	J. Perillo	1	5	0	5
15	J. Starks	1	5	0	5
16	J. Jones	5	46	0	17
16	D. Adams	3	42	0	38
16	E. Lacy	1	28	1	28
16	A. Quarless	2	17	0	13
16	R. Cobb	3	15	0	8
16	J. Abbrederis	1	5	0	5
16	R. Rodgers	1	2	0	2
17	J. Jones	4	102	0	37
17	R. Rodgers	7	59	1	18
17	D. Adams	4	54	0	24
17	R. Cobb	6	37	0	17
17	J. Starks	3	18	0	13
17	J. Kuhn	2	14	0	13
17	E. Lacy	2	7	0	14
