week	name	att	yds	td	lg
1	E. Lacy	19	85	1	16
1	A. Rodgers	8	35	0	15
1	R. Rodgers	1	11	0	11
1	J. Starks	2	2	0	3
2	J. Starks 	20 	95 	0 	35
2	A. Rodgers 	6 	23 	0 	9
2	E. Lacy 	3 	9 	0 	8
3	E. Lacy	10	46	0	13
3	J. Starks	17	32	0	11
3	A. Harris	2	17	0	16
3	A. Rodgers	2	16	0	11
3	R. Cobb	1	12	0	12
4	E. Lacy	18	90	0	15
4	A. Rodgers	3	33	0	17
4	J. Starks	9	28	0	6
4	T. Montgomery	2	10	0	9
4	J. Kuhn	1	1	1	1
5	A. Rodgers	8	39	0	18
5	E. Lacy	13	27	0	8
5	J. Starks	5	17	0	6
5	J. Kuhn	1	3	0	3
6	J. Starks	10	112	1	65
6	A. Rodgers	2	14	0	15
6	T. Montgomery	1	4	0	4
6	E. Lacy	4	3	0	3
8	E. Lacy	11	38	1	15
8	A. Rodgers	2	31	0	17
8	R. Cobb	1	10	0	10
8	J. Starks	5	9	0	4
8	A. Harris	2	2	0	2
9	J. Starks	10	39	0	15
9	A. Rodgers	4	22	0	8
9	E. Lacy	5	10	0	7
10	J. Starks	15	42	0	9
10	A. Rodgers	2	8	0	9
10	R. Cobb	1	-3	0	-3
11	E. Lacy	22	100	0	27
11	J. Starks	8	14	0	9
11	A. Rodgers	3	6	0	8
11	J. Kuhn	1	4	0	4
12	E. Lacy	17	105	0	29
12	J. Starks	7	39	0	10
12	A. Rodgers	4	33	0	18
13	A. Rodgers	4	27	1	17
13	J. Crockett	5	22	0	12
13	J. Starks	9	15	0	6
13	E. Lacy	5	4	0	2
13	R. Cobb	1	-1	0	-1
14	E. Lacy	24	124	1	24
14	J. Starks	11	71	1	30
14	A. Rodgers	3	27	0	16
14	R. Cobb	3	9	0	8
14	J. Kuhn	1	2	0	2
14	S. Tolzien	2	-3	0	-1
15	J. Starks	9	51	0	25
15	E. Lacy	11	23	0	8
15	R. Cobb	4	18	0	6
15	J. Kuhn	3	12	1	5
15	A. Rodgers	1	-1	0	-1
16	E. Lacy	12	60	0	25
16	A. Rodgers	3	19	0	10
16	J. Starks	3	11	0	6
16	T. Masthay	1	7	0	7
16	J. Kuhn	1	3	0	3
16	R. Cobb	1	2	0	2
16	S. Tolzien	1	0	0	0
16	J. Crockett	4	-1	0	5
17	E. Lacy	13	34	0	11
17	J. Starks	8	24	0	7
17	A. Rodgers	3	12	0	11
17	R. Cobb	1	3	0	3
17	J. Kuhn	1	3	0	3
