week	name	t	a	sck	int	ff
1	T. Davis	7	0	1.0	1	0
1	L. Kuechly	7	0	1.0	0	0
1	A. Klein	6	0	0.0	0	0
1	B. Benwikere	5	1	0.0	0	0
1	J. Norman	4	1	0.0	1	1
1	C. Tillman	4	0	0.0	0	0
1	K. Coleman	3	0	0.0	0	0
1	M. Addison	2	0	2.0	0	0
1	C. Johnson	2	0	1.0	0	0
1	K. Short	2	0	0.0	0	0
1	R. Harper	1	0	0.0	0	0
1	W. Horton	1	0	0.0	0	0
1	K. Love	1	0	0.0	0	0
2	K. Coleman	5	4	0.0	0	0
2	T. Davis	5	3	0.0	0	0
2	R. Harper	5	1	0.0	0	0
2	J. Norman	4	1	0.0	0	0
2	S. Thompson	4	1	0.0	0	0
2	B. Benwikere	3	2	0.0	0	0
2	D. Edwards	2	1	1.0	0	0
2	A. Klein	2	2	0.0	1	0
2	C. Tillman	2	2	0.0	0	0
2	K. Love	1	1	0.0	0	0
2	M. Addison	0	1	0.0	0	0
2	C. Cole	0	1	0.0	0	0
2	K. Ealy	0	2	0.0	0	0
2	W. Horton	0	1	0.0	0	0
2	C. Johnson	0	2	0.0	0	0
2	K. Short	0	3	0.0	0	0
3	T. Davis	6	4	0.0	0	1
3	A. Klein	6	4	0.0	0	0
3	C. Tillman	6	3	0.0	0	0
3	B. Benwikere	4	1	0.0	0	0
3	J. Norman	4	1	0.0	1	0
3	S. Thompson	3	4	1.0	0	0
3	M. Addison	2	2	0.0	0	0
3	T. Boston	2	1	0.0	0	0
3	K. Coleman	1	1	0.0	0	0
3	R. Harper	1	4	0.0	0	0
3	S. Lotulelei	1	1	0.0	0	0
3	K. Ealy	0	4	0.0	0	0
3	D. Edwards	0	1	0.0	0	0
3	C. Johnson	0	1	0.0	0	0
3	K. Love	0	1	0.0	0	0
3	K. Short	0	1	0.0	0	0
4	T. Davis	8	3	0.0	1	0
4	R. Delaire	5	0	2.0	0	0
4	A. Klein	5	3	0.0	0	0
4	T. Boston	4	1	0.0	0	0
4	K. Coleman	4	1	0.0	1	0
4	J. Norman	4	0	0.0	2	0
4	S. Thompson	4	0	0.0	0	0
4	R. Harper	3	1	0.0	0	0
4	C. Jones	3	1	0.0	0	0
4	K. Short	3	2	0.0	0	0
4	K. Ealy	2	3	0.0	0	0
4	J. Allen	1	0	0.0	0	0
4	B. Benwikere	1	0	0.0	0	0
4	D. Edwards	1	1	0.0	0	0
4	K. Love	1	0	0.0	0	0
4	C. Tillman	1	0	0.0	0	0
4	T. Williams	1	1	0.0	0	0
6	L. Kuechly	5	9	0.0	0	0
6	T. Davis	4	4	1.0	0	0
6	B. Benwikere	3	0	0.0	0	0
6	K. Short	3	3	2.0	0	0
6	K. Ealy	2	1	0.0	0	0
6	W. Horton	2	1	1.0	0	0
6	J. Norman	2	0	0.0	0	0
6	C. Tillman	2	2	0.0	0	0
6	T. Boston	1	0	0.0	0	0
6	K. Coleman	1	7	0.0	0	0
6	R. Delaire	1	0	0.0	0	0
6	R. Harper	1	5	0.0	0	0
6	S. Lotulelei	1	0	0.0	0	0
6	M. Addison	0	1	0.0	0	0
6	S. Thompson	0	3	0.0	0	0
7	T. Davis	11	2	0.0	0	0
7	L. Kuechly	8	3	0.0	0	0
7	K. Short	6	2	3.0	0	1
7	K. Coleman	5	0	0.0	0	0
7	R. Harper	4	3	0.0	0	0
7	B. Benwikere	3	1	0.0	0	0
7	J. Allen	2	3	1.0	0	0
7	J. Norman	2	1	0.0	0	0
7	M. Addison	1	1	1.0	0	0
7	T. Boston	1	0	0.0	0	0
7	K. Ealy	1	3	0.0	0	0
7	A. Klein	1	0	0.0	0	0
7	S. Lotulelei	1	3	0.0	0	0
7	C. Tillman	1	4	0.0	0	0
7	C. Jones	0	0	0.0	1	0
8	L. Kuechly	9	5	0.0	1	0
8	R. Harper	7	5	0.0	0	0
8	B. Benwikere	5	3	0.0	0	0
8	K. Coleman	5	3	0.0	1	0
8	J. Norman	4	0	0.0	0	0
8	J. Allen	2	3	1.0	0	0
8	A. Klein	2	0	0.0	0	0
8	K. Love	2	1	0.0	0	0
8	C. Tillman	2	2	0.0	1	0
8	T. Boston	1	0	0.0	0	0
8	T. Davis	1	1	0.0	0	0
8	K. Ealy	1	4	1.0	0	1
8	W. Horton	1	0	0.0	0	0
8	S. Lotulelei	1	1	0.0	0	1
8	K. Short	0	2	0.0	0	0
9	L. Kuechly	6	3	0.0	0	0
9	C. Tillman	6	2	0.0	0	1
9	T. Davis	4	2	1.0	1	0
9	R. Harper	4	2	0.0	0	0
9	K. Short	4	1	1.0	0	0
9	K. Coleman	3	2	1.0	0	0
9	J. Norman	3	0	0.0	0	0
9	B. Benwikere	2	4	0.0	0	0
9	S. Lotulelei	2	1	1.0	0	0
9	K. Ealy	1	0	1.0	0	1
9	M. Addison	0	1	0.0	0	0
9	J. Allen	0	1	0.0	0	0
9	W. Horton	0	1	0.0	0	0
9	K. Love	0	1	0.0	0	0
9	S. Thompson	0	1	0.0	0	0
10	L. Kuechly	6	2	0.0	0	1
10	R. Harper	3	1	0.0	0	0
10	A. Klein	3	0	0.0	0	0
10	J. Norman	3	0	0.0	0	0
10	J. Allen	2	0	0.0	0	0
10	B. Benwikere	2	2	0.0	0	0
10	T. Boston	2	0	0.0	0	0
10	K. Coleman	2	3	0.0	1	0
10	C. Tillman	2	2	0.0	0	0
10	K. Ealy	1	0	1.0	0	0
10	S. Lotulelei	1	0	0.0	0	0
10	K. Short	1	2	0.0	0	0
10	S. Thompson	1	0	0.0	0	0
10	K. Love	0	2	0.0	0	0
11	B. Benwikere	5	0	1.0	0	1
11	L. Kuechly	4	1	0.0	0	1
11	J. Norman	4	0	0.0	0	1
11	T. Davis	3	1	0.0	0	1
11	A. Klein	3	1	0.0	0	0
11	C. Jones	2	1	0.0	0	0
11	S. Thompson	2	2	0.0	0	0
11	M. Addison	1	1	1.5	0	0
11	J. Allen	1	1	0.0	0	0
11	K. Coleman	1	2	0.0	1	0
11	R. Delaire	1	1	0.5	0	0
11	K. Ealy	1	0	1.0	0	1
11	D. Edwards	1	1	0.0	0	0
11	R. Harper	1	0	0.0	0	0
11	K. Love	1	0	1.0	0	0
11	K. Short	1	0	0.0	0	0
12	C. Jones	5	1	0.0	0	0
