week	name	rec	yds	td	lg
1	T. Ginn	2	54	0	37
1	J. Cotchery	4	45	1	24
1	J. Stewart	4	25	0	9
1	C. Brown	2	13	0	7
1	G. Olsen	1	11	0	11
1	E. Dickson	1	9	0	9
1	D. Funchess	1	9	0	9
1	M. Tolbert	1	6	0	6
1	F. Whittaker	2	3	0	5
2	G. Olsen	6	70	0	27
2	C. Brown	3	57	1	36
2	T. Ginn	4	41	1	25
2	D. Funchess	1	15	0	15
2	J. Cotchery	1	11	0	11
2	M. Tolbert	2	4	0	7
2	J. Stewart	1	-3	0	-3
3	G. Olsen	8	134	2	52
3	T. Ginn	4	93	0	55
3	M. Tolbert	3	28	0	14
3	E. Dickson	2	19	0	10
3	D. Funchess	1	14	0	14
3	F. Whittaker	1	14	0	14
3	B. Bersin	1	13	0	13
4	B. Bersin	4	54	0	30
4	G. Olsen	2	28	0	19
4	T. Ginn	2	18	2	12
4	E. Dickson	1	11	0	11
4	F. Whittaker	1	10	0	10
4	C. Brown	1	3	0	3
6	G. Olsen	7	131	1	32
6	E. Dickson	3	24	0	14
6	D. Funchess	2	24	0	16
6	C. Brown	2	22	0	11
6	J. Cotchery	2	21	0	14
6	F. Whittaker	2	21	0	15
6	T. Ginn	1	18	0	18
6	J. Stewart	1	8	0	8
7	G. Olsen	3	65	0	28
7	T. Ginn	5	59	0	20
7	C. Brown	3	38	0	25
7	D. Funchess	1	20	0	20
7	J. Cotchery	1	13	0	13
7	M. Tolbert	1	2	1	2T
8	G. Olsen	6	79	1	27
8	T. Ginn	2	60	0	48
8	C. Brown	3	42	1	23
8	M. Tolbert	1	40	0	40
8	J. Cotchery	2	18	0	13
8	D. Funchess	1	8	0	8
8	J. Stewart	1	1	0	1
9	J. Cotchery	3	82	0	59
9	D. Funchess	3	71	1	52
9	G. Olsen	4	66	1	24
9	C. Brown	2	50	1	39
9	T. Ginn	1	20	0	20
9	E. Dickson	1	6	0	6
9	J. Stewart	1	2	0	2
10	G. Olsen	8	80	0	20
10	T. Ginn	4	45	0	19
10	D. Funchess	2	41	0	27
10	E. Dickson	3	21	1	17
10	M. Tolbert	1	16	0	16
10	C. Brown	1	8	0	8
10	J. Cotchery	2	6	0	8
11	D. Funchess	4	64	1	35
11	J. Cotchery	4	57	0	19
11	G. Olsen	3	54	1	34
11	T. Ginn	5	37	1	17
11	B. Bersin	1	15	0	15
11	J. Stewart	1	12	1	12
11	M. Tolbert	2	5	1	3T
11	F. Whittaker	1	2	0	2
12	J. Cotchery	5	73	0	24
12	G. Olsen	5	70	0	31
12	D. Funchess	2	19	0	15
12	B. Bersin	1	12	0	12
12	J. Stewart	3	9	0	7
13	G. Olsen	9	129	0	32
13	T. Ginn	5	80	2	45T
13	J. Stewart	3	31	0	15
13	E. Dickson	3	27	0	16
13	J. Cotchery	3	26	1	15
13	M. Tolbert	2	18	1	12
13	D. Funchess	1	13	1	13
13	C. Brown	2	7	0	5
14	T. Ginn	2	120	2	74
14	C. Brown	3	59	0	26
14	G. Olsen	3	52	0	24
14	D. Funchess	3	25	0	11
14	J. Stewart	1	14	0	14
14	M. Tolbert	2	13	0	9
14	J. Cotchery	2	10	0	6
14	S. Simonson	1	10	0	10
14	E. Dickson	1	4	1	4
14	F. Whittaker	1	-6	0	-6
15	T. Ginn	6	85	2	23
15	G. Olsen	6	79	1	37
15	C. Brown	3	51	1	20
15	J. Cotchery	4	47	0	16
15	C. Artis-Payne	2	34	0	20
15	D. Funchess	2	30	1	16
15	F. Whittaker	2	14	0	9
16	G. Olsen	4	40	0	15
16	C. Brown	3	39	0	19
16	J. Cotchery	4	24	0	11
16	M. Tolbert	2	17	0	12
16	T. Ginn	1	9	0	9
16	C. Artis-Payne	1	7	0	7
16	F. Whittaker	2	6	0	4
17	D. Funchess	7	120	1	41
17	C. Brown	3	58	0	21
17	J. Cotchery	2	52	1	31
17	B. Bersin	2	25	0	17
17	C. Artis-Payne	2	17	0	12
17	G. Olsen	2	16	0	10
17	M. Tolbert	1	5	0	5
17	E. Dickson	2	0	0	1
