week	name	att	yds	td	lg
1	J. Stewart	18	56	0	22
1	C. Newton	14	35	0	10
1	M. Tolbert	1	12	0	12
1	F. Whittaker	2	2	0	2
2	C. Newton	10	76	1	19
2	J. Stewart	17	62	0	11
2	M. Tolbert	5	31	0	13
2	F. Whittaker	1	3	0	3
3	J. Stewart	14	52	0	14
3	C. Newton	7	33	1	13
3	M. Tolbert	5	16	0	6
3	C. Brown	1	12	0	12
3	C. Artis-Payne	3	6	0	4
4	C. Newton	12	51	0	12
4	J. Stewart	10	50	0	13
4	C. Artis-Payne	8	25	0	15
4	M. Tolbert	3	7	0	6
6	J. Stewart	20	78	2	11
6	C. Newton	7	30	1	9
6	C. Brown	2	15	0	8
6	M. Tolbert	3	10	0	7
6	F. Whittaker	1	2	0	2
7	J. Stewart	24	125	0	36
7	T. Ginn	1	43	0	43
7	C. Newton	4	20	1	16
7	M. Tolbert	3	16	1	11
7	C. Artis-Payne	1	0	0	0
8	J. Stewart	24	82	1	14
8	C. Newton	10	41	0	11
8	C. Brown	1	14	0	14
8	F. Whittaker	1	3	0	3
9	J. Stewart	20	66	0	14
9	C. Newton	9	57	1	23
9	F. Whittaker	2	13	0	10
9	M. Tolbert	3	7	0	4
9	J. Webb	1	-1	0	-1
9	C. Brown	1	-12	0	-12
10	J. Stewart	22	91	1	17
10	C. Newton	9	23	1	7
10	M. Tolbert	3	5	0	3
11	J. Stewart	21	102	0	15
11	C. Newton	4	16	0	9
11	T. Ginn	2	12	0	11
11	F. Whittaker	2	6	0	4
11	M. Tolbert	7	5	0	6
11	D. Anderson	2	2	0	2
11	B. Nortman	1	-1	0	-1
12	J. Stewart	21	68	0	8
12	C. Newton	12	45	1	11
12	M. Tolbert	4	16	0	5
13	J. Stewart	21	82	1	22
13	C. Newton	10	49	0	30
13	M. Tolbert	2	33	0	29
13	F. Whittaker	1	11	0	11
14	J. Stewart	10	75	1	44
14	F. Whittaker	8	34	1	16
14	M. Tolbert	6	17	0	5
14	C. Brown	1	9	0	9
14	T. Ginn	1	5	0	5
14	C. Newton	3	4	0	3
14	D. Anderson	3	-2	0	0
15	C. Newton	8	100	0	47
15	C. Artis-Payne	14	59	0	26
15	M. Tolbert	5	10	0	4
15	F. Whittaker	2	2	0	2
16	C. Artis-Payne	5	49	0	31
16	C. Newton	7	46	1	18
16	F. Whittaker	5	32	0	16
16	J. Cotchery	1	16	0	16
16	M. Tolbert	2	12	0	6
17	M. Tolbert	10	59	0	18
17	C. Artis-Payne	14	44	1	11
17	C. Newton	6	10	2	4
17	D. Anderson	2	-2	0	-1
